* Measurement data measured by REW V5.20.13
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Oct 16, 2023 7:13:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 312 （Pad -20）0
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 -0.325 15.4822
20.187378 -0.320 15.2473
20.523834 -0.315 15.0192
20.860291 -0.310 14.7976
21.196747 -0.305 14.5826
21.533203 -0.300 14.3738
21.869659 -0.295 14.1711
22.206116 -0.290 13.9744
22.542572 -0.286 13.7834
22.879028 -0.281 13.5981
23.215485 -0.277 13.4181
23.551941 -0.273 13.2433
23.888397 -0.269 13.0735
24.224854 -0.265 12.9086
24.561310 -0.261 12.7482
24.897766 -0.258 12.5921
25.234222 -0.254 12.4402
25.570679 -0.251 12.2924
25.907135 -0.248 12.1482
26.243591 -0.245 12.0077
26.580048 -0.242 11.8706
26.916504 -0.239 11.7367
27.252960 -0.236 11.6060
27.589417 -0.234 11.4783
27.925873 -0.231 11.3534
28.262329 -0.229 11.2312
28.598785 -0.226 11.1118
28.935242 -0.224 10.9949
29.271698 -0.222 10.8805
29.608154 -0.219 10.7685
29.944611 -0.217 10.6589
30.281067 -0.215 10.5515
30.617523 -0.213 10.4464
30.953979 -0.211 10.3435
31.290436 -0.209 10.2427
31.626892 -0.207 10.1440
31.963348 -0.205 10.0474
32.299805 -0.204 9.9526
32.636261 -0.202 9.8599
32.972717 -0.200 9.7689
33.309174 -0.198 9.6798
33.645630 -0.197 9.5925
33.982086 -0.195 9.5068
34.318542 -0.194 9.4229
34.654999 -0.192 9.3405
34.991455 -0.190 9.2597
35.327911 -0.189 9.1804
35.664368 -0.188 9.1026
36.000824 -0.186 9.0262
36.337280 -0.185 8.9512
36.673737 -0.183 8.8776
37.010193 -0.182 8.8052
37.346649 -0.181 8.7340
37.683105 -0.180 8.6642
38.019562 -0.178 8.5955
38.356018 -0.177 8.5279
38.692474 -0.176 8.4614
39.028931 -0.175 8.3961
39.365387 -0.174 8.3318
39.701843 -0.173 8.2686
40.038300 -0.172 8.2064
40.374756 -0.171 8.1452
40.711212 -0.170 8.0850
41.047668 -0.169 8.0256
41.384125 -0.168 7.9673
41.720581 -0.167 7.9098
42.057037 -0.166 7.8532
42.393494 -0.165 7.7975
42.729950 -0.164 7.7426
43.066406 -0.163 7.6885
43.402863 -0.162 7.6353
43.739319 -0.161 7.5828
44.075775 -0.160 7.5311
44.412231 -0.159 7.4802
44.748688 -0.158 7.4301
45.085144 -0.158 7.3806
45.421600 -0.157 7.3318
45.758057 -0.156 7.2838
46.094513 -0.155 7.2366
46.430969 -0.154 7.1899
46.767426 -0.154 7.1439
47.103882 -0.153 7.0986
47.440338 -0.152 7.0541
47.776794 -0.151 7.0101
48.113251 -0.151 6.9667
48.449707 -0.150 6.9241
48.786163 -0.149 6.8820
49.122620 -0.149 6.8405
49.459076 -0.148 6.7996
49.795532 -0.147 6.7593
50.131989 -0.147 6.7197
50.468445 -0.146 6.6805
50.804901 -0.145 6.6420
51.141357 -0.145 6.6040
51.477814 -0.144 6.5665
51.814270 -0.144 6.5295
52.150726 -0.143 6.4931
52.487183 -0.143 6.4572
52.823639 -0.142 6.4217
53.160095 -0.142 6.3867
53.496552 -0.141 6.3522
53.833008 -0.140 6.3181
54.169464 -0.140 6.2844
54.505920 -0.139 6.2512
54.842377 -0.139 6.2184
55.178833 -0.138 6.1860
55.515289 -0.138 6.1540
55.851746 -0.138 6.1224
56.188202 -0.137 6.0912
56.524658 -0.137 6.0603
56.861115 -0.136 6.0298
57.197571 -0.136 5.9996
57.534027 -0.135 5.9698
57.870483 -0.135 5.9403
58.206940 -0.134 5.9113
58.543396 -0.134 5.8824
58.879852 -0.134 5.8539
59.216309 -0.133 5.8258
59.552765 -0.133 5.7980
59.889221 -0.132 5.7704
60.225677 -0.132 5.7432
60.562134 -0.131 5.7162
60.898590 -0.131 5.6896
61.235046 -0.131 5.6632
61.571503 -0.130 5.6371
61.907959 -0.130 5.6113
62.244415 -0.130 5.5858
62.580872 -0.129 5.5605
62.917328 -0.129 5.5356
63.253784 -0.128 5.5109
63.590240 -0.128 5.4865
63.926697 -0.128 5.4622
64.263153 -0.127 5.4382
64.599609 -0.127 5.4146
64.936066 -0.127 5.3911
65.272522 -0.126 5.3679
65.608978 -0.126 5.3450
65.945435 -0.126 5.3223
66.281891 -0.125 5.2997
66.618347 -0.125 5.2775
66.954803 -0.125 5.2554
67.291260 -0.124 5.2336
67.627716 -0.124 5.2120
67.964172 -0.124 5.1907
68.300629 -0.123 5.1695
68.637085 -0.123 5.1486
68.973541 -0.123 5.1278
69.309998 -0.122 5.1072
69.646454 -0.122 5.0869
69.982910 -0.122 5.0668
70.319366 -0.122 5.0469
70.655823 -0.121 5.0271
70.992279 -0.121 5.0076
71.328735 -0.121 4.9882
71.665192 -0.120 4.9690
72.001648 -0.120 4.9501
72.338104 -0.120 4.9313
72.674561 -0.120 4.9126
73.011017 -0.119 4.8942
73.347473 -0.119 4.8759
73.683929 -0.119 4.8578
74.020386 -0.118 4.8398
74.356842 -0.118 4.8220
74.693298 -0.118 4.8044
75.029755 -0.118 4.7870
75.366211 -0.117 4.7698
75.702667 -0.117 4.7526
76.039124 -0.117 4.7357
76.375580 -0.117 4.7189
76.712036 -0.116 4.7021
77.048492 -0.116 4.6857
77.384949 -0.116 4.6693
77.721405 -0.116 4.6531
78.057861 -0.115 4.6371
78.394318 -0.115 4.6212
78.730774 -0.115 4.6053
79.067230 -0.115 4.5897
79.403687 -0.114 4.5742
79.740143 -0.114 4.5589
80.076599 -0.114 4.5437
80.413055 -0.114 4.5286
80.749512 -0.114 4.5137
81.085968 -0.113 4.4988
81.422424 -0.113 4.4841
81.758881 -0.113 4.4696
82.095337 -0.113 4.4552
82.431793 -0.112 4.4409
82.768250 -0.112 4.4266
83.104706 -0.112 4.4126
83.441162 -0.112 4.3987
83.777618 -0.112 4.3848
84.114075 -0.111 4.3711
84.450531 -0.111 4.3575
84.786987 -0.111 4.3441
85.123444 -0.111 4.3307
85.459900 -0.111 4.3175
85.796356 -0.110 4.3043
86.132812 -0.110 4.2913
86.469269 -0.110 4.2784
86.805725 -0.110 4.2656
87.142181 -0.109 4.2529
87.478638 -0.109 4.2404
87.815094 -0.109 4.2278
88.151550 -0.109 4.2155
88.488007 -0.109 4.2032
88.824463 -0.109 4.1910
89.160919 -0.108 4.1790
89.497375 -0.108 4.1670
89.833832 -0.108 4.1551
90.170288 -0.108 4.1433
90.506744 -0.108 4.1316
90.843201 -0.107 4.1200
91.179657 -0.107 4.1085
91.516113 -0.107 4.0971
91.852570 -0.107 4.0858
92.189026 -0.107 4.0746
92.525482 -0.106 4.0635
92.861938 -0.106 4.0524
93.198395 -0.106 4.0415
93.534851 -0.106 4.0306
93.871307 -0.106 4.0198
94.207764 -0.106 4.0092
94.544220 -0.105 3.9985
94.880676 -0.105 3.9880
95.217133 -0.105 3.9777
95.553589 -0.105 3.9673
95.890045 -0.105 3.9570
96.226501 -0.105 3.9469
96.562958 -0.104 3.9368
96.899414 -0.104 3.9268
97.235870 -0.104 3.9169
97.572327 -0.104 3.9070
97.908783 -0.104 3.8972
98.245239 -0.104 3.8875
98.581696 -0.103 3.8779
98.918152 -0.103 3.8684
99.254608 -0.103 3.8589
99.591064 -0.103 3.8495
99.927521 -0.103 3.8402
100.263977 -0.103 3.8309
100.600433 -0.102 3.8218
100.936890 -0.102 3.8126
101.273346 -0.102 3.8036
101.609802 -0.102 3.7946
101.946259 -0.102 3.7856
102.282715 -0.102 3.7767
102.619171 -0.101 3.7678
102.955627 -0.101 3.7590
103.292084 -0.101 3.7504
103.628540 -0.101 3.7416
103.964996 -0.101 3.7330
104.301453 -0.101 3.7244
104.637909 -0.100 3.7159
104.974365 -0.100 3.7074
105.310822 -0.100 3.6990
105.647278 -0.100 3.6907
105.983734 -0.100 3.6824
106.320190 -0.100 3.6741
106.656647 -0.100 3.6659
106.993103 -0.099 3.6577
107.329559 -0.099 3.6496
107.666016 -0.099 3.6415
108.002472 -0.099 3.6335
108.338928 -0.099 3.6256
108.675385 -0.099 3.6177
109.011841 -0.099 3.6099
109.348297 -0.098 3.6021
109.684753 -0.098 3.5942
110.021210 -0.098 3.5865
110.357666 -0.098 3.5789
110.694122 -0.098 3.5713
111.030579 -0.098 3.5638
111.367035 -0.098 3.5563
111.703491 -0.097 3.5488
112.039948 -0.097 3.5414
112.376404 -0.097 3.5341
112.712860 -0.097 3.5267
113.049316 -0.097 3.5195
113.385773 -0.097 3.5122
113.722229 -0.097 3.5051
114.058685 -0.096 3.4979
114.395142 -0.096 3.4908
114.731598 -0.096 3.4838
115.068054 -0.096 3.4768
115.404510 -0.096 3.4698
115.740967 -0.096 3.4630
116.077423 -0.096 3.4561
116.413879 -0.095 3.4493
116.750336 -0.095 3.4425
117.086792 -0.095 3.4358
117.423248 -0.095 3.4291
117.759705 -0.095 3.4225
118.096161 -0.095 3.4159
118.432617 -0.095 3.4094
118.769073 -0.094 3.4028
119.105530 -0.094 3.3964
119.441986 -0.094 3.3900
119.778442 -0.094 3.3835
120.114899 -0.094 3.3772
120.451355 -0.094 3.3709
120.787811 -0.094 3.3646
121.124268 -0.094 3.3584
121.460724 -0.093 3.3522
121.797180 -0.093 3.3461
122.133636 -0.093 3.3400
122.470093 -0.093 3.3339
122.806549 -0.093 3.3279
123.143005 -0.093 3.3219
123.479462 -0.093 3.3159
123.815918 -0.093 3.3101
124.152374 -0.092 3.3041
124.488831 -0.092 3.2983
124.825287 -0.092 3.2925
125.161743 -0.092 3.2867
125.498199 -0.092 3.2810
125.834656 -0.092 3.2753
126.171112 -0.092 3.2696
126.507568 -0.091 3.2639
126.844025 -0.091 3.2584
127.180481 -0.091 3.2528
127.516937 -0.091 3.2473
127.853394 -0.091 3.2418
128.189850 -0.091 3.2363
128.526306 -0.091 3.2309
128.862762 -0.091 3.2255
129.199219 -0.090 3.2201
129.535675 -0.090 3.2148
129.872131 -0.090 3.2095
130.208588 -0.090 3.2042
130.545044 -0.090 3.1990
130.881500 -0.090 3.1938
131.217957 -0.090 3.1887
131.554413 -0.090 3.1835
131.890869 -0.090 3.1785
132.227325 -0.089 3.1733
132.563782 -0.089 3.1683
132.900238 -0.089 3.1633
133.236694 -0.089 3.1583
133.573151 -0.089 3.1534
133.909607 -0.089 3.1485
134.246063 -0.089 3.1436
134.582520 -0.089 3.1388
134.918976 -0.088 3.1339
135.255432 -0.088 3.1292
135.591888 -0.088 3.1244
135.928345 -0.088 3.1196
136.264801 -0.088 3.1150
136.601257 -0.088 3.1103
136.937714 -0.088 3.1057
137.274170 -0.088 3.1010
137.610626 -0.087 3.0964
137.947083 -0.087 3.0918
138.283539 -0.087 3.0873
138.619995 -0.087 3.0828
138.956451 -0.087 3.0782
139.292908 -0.087 3.0739
139.629364 -0.087 3.0694
139.965820 -0.087 3.0649
140.302277 -0.087 3.0605
140.638733 -0.086 3.0562
140.975189 -0.086 3.0519
141.311646 -0.086 3.0476
141.648102 -0.086 3.0433
141.984558 -0.086 3.0391
142.321014 -0.086 3.0348
142.657471 -0.086 3.0306
142.993927 -0.086 3.0264
143.330383 -0.086 3.0222
143.666840 -0.085 3.0181
144.003296 -0.085 3.0139
144.339752 -0.085 3.0099
144.676208 -0.085 3.0058
145.012665 -0.085 3.0017
145.349121 -0.085 2.9977
145.685577 -0.085 2.9937
146.022034 -0.085 2.9897
146.358490 -0.085 2.9858
146.694946 -0.084 2.9818
147.031403 -0.084 2.9779
147.367859 -0.084 2.9740
147.704315 -0.084 2.9702
148.040771 -0.084 2.9663
148.377228 -0.084 2.9625
148.713684 -0.084 2.9587
149.050140 -0.084 2.9549
149.386597 -0.084 2.9512
149.723053 -0.083 2.9474
150.059509 -0.083 2.9437
150.395966 -0.083 2.9399
150.732422 -0.083 2.9363
