* Measurement data measured by REW V5.20.13
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Oct 16, 2023 7:14:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 312 （Pad -20）3格
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 -0.317 15.4103
20.187378 -0.312 15.1761
20.523834 -0.306 14.9490
20.860291 -0.301 14.7285
21.196747 -0.296 14.5146
21.533203 -0.291 14.3070
21.869659 -0.287 14.1054
22.206116 -0.282 13.9097
22.542572 -0.278 13.7196
22.879028 -0.273 13.5350
23.215485 -0.269 13.3557
23.551941 -0.265 13.1814
23.888397 -0.261 13.0120
24.224854 -0.257 12.8472
24.561310 -0.254 12.6870
24.897766 -0.250 12.5309
25.234222 -0.247 12.3790
25.570679 -0.244 12.2310
25.907135 -0.241 12.0867
26.243591 -0.238 11.9460
26.580048 -0.235 11.8087
26.916504 -0.232 11.6747
27.252960 -0.229 11.5439
27.589417 -0.226 11.4161
27.925873 -0.224 11.2911
28.262329 -0.221 11.1691
28.598785 -0.219 11.0497
28.935242 -0.217 10.9329
29.271698 -0.214 10.8186
29.608154 -0.212 10.7068
29.944611 -0.210 10.5974
30.281067 -0.208 10.4904
30.617523 -0.206 10.3855
30.953979 -0.204 10.2828
31.290436 -0.202 10.1824
31.626892 -0.200 10.0839
31.963348 -0.198 9.9874
32.299805 -0.197 9.8929
32.636261 -0.195 9.8004
32.972717 -0.193 9.7097
33.309174 -0.191 9.6208
33.645630 -0.190 9.5337
33.982086 -0.188 9.4482
34.318542 -0.187 9.3644
34.654999 -0.185 9.2822
34.991455 -0.184 9.2015
35.327911 -0.182 9.1223
35.664368 -0.181 9.0447
36.000824 -0.179 8.9684
36.337280 -0.178 8.8934
36.673737 -0.177 8.8198
37.010193 -0.175 8.7476
37.346649 -0.174 8.6766
37.683105 -0.173 8.6068
38.019562 -0.172 8.5382
38.356018 -0.171 8.4707
38.692474 -0.170 8.4044
39.028931 -0.168 8.3392
39.365387 -0.167 8.2751
39.701843 -0.166 8.2120
40.038300 -0.165 8.1500
40.374756 -0.164 8.0889
40.711212 -0.163 8.0289
41.047668 -0.162 7.9697
41.384125 -0.161 7.9116
41.720581 -0.160 7.8542
42.057037 -0.160 7.7979
42.393494 -0.159 7.7423
42.729950 -0.158 7.6876
43.066406 -0.157 7.6338
43.402863 -0.156 7.5807
43.739319 -0.155 7.5284
44.075775 -0.154 7.4769
44.412231 -0.154 7.4263
44.748688 -0.153 7.3762
45.085144 -0.152 7.3270
45.421600 -0.151 7.2784
45.758057 -0.151 7.2307
46.094513 -0.150 7.1835
46.430969 -0.149 7.1371
46.767426 -0.149 7.0913
47.103882 -0.148 7.0461
47.440338 -0.147 7.0017
47.776794 -0.147 6.9579
48.113251 -0.146 6.9147
48.449707 -0.145 6.8721
48.786163 -0.145 6.8302
49.122620 -0.144 6.7888
49.459076 -0.143 6.7480
49.795532 -0.143 6.7079
50.131989 -0.142 6.6683
50.468445 -0.142 6.6292
50.804901 -0.141 6.5907
51.141357 -0.140 6.5527
51.477814 -0.140 6.5153
51.814270 -0.139 6.4784
52.150726 -0.139 6.4419
52.487183 -0.138 6.4060
52.823639 -0.137 6.3705
53.160095 -0.137 6.3355
53.496552 -0.136 6.3010
53.833008 -0.136 6.2668
54.169464 -0.135 6.2332
54.505920 -0.135 6.2000
54.842377 -0.134 6.1672
55.178833 -0.134 6.1348
55.515289 -0.133 6.1028
55.851746 -0.133 6.0712
56.188202 -0.132 6.0399
56.524658 -0.132 6.0090
56.861115 -0.131 5.9785
57.197571 -0.131 5.9484
57.534027 -0.130 5.9185
57.870483 -0.130 5.8890
58.206940 -0.129 5.8599
58.543396 -0.129 5.8311
58.879852 -0.128 5.8026
59.216309 -0.128 5.7744
59.552765 -0.128 5.7466
59.889221 -0.127 5.7191
60.225677 -0.127 5.6919
60.562134 -0.126 5.6649
60.898590 -0.126 5.6383
61.235046 -0.125 5.6119
61.571503 -0.125 5.5859
61.907959 -0.125 5.5601
62.244415 -0.124 5.5345
62.580872 -0.124 5.5093
62.917328 -0.124 5.4844
63.253784 -0.123 5.4597
63.590240 -0.123 5.4353
63.926697 -0.122 5.4111
64.263153 -0.122 5.3872
64.599609 -0.122 5.3635
64.936066 -0.121 5.3401
65.272522 -0.121 5.3169
65.608978 -0.121 5.2940
65.945435 -0.120 5.2713
66.281891 -0.120 5.2488
66.618347 -0.120 5.2266
66.954803 -0.119 5.2046
67.291260 -0.119 5.1829
67.627716 -0.119 5.1613
67.964172 -0.118 5.1399
68.300629 -0.118 5.1188
68.637085 -0.118 5.0979
68.973541 -0.117 5.0772
69.309998 -0.117 5.0567
69.646454 -0.117 5.0364
69.982910 -0.117 5.0164
70.319366 -0.116 4.9965
70.655823 -0.116 4.9767
70.992279 -0.116 4.9573
71.328735 -0.115 4.9379
71.665192 -0.115 4.9188
72.001648 -0.115 4.8998
72.338104 -0.115 4.8811
72.674561 -0.114 4.8625
73.011017 -0.114 4.8441
73.347473 -0.114 4.8259
73.683929 -0.113 4.8078
74.020386 -0.113 4.7899
74.356842 -0.113 4.7722
74.693298 -0.113 4.7546
75.029755 -0.112 4.7372
75.366211 -0.112 4.7200
75.702667 -0.112 4.7029
76.039124 -0.112 4.6860
76.375580 -0.111 4.6693
76.712036 -0.111 4.6527
77.048492 -0.111 4.6362
77.384949 -0.111 4.6199
77.721405 -0.110 4.6038
78.057861 -0.110 4.5878
78.394318 -0.110 4.5719
78.730774 -0.110 4.5562
79.067230 -0.109 4.5406
79.403687 -0.109 4.5251
79.740143 -0.109 4.5099
80.076599 -0.109 4.4948
80.413055 -0.108 4.4797
80.749512 -0.108 4.4648
81.085968 -0.108 4.4500
81.422424 -0.108 4.4354
81.758881 -0.107 4.4208
82.095337 -0.107 4.4064
82.431793 -0.107 4.3922
82.768250 -0.107 4.3781
83.104706 -0.107 4.3640
83.441162 -0.106 4.3501
83.777618 -0.106 4.3363
84.114075 -0.106 4.3226
84.450531 -0.106 4.3091
84.786987 -0.105 4.2957
85.123444 -0.105 4.2823
85.459900 -0.105 4.2692
85.796356 -0.105 4.2561
86.132812 -0.105 4.2431
86.469269 -0.104 4.2302
86.805725 -0.104 4.2175
87.142181 -0.104 4.2048
87.478638 -0.104 4.1923
87.815094 -0.104 4.1798
88.151550 -0.103 4.1675
88.488007 -0.103 4.1552
88.824463 -0.103 4.1431
89.160919 -0.103 4.1310
89.497375 -0.103 4.1191
89.833832 -0.102 4.1073
90.170288 -0.102 4.0955
90.506744 -0.102 4.0839
90.843201 -0.102 4.0723
91.179657 -0.102 4.0609
91.516113 -0.102 4.0495
91.852570 -0.101 4.0382
92.189026 -0.101 4.0271
92.525482 -0.101 4.0160
92.861938 -0.101 4.0050
93.198395 -0.101 3.9941
93.534851 -0.100 3.9833
93.871307 -0.100 3.9726
94.207764 -0.100 3.9620
94.544220 -0.100 3.9514
94.880676 -0.100 3.9410
95.217133 -0.100 3.9306
95.553589 -0.099 3.9203
95.890045 -0.099 3.9102
96.226501 -0.099 3.9000
96.562958 -0.099 3.8900
96.899414 -0.099 3.8800
97.235870 -0.099 3.8701
97.572327 -0.098 3.8604
97.908783 -0.098 3.8506
98.245239 -0.098 3.8409
98.581696 -0.098 3.8314
98.918152 -0.098 3.8219
99.254608 -0.098 3.8125
99.591064 -0.097 3.8032
99.927521 -0.097 3.7939
100.263977 -0.097 3.7848
100.600433 -0.097 3.7756
100.936890 -0.097 3.7666
101.273346 -0.097 3.7576
101.609802 -0.096 3.7487
101.946259 -0.096 3.7397
102.282715 -0.096 3.7309
102.619171 -0.096 3.7221
102.955627 -0.096 3.7134
103.292084 -0.096 3.7047
103.628540 -0.096 3.6960
103.964996 -0.095 3.6875
104.301453 -0.095 3.6790
104.637909 -0.095 3.6705
104.974365 -0.095 3.6621
105.310822 -0.095 3.6538
105.647278 -0.095 3.6455
105.983734 -0.095 3.6372
106.320190 -0.094 3.6290
106.656647 -0.094 3.6208
106.993103 -0.094 3.6128
107.329559 -0.094 3.6047
107.666016 -0.094 3.5967
108.002472 -0.094 3.5888
108.338928 -0.094 3.5809
108.675385 -0.093 3.5731
109.011841 -0.093 3.5653
109.348297 -0.093 3.5575
109.684753 -0.093 3.5498
110.021210 -0.093 3.5422
110.357666 -0.093 3.5345
110.694122 -0.093 3.5270
111.030579 -0.092 3.5195
111.367035 -0.092 3.5121
111.703491 -0.092 3.5046
112.039948 -0.092 3.4973
112.376404 -0.092 3.4900
112.712860 -0.092 3.4828
113.049316 -0.092 3.4755
113.385773 -0.092 3.4684
113.722229 -0.091 3.4612
114.058685 -0.091 3.4541
114.395142 -0.091 3.4471
114.731598 -0.091 3.4401
115.068054 -0.091 3.4331
115.404510 -0.091 3.4263
115.740967 -0.091 3.4194
116.077423 -0.090 3.4126
116.413879 -0.090 3.4058
116.750336 -0.090 3.3990
117.086792 -0.090 3.3923
117.423248 -0.090 3.3857
117.759705 -0.090 3.3792
118.096161 -0.090 3.3726
118.432617 -0.090 3.3660
118.769073 -0.089 3.3596
119.105530 -0.089 3.3531
119.441986 -0.089 3.3467
119.778442 -0.089 3.3404
120.114899 -0.089 3.3341
120.451355 -0.089 3.3278
120.787811 -0.089 3.3215
121.124268 -0.089 3.3154
121.460724 -0.089 3.3092
121.797180 -0.088 3.3031
122.133636 -0.088 3.2970
122.470093 -0.088 3.2910
122.806549 -0.088 3.2850
123.143005 -0.088 3.2791
123.479462 -0.088 3.2731
123.815918 -0.088 3.2672
124.152374 -0.088 3.2614
124.488831 -0.087 3.2555
124.825287 -0.087 3.2498
125.161743 -0.087 3.2440
125.498199 -0.087 3.2383
125.834656 -0.087 3.2327
126.171112 -0.087 3.2270
126.507568 -0.087 3.2214
126.844025 -0.087 3.2158
127.180481 -0.087 3.2103
127.516937 -0.086 3.2048
127.853394 -0.086 3.1993
128.189850 -0.086 3.1938
128.526306 -0.086 3.1885
128.862762 -0.086 3.1831
129.199219 -0.086 3.1777
129.535675 -0.086 3.1725
129.872131 -0.086 3.1672
130.208588 -0.086 3.1619
130.545044 -0.085 3.1567
130.881500 -0.085 3.1515
131.217957 -0.085 3.1464
131.554413 -0.085 3.1412
131.890869 -0.085 3.1361
132.227325 -0.085 3.1311
132.563782 -0.085 3.1260
132.900238 -0.085 3.1210
133.236694 -0.085 3.1161
133.573151 -0.084 3.1111
133.909607 -0.084 3.1062
134.246063 -0.084 3.1013
134.582520 -0.084 3.0964
134.918976 -0.084 3.0917
135.255432 -0.084 3.0869
135.591888 -0.084 3.0821
135.928345 -0.084 3.0774
136.264801 -0.084 3.0726
136.601257 -0.083 3.0680
136.937714 -0.083 3.0634
137.274170 -0.083 3.0587
137.610626 -0.083 3.0542
137.947083 -0.083 3.0496
138.283539 -0.083 3.0450
138.619995 -0.083 3.0405
138.956451 -0.083 3.0360
139.292908 -0.083 3.0316
139.629364 -0.083 3.0272
139.965820 -0.082 3.0228
140.302277 -0.082 3.0184
140.638733 -0.082 3.0140
140.975189 -0.082 3.0097
141.311646 -0.082 3.0054
141.648102 -0.082 3.0011
141.984558 -0.082 2.9969
142.321014 -0.082 2.9927
142.657471 -0.082 2.9885
142.993927 -0.082 2.9843
143.330383 -0.081 2.9801
143.666840 -0.081 2.9760
144.003296 -0.081 2.9719
144.339752 -0.081 2.9678
144.676208 -0.081 2.9637
145.012665 -0.081 2.9597
145.349121 -0.081 2.9557
145.685577 -0.081 2.9517
146.022034 -0.081 2.9478
146.358490 -0.081 2.9438
146.694946 -0.080 2.9398
147.031403 -0.080 2.9359
147.367859 -0.080 2.9321
147.704315 -0.080 2.9282
148.040771 -0.080 2.9244
148.377228 -0.080 2.9205
148.713684 -0.080 2.9167
149.050140 -0.080 2.9130
149.386597 -0.080 2.9092
149.723053 -0.080 2.9055
150.059509 -0.079 2.9018
150.395966 -0.079 2.8981
150.732422 -0.079 2.8944
