* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:41:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of 312 （Pad -20）0, 312 （Pad -20）1格, 312 （Pad -20）2格, 312 （Pad -20）3格, 312 （Pad -20）4格, 312 （Pad -20）5格, 312 （Pad -20）6格, 312 （Pad -20）7格, 312 （Pad -20）8格, 312 （Pad -20）9格, 312 （Pad -20）10格
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 -0.286 16.2691
20.187378 -0.280 16.0208
20.523834 -0.275 15.7808
20.860291 -0.269 15.5485
21.196747 -0.264 15.3236
21.533203 -0.260 15.1056
21.869659 -0.255 14.8941
22.206116 -0.251 14.6886
22.542572 -0.247 14.4890
22.879028 -0.243 14.2947
23.215485 -0.240 14.1057
23.551941 -0.236 13.9215
23.888397 -0.233 13.7420
24.224854 -0.230 13.5670
24.561310 -0.227 13.3964
24.897766 -0.224 13.2299
25.234222 -0.221 13.0675
25.570679 -0.218 12.9090
25.907135 -0.215 12.7544
26.243591 -0.213 12.6035
26.580048 -0.210 12.4563
26.916504 -0.207 12.3126
27.252960 -0.205 12.1724
27.589417 -0.202 12.0356
27.925873 -0.200 11.9021
28.262329 -0.197 11.7718
28.598785 -0.195 11.6446
28.935242 -0.193 11.5204
29.271698 -0.191 11.3991
29.608154 -0.189 11.2806
29.944611 -0.187 11.1648
30.281067 -0.185 11.0515
30.617523 -0.183 10.9407
30.953979 -0.181 10.8323
31.290436 -0.179 10.7262
31.626892 -0.177 10.6222
31.963348 -0.176 10.5204
32.299805 -0.174 10.4206
32.636261 -0.172 10.3228
32.972717 -0.171 10.2268
33.309174 -0.169 10.1327
33.645630 -0.168 10.0403
33.982086 -0.167 9.9497
34.318542 -0.165 9.8608
34.654999 -0.164 9.7735
34.991455 -0.162 9.6878
35.327911 -0.161 9.6037
35.664368 -0.160 9.5211
36.000824 -0.159 9.4399
36.337280 -0.157 9.3603
36.673737 -0.156 9.2821
37.010193 -0.155 9.2053
37.346649 -0.154 9.1298
37.683105 -0.153 9.0557
38.019562 -0.152 8.9829
38.356018 -0.151 8.9114
38.692474 -0.150 8.8411
39.028931 -0.148 8.7721
39.365387 -0.147 8.7041
39.701843 -0.146 8.6374
40.038300 -0.146 8.5717
40.374756 -0.145 8.5071
40.711212 -0.144 8.4436
41.047668 -0.143 8.3811
41.384125 -0.142 8.3196
41.720581 -0.141 8.2590
42.057037 -0.140 8.1994
42.393494 -0.139 8.1407
42.729950 -0.138 8.0829
43.066406 -0.138 8.0260
43.402863 -0.137 7.9699
43.739319 -0.136 7.9146
44.075775 -0.135 7.8602
44.412231 -0.135 7.8066
44.748688 -0.134 7.7538
45.085144 -0.133 7.7017
45.421600 -0.133 7.6504
45.758057 -0.132 7.5998
46.094513 -0.131 7.5500
46.430969 -0.130 7.5009
46.767426 -0.130 7.4525
47.103882 -0.129 7.4048
47.440338 -0.129 7.3577
47.776794 -0.128 7.3114
48.113251 -0.127 7.2657
48.449707 -0.127 7.2206
48.786163 -0.126 7.1762
49.122620 -0.126 7.1324
49.459076 -0.125 7.0892
49.795532 -0.124 7.0466
50.131989 -0.124 7.0046
50.468445 -0.123 6.9632
50.804901 -0.123 6.9223
51.141357 -0.122 6.8820
51.477814 -0.122 6.8422
51.814270 -0.121 6.8030
52.150726 -0.121 6.7642
52.487183 -0.120 6.7260
52.823639 -0.120 6.6882
53.160095 -0.119 6.6510
53.496552 -0.119 6.6142
53.833008 -0.118 6.5779
54.169464 -0.118 6.5420
54.505920 -0.117 6.5066
54.842377 -0.117 6.4716
55.178833 -0.117 6.4371
55.515289 -0.116 6.4029
55.851746 -0.116 6.3692
56.188202 -0.115 6.3359
56.524658 -0.115 6.3030
56.861115 -0.115 6.2705
57.197571 -0.114 6.2383
57.534027 -0.114 6.2066
57.870483 -0.113 6.1752
58.206940 -0.113 6.1442
58.543396 -0.113 6.1135
58.879852 -0.112 6.0832
59.216309 -0.112 6.0532
59.552765 -0.111 6.0236
59.889221 -0.111 5.9943
60.225677 -0.111 5.9654
60.562134 -0.110 5.9368
60.898590 -0.110 5.9084
61.235046 -0.110 5.8804
61.571503 -0.109 5.8527
61.907959 -0.109 5.8254
62.244415 -0.109 5.7983
62.580872 -0.108 5.7715
62.917328 -0.108 5.7450
63.253784 -0.108 5.7188
63.590240 -0.107 5.6928
63.926697 -0.107 5.6672
64.263153 -0.107 5.6418
64.599609 -0.107 5.6167
64.936066 -0.106 5.5918
65.272522 -0.106 5.5672
65.608978 -0.106 5.5429
65.945435 -0.105 5.5188
66.281891 -0.105 5.4950
66.618347 -0.105 5.4714
66.954803 -0.105 5.4481
67.291260 -0.104 5.4250
67.627716 -0.104 5.4021
67.964172 -0.104 5.3795
68.300629 -0.104 5.3571
68.637085 -0.103 5.3349
68.973541 -0.103 5.3130
69.309998 -0.103 5.2912
69.646454 -0.103 5.2697
69.982910 -0.102 5.2484
70.319366 -0.102 5.2273
70.655823 -0.102 5.2065
70.992279 -0.102 5.1858
71.328735 -0.101 5.1653
71.665192 -0.101 5.1451
72.001648 -0.101 5.1250
72.338104 -0.101 5.1051
72.674561 -0.100 5.0854
73.011017 -0.100 5.0659
73.347473 -0.100 5.0466
73.683929 -0.100 5.0275
74.020386 -0.099 5.0086
74.356842 -0.099 4.9898
74.693298 -0.099 4.9712
75.029755 -0.099 4.9528
75.366211 -0.099 4.9346
75.702667 -0.098 4.9165
76.039124 -0.098 4.8986
76.375580 -0.098 4.8809
76.712036 -0.098 4.8633
77.048492 -0.098 4.8459
77.384949 -0.097 4.8286
77.721405 -0.097 4.8115
78.057861 -0.097 4.7946
78.394318 -0.097 4.7778
78.730774 -0.097 4.7612
79.067230 -0.096 4.7447
79.403687 -0.096 4.7284
79.740143 -0.096 4.7122
80.076599 -0.096 4.6962
80.413055 -0.096 4.6803
80.749512 -0.095 4.6645
81.085968 -0.095 4.6489
81.422424 -0.095 4.6334
81.758881 -0.095 4.6180
82.095337 -0.095 4.6028
82.431793 -0.095 4.5877
82.768250 -0.094 4.5728
83.104706 -0.094 4.5580
83.441162 -0.094 4.5433
83.777618 -0.094 4.5287
84.114075 -0.094 4.5143
84.450531 -0.094 4.5000
84.786987 -0.093 4.4858
85.123444 -0.093 4.4717
85.459900 -0.093 4.4577
85.796356 -0.093 4.4439
86.132812 -0.093 4.4302
86.469269 -0.093 4.4166
86.805725 -0.092 4.4031
87.142181 -0.092 4.3897
87.478638 -0.092 4.3765
87.815094 -0.092 4.3633
88.151550 -0.092 4.3503
88.488007 -0.092 4.3374
88.824463 -0.091 4.3245
89.160919 -0.091 4.3118
89.497375 -0.091 4.2992
89.833832 -0.091 4.2867
90.170288 -0.091 4.2743
90.506744 -0.091 4.2620
90.843201 -0.091 4.2498
91.179657 -0.090 4.2377
91.516113 -0.090 4.2257
91.852570 -0.090 4.2139
92.189026 -0.090 4.2021
92.525482 -0.090 4.1904
92.861938 -0.090 4.1788
93.198395 -0.089 4.1673
93.534851 -0.089 4.1559
93.871307 -0.089 4.1445
94.207764 -0.089 4.1333
94.544220 -0.089 4.1222
94.880676 -0.089 4.1112
95.217133 -0.089 4.1002
95.553589 -0.089 4.0894
95.890045 -0.088 4.0786
96.226501 -0.088 4.0679
96.562958 -0.088 4.0573
96.899414 -0.088 4.0468
97.235870 -0.088 4.0364
97.572327 -0.088 4.0261
97.908783 -0.088 4.0158
98.245239 -0.087 4.0057
98.581696 -0.087 3.9956
98.918152 -0.087 3.9856
99.254608 -0.087 3.9757
99.591064 -0.087 3.9658
99.927521 -0.087 3.9561
100.263977 -0.087 3.9464
100.600433 -0.087 3.9368
100.936890 -0.086 3.9272
101.273346 -0.086 3.9178
101.609802 -0.086 3.9083
101.946259 -0.086 3.8989
102.282715 -0.086 3.8896
102.619171 -0.086 3.8804
102.955627 -0.086 3.8712
103.292084 -0.085 3.8620
103.628540 -0.085 3.8530
103.964996 -0.085 3.8439
104.301453 -0.085 3.8350
104.637909 -0.085 3.8260
104.974365 -0.085 3.8172
105.310822 -0.085 3.8084
105.647278 -0.085 3.7997
105.983734 -0.084 3.7910
106.320190 -0.084 3.7823
106.656647 -0.084 3.7738
106.993103 -0.084 3.7652
107.329559 -0.084 3.7568
107.666016 -0.084 3.7484
108.002472 -0.084 3.7400
108.338928 -0.084 3.7317
108.675385 -0.084 3.7235
109.011841 -0.083 3.7153
109.348297 -0.083 3.7071
109.684753 -0.083 3.6990
110.021210 -0.083 3.6910
110.357666 -0.083 3.6830
110.694122 -0.083 3.6751
111.030579 -0.083 3.6672
111.367035 -0.083 3.6594
111.703491 -0.082 3.6516
112.039948 -0.082 3.6438
112.376404 -0.082 3.6362
112.712860 -0.082 3.6285
113.049316 -0.082 3.6209
113.385773 -0.082 3.6134
113.722229 -0.082 3.6059
114.058685 -0.082 3.5985
114.395142 -0.082 3.5911
114.731598 -0.081 3.5838
115.068054 -0.081 3.5765
115.404510 -0.081 3.5692
115.740967 -0.081 3.5620
116.077423 -0.081 3.5549
116.413879 -0.081 3.5478
116.750336 -0.081 3.5407
117.086792 -0.081 3.5337
117.423248 -0.080 3.5267
117.759705 -0.080 3.5198
118.096161 -0.080 3.5129
118.432617 -0.080 3.5061
118.769073 -0.080 3.4993
119.105530 -0.080 3.4925
119.441986 -0.080 3.4858
119.778442 -0.080 3.4792
120.114899 -0.080 3.4725
120.451355 -0.079 3.4659
120.787811 -0.079 3.4594
121.124268 -0.079 3.4529
121.460724 -0.079 3.4464
121.797180 -0.079 3.4400
122.133636 -0.079 3.4337
122.470093 -0.079 3.4273
122.806549 -0.079 3.4210
123.143005 -0.079 3.4148
123.479462 -0.079 3.4085
123.815918 -0.078 3.4024
124.152374 -0.078 3.3962
124.488831 -0.078 3.3901
124.825287 -0.078 3.3840
125.161743 -0.078 3.3780
125.498199 -0.078 3.3720
125.834656 -0.078 3.3661
126.171112 -0.078 3.3601
126.507568 -0.078 3.3543
126.844025 -0.077 3.3484
127.180481 -0.077 3.3426
127.516937 -0.077 3.3368
127.853394 -0.077 3.3311
128.189850 -0.077 3.3254
128.526306 -0.077 3.3197
128.862762 -0.077 3.3141
129.199219 -0.077 3.3085
129.535675 -0.077 3.3029
129.872131 -0.077 3.2974
130.208588 -0.076 3.2919
130.545044 -0.076 3.2864
130.881500 -0.076 3.2809
131.217957 -0.076 3.2755
131.554413 -0.076 3.2702
131.890869 -0.076 3.2648
132.227325 -0.076 3.2595
132.563782 -0.076 3.2542
132.900238 -0.076 3.2490
133.236694 -0.075 3.2438
133.573151 -0.075 3.2386
133.909607 -0.075 3.2334
134.246063 -0.075 3.2283
134.582520 -0.075 3.2232
134.918976 -0.075 3.2182
135.255432 -0.075 3.2131
135.591888 -0.075 3.2081
135.928345 -0.075 3.2032
136.264801 -0.075 3.1982
136.601257 -0.074 3.1933
136.937714 -0.074 3.1884
137.274170 -0.074 3.1835
137.610626 -0.074 3.1787
137.947083 -0.074 3.1739
138.283539 -0.074 3.1691
138.619995 -0.074 3.1644
138.956451 -0.074 3.1596
139.292908 -0.074 3.1549
139.629364 -0.074 3.1503
139.965820 -0.074 3.1456
140.302277 -0.073 3.1410
140.638733 -0.073 3.1364
140.975189 -0.073 3.1319
141.311646 -0.073 3.1273
141.648102 -0.073 3.1228
141.984558 -0.073 3.1183
142.321014 -0.073 3.1139
142.657471 -0.073 3.1094
142.993927 -0.073 3.1050
143.330383 -0.073 3.1006
143.666840 -0.072 3.0962
144.003296 -0.072 3.0919
144.339752 -0.072 3.0876
144.676208 -0.072 3.0833
145.012665 -0.072 3.0790
145.349121 -0.072 3.0748
145.685577 -0.072 3.0706
146.022034 -0.072 3.0664
146.358490 -0.072 3.0622
146.694946 -0.072 3.0580
147.031403 -0.071 3.0539
147.367859 -0.071 3.0498
147.704315 -0.071 3.0457
148.040771 -0.071 3.0416
148.377228 -0.071 3.0376
148.713684 -0.071 3.0336
149.050140 -0.071 3.0296
