* Measurement data measured by REW V5.20.13
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Oct 16, 2023 7:32:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: B1D 1
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 -0.514 15.6301
20.187378 -0.509 15.4219
20.523834 -0.503 15.2189
20.860291 -0.498 15.0214
21.196747 -0.493 14.8292
21.533203 -0.487 14.6423
21.869659 -0.482 14.4609
22.206116 -0.477 14.2847
22.542572 -0.471 14.1136
22.879028 -0.466 13.9478
23.215485 -0.461 13.7869
23.551941 -0.456 13.6308
23.888397 -0.452 13.4793
24.224854 -0.447 13.3323
24.561310 -0.442 13.1893
24.897766 -0.438 13.0504
25.234222 -0.434 12.9153
25.570679 -0.430 12.7836
25.907135 -0.426 12.6552
26.243591 -0.422 12.5300
26.580048 -0.418 12.4077
26.916504 -0.415 12.2881
27.252960 -0.411 12.1713
27.589417 -0.408 12.0568
27.925873 -0.405 11.9448
28.262329 -0.402 11.8351
28.598785 -0.398 11.7277
28.935242 -0.395 11.6223
29.271698 -0.392 11.5190
29.608154 -0.390 11.4178
29.944611 -0.387 11.3185
30.281067 -0.384 11.2213
30.617523 -0.381 11.1259
30.953979 -0.378 11.0323
31.290436 -0.376 10.9407
31.626892 -0.373 10.8508
31.963348 -0.370 10.7628
32.299805 -0.368 10.6764
32.636261 -0.365 10.5917
32.972717 -0.363 10.5087
33.309174 -0.360 10.4272
33.645630 -0.358 10.3474
33.982086 -0.356 10.2690
34.318542 -0.353 10.1921
34.654999 -0.351 10.1166
34.991455 -0.349 10.0425
35.327911 -0.347 9.9697
35.664368 -0.345 9.8982
36.000824 -0.342 9.8279
36.337280 -0.340 9.7589
36.673737 -0.338 9.6910
37.010193 -0.337 9.6243
37.346649 -0.335 9.5586
37.683105 -0.333 9.4940
38.019562 -0.331 9.4304
38.356018 -0.329 9.3679
38.692474 -0.327 9.3063
39.028931 -0.326 9.2457
39.365387 -0.324 9.1860
39.701843 -0.322 9.1272
40.038300 -0.321 9.0693
40.374756 -0.319 9.0123
40.711212 -0.317 8.9561
41.047668 -0.316 8.9008
41.384125 -0.314 8.8463
41.720581 -0.313 8.7925
42.057037 -0.311 8.7395
42.393494 -0.309 8.6874
42.729950 -0.308 8.6359
43.066406 -0.306 8.5852
43.402863 -0.305 8.5352
43.739319 -0.304 8.4859
44.075775 -0.302 8.4373
44.412231 -0.301 8.3894
44.748688 -0.299 8.3421
45.085144 -0.298 8.2955
45.421600 -0.296 8.2495
45.758057 -0.295 8.2042
46.094513 -0.294 8.1595
46.430969 -0.292 8.1154
46.767426 -0.291 8.0718
47.103882 -0.290 8.0289
47.440338 -0.288 7.9865
47.776794 -0.287 7.9447
48.113251 -0.286 7.9034
48.449707 -0.285 7.8627
48.786163 -0.284 7.8225
49.122620 -0.282 7.7828
49.459076 -0.281 7.7437
49.795532 -0.280 7.7051
50.131989 -0.279 7.6669
50.468445 -0.278 7.6293
50.804901 -0.277 7.5920
51.141357 -0.276 7.5554
51.477814 -0.274 7.5191
51.814270 -0.273 7.4833
52.150726 -0.272 7.4479
52.487183 -0.271 7.4130
52.823639 -0.270 7.3785
53.160095 -0.269 7.3444
53.496552 -0.268 7.3107
53.833008 -0.267 7.2775
54.169464 -0.266 7.2445
54.505920 -0.266 7.2120
54.842377 -0.265 7.1799
55.178833 -0.264 7.1481
55.515289 -0.263 7.1167
55.851746 -0.262 7.0856
56.188202 -0.261 7.0549
56.524658 -0.260 7.0245
56.861115 -0.259 6.9944
57.197571 -0.258 6.9646
57.534027 -0.258 6.9352
57.870483 -0.257 6.9061
58.206940 -0.256 6.8772
58.543396 -0.255 6.8487
58.879852 -0.254 6.8204
59.216309 -0.253 6.7925
59.552765 -0.253 6.7648
59.889221 -0.252 6.7374
60.225677 -0.251 6.7103
60.562134 -0.250 6.6835
60.898590 -0.249 6.6570
61.235046 -0.249 6.6306
61.571503 -0.248 6.6046
61.907959 -0.247 6.5787
62.244415 -0.246 6.5532
62.580872 -0.246 6.5280
62.917328 -0.245 6.5029
63.253784 -0.244 6.4780
63.590240 -0.243 6.4535
63.926697 -0.243 6.4291
64.263153 -0.242 6.4050
64.599609 -0.241 6.3811
64.936066 -0.241 6.3575
65.272522 -0.240 6.3340
65.608978 -0.239 6.3108
65.945435 -0.239 6.2878
66.281891 -0.238 6.2650
66.618347 -0.237 6.2424
66.954803 -0.237 6.2201
67.291260 -0.236 6.1979
67.627716 -0.235 6.1759
67.964172 -0.235 6.1541
68.300629 -0.234 6.1326
68.637085 -0.233 6.1111
68.973541 -0.233 6.0900
69.309998 -0.232 6.0689
69.646454 -0.232 6.0481
69.982910 -0.231 6.0275
70.319366 -0.230 6.0070
70.655823 -0.230 5.9867
70.992279 -0.229 5.9666
71.328735 -0.228 5.9467
71.665192 -0.228 5.9269
72.001648 -0.227 5.9072
72.338104 -0.227 5.8878
72.674561 -0.226 5.8685
73.011017 -0.226 5.8495
73.347473 -0.225 5.8305
73.683929 -0.224 5.8117
74.020386 -0.224 5.7931
74.356842 -0.223 5.7746
74.693298 -0.223 5.7563
75.029755 -0.222 5.7382
75.366211 -0.222 5.7201
75.702667 -0.221 5.7023
76.039124 -0.221 5.6845
76.375580 -0.220 5.6669
76.712036 -0.220 5.6495
77.048492 -0.219 5.6322
77.384949 -0.219 5.6150
77.721405 -0.218 5.5980
78.057861 -0.218 5.5811
78.394318 -0.217 5.5643
78.730774 -0.217 5.5477
79.067230 -0.216 5.5312
79.403687 -0.216 5.5148
79.740143 -0.215 5.4986
80.076599 -0.215 5.4825
80.413055 -0.214 5.4665
80.749512 -0.214 5.4506
81.085968 -0.213 5.4349
81.422424 -0.213 5.4193
81.758881 -0.212 5.4037
82.095337 -0.212 5.3884
82.431793 -0.211 5.3731
82.768250 -0.211 5.3580
83.104706 -0.210 5.3429
83.441162 -0.210 5.3280
83.777618 -0.209 5.3132
84.114075 -0.209 5.2985
84.450531 -0.208 5.2839
84.786987 -0.208 5.2694
85.123444 -0.208 5.2551
85.459900 -0.207 5.2408
85.796356 -0.207 5.2267
86.132812 -0.206 5.2126
86.469269 -0.206 5.1986
86.805725 -0.205 5.1848
87.142181 -0.205 5.1710
87.478638 -0.205 5.1573
87.815094 -0.204 5.1438
88.151550 -0.204 5.1304
88.488007 -0.203 5.1170
88.824463 -0.203 5.1038
89.160919 -0.202 5.0906
89.497375 -0.202 5.0775
89.833832 -0.202 5.0646
90.170288 -0.201 5.0517
90.506744 -0.201 5.0389
90.843201 -0.200 5.0262
91.179657 -0.200 5.0136
91.516113 -0.200 5.0011
91.852570 -0.199 4.9886
92.189026 -0.199 4.9763
92.525482 -0.198 4.9641
92.861938 -0.198 4.9519
93.198395 -0.198 4.9398
93.534851 -0.197 4.9279
93.871307 -0.197 4.9160
94.207764 -0.196 4.9042
94.544220 -0.196 4.8924
94.880676 -0.196 4.8807
95.217133 -0.195 4.8691
95.553589 -0.195 4.8577
95.890045 -0.195 4.8463
96.226501 -0.194 4.8350
96.562958 -0.194 4.8237
96.899414 -0.194 4.8125
97.235870 -0.193 4.8014
97.572327 -0.193 4.7904
97.908783 -0.192 4.7795
98.245239 -0.192 4.7686
98.581696 -0.192 4.7578
98.918152 -0.191 4.7471
99.254608 -0.191 4.7365
99.591064 -0.191 4.7260
99.927521 -0.190 4.7155
100.263977 -0.190 4.7051
100.600433 -0.190 4.6947
100.936890 -0.189 4.6844
101.273346 -0.189 4.6742
101.609802 -0.189 4.6640
101.946259 -0.188 4.6539
102.282715 -0.188 4.6438
102.619171 -0.188 4.6338
102.955627 -0.187 4.6238
103.292084 -0.187 4.6139
103.628540 -0.187 4.6040
103.964996 -0.186 4.5941
104.301453 -0.186 4.5844
104.637909 -0.186 4.5746
104.974365 -0.185 4.5649
105.310822 -0.185 4.5554
105.647278 -0.185 4.5458
105.983734 -0.184 4.5363
106.320190 -0.184 4.5268
106.656647 -0.184 4.5173
106.993103 -0.184 4.5080
107.329559 -0.183 4.4987
107.666016 -0.183 4.4894
108.002472 -0.183 4.4801
108.338928 -0.182 4.4709
108.675385 -0.182 4.4618
109.011841 -0.182 4.4527
109.348297 -0.181 4.4437
109.684753 -0.181 4.4347
110.021210 -0.181 4.4257
110.357666 -0.180 4.4167
110.694122 -0.180 4.4079
111.030579 -0.180 4.3990
111.367035 -0.180 4.3903
111.703491 -0.179 4.3816
112.039948 -0.179 4.3729
112.376404 -0.179 4.3643
112.712860 -0.178 4.3557
113.049316 -0.178 4.3471
113.385773 -0.178 4.3386
113.722229 -0.178 4.3301
114.058685 -0.177 4.3217
114.395142 -0.177 4.3134
114.731598 -0.177 4.3050
115.068054 -0.176 4.2967
115.404510 -0.176 4.2885
115.740967 -0.176 4.2803
116.077423 -0.176 4.2721
116.413879 -0.175 4.2639
116.750336 -0.175 4.2559
117.086792 -0.175 4.2478
117.423248 -0.175 4.2399
117.759705 -0.174 4.2319
118.096161 -0.174 4.2240
118.432617 -0.174 4.2161
118.769073 -0.174 4.2083
119.105530 -0.173 4.2004
119.441986 -0.173 4.1927
119.778442 -0.173 4.1850
120.114899 -0.172 4.1773
120.451355 -0.172 4.1697
120.787811 -0.172 4.1621
121.124268 -0.172 4.1545
121.460724 -0.171 4.1470
121.797180 -0.171 4.1395
122.133636 -0.171 4.1321
122.470093 -0.171 4.1246
122.806549 -0.170 4.1173
123.143005 -0.170 4.1100
123.479462 -0.170 4.1027
123.815918 -0.170 4.0955
124.152374 -0.169 4.0882
124.488831 -0.169 4.0811
124.825287 -0.169 4.0739
125.161743 -0.169 4.0668
125.498199 -0.168 4.0597
125.834656 -0.168 4.0526
126.171112 -0.168 4.0457
126.507568 -0.168 4.0386
126.844025 -0.168 4.0317
127.180481 -0.167 4.0248
127.516937 -0.167 4.0179
127.853394 -0.167 4.0111
128.189850 -0.167 4.0043
128.526306 -0.166 3.9976
128.862762 -0.166 3.9908
129.199219 -0.166 3.9841
129.535675 -0.166 3.9774
129.872131 -0.165 3.9707
130.208588 -0.165 3.9641
130.545044 -0.165 3.9575
130.881500 -0.165 3.9510
131.217957 -0.164 3.9445
131.554413 -0.164 3.9380
131.890869 -0.164 3.9315
132.227325 -0.164 3.9251
132.563782 -0.164 3.9187
132.900238 -0.163 3.9124
133.236694 -0.163 3.9060
133.573151 -0.163 3.8997
133.909607 -0.163 3.8934
134.246063 -0.162 3.8871
134.582520 -0.162 3.8809
134.918976 -0.162 3.8748
135.255432 -0.162 3.8685
135.591888 -0.162 3.8624
135.928345 -0.161 3.8563
136.264801 -0.161 3.8502
136.601257 -0.161 3.8442
136.937714 -0.161 3.8382
137.274170 -0.160 3.8322
137.610626 -0.160 3.8263
137.947083 -0.160 3.8203
138.283539 -0.160 3.8144
138.619995 -0.160 3.8085
138.956451 -0.159 3.8026
139.292908 -0.159 3.7968
139.629364 -0.159 3.7910
139.965820 -0.159 3.7853
140.302277 -0.159 3.7795
140.638733 -0.158 3.7737
140.975189 -0.158 3.7681
141.311646 -0.158 3.7623
141.648102 -0.158 3.7567
141.984558 -0.158 3.7511
142.321014 -0.157 3.7455
142.657471 -0.157 3.7399
142.993927 -0.157 3.7343
143.330383 -0.157 3.7288
143.666840 -0.157 3.7233
144.003296 -0.156 3.7178
144.339752 -0.156 3.7123
144.676208 -0.156 3.7069
145.012665 -0.156 3.7014
145.349121 -0.156 3.6960
145.685577 -0.155 3.6907
146.022034 -0.155 3.6853
146.358490 -0.155 3.6800
146.694946 -0.155 3.6747
147.031403 -0.155 3.6694
147.367859 -0.154 3.6641
147.704315 -0.154 3.6589
148.040771 -0.154 3.6537
148.377228 -0.154 3.6484
148.713684 -0.154 3.6432
149.050140 -0.153 3.6381
149.386597 -0.153 3.6329
149.723053 -0.153 3.6278
150.059509 -0.153 3.6227
150.395966 -0.153 3.6177
150.732422 -0.152 3.6126
