* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:44:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of B1D 0, B1D 1, B1D 2, B1D 3, B1D 4, B1D 5, B1D 6, B1D 7, B1D 8, B1D 9, B1D 10
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 -0.370 13.2729
20.187378 -0.366 13.0940
20.523834 -0.362 12.9193
20.860291 -0.358 12.7487
21.196747 -0.355 12.5820
21.533203 -0.351 12.4191
21.869659 -0.347 12.2600
22.206116 -0.344 12.1047
22.542572 -0.340 11.9531
22.879028 -0.337 11.8052
23.215485 -0.333 11.6612
23.551941 -0.330 11.5209
23.888397 -0.326 11.3844
24.224854 -0.322 11.2517
24.561310 -0.319 11.1227
24.897766 -0.315 10.9973
25.234222 -0.312 10.8756
25.570679 -0.309 10.7574
25.907135 -0.305 10.6425
26.243591 -0.302 10.5309
26.580048 -0.299 10.4223
26.916504 -0.296 10.3167
27.252960 -0.293 10.2138
27.589417 -0.290 10.1136
27.925873 -0.288 10.0157
28.262329 -0.285 9.9201
28.598785 -0.283 9.8266
28.935242 -0.280 9.7351
29.271698 -0.278 9.6454
29.608154 -0.276 9.5574
29.944611 -0.274 9.4711
30.281067 -0.272 9.3863
30.617523 -0.270 9.3030
30.953979 -0.268 9.2212
31.290436 -0.266 9.1407
31.626892 -0.264 9.0616
31.963348 -0.262 8.9839
32.299805 -0.261 8.9075
32.636261 -0.259 8.8325
32.972717 -0.257 8.7587
33.309174 -0.255 8.6863
33.645630 -0.253 8.6152
33.982086 -0.252 8.5455
34.318542 -0.250 8.4770
34.654999 -0.248 8.4099
34.991455 -0.247 8.3440
35.327911 -0.245 8.2794
35.664368 -0.243 8.2160
36.000824 -0.242 8.1538
36.337280 -0.240 8.0928
36.673737 -0.238 8.0329
37.010193 -0.237 7.9741
37.346649 -0.235 7.9164
37.683105 -0.234 7.8597
38.019562 -0.232 7.8040
38.356018 -0.231 7.7492
38.692474 -0.230 7.6953
39.028931 -0.228 7.6423
39.365387 -0.227 7.5901
39.701843 -0.226 7.5387
40.038300 -0.225 7.4880
40.374756 -0.223 7.4381
40.711212 -0.222 7.3890
41.047668 -0.221 7.3405
41.384125 -0.220 7.2927
41.720581 -0.219 7.2456
42.057037 -0.217 7.1992
42.393494 -0.216 7.1534
42.729950 -0.215 7.1082
43.066406 -0.214 7.0637
43.402863 -0.213 7.0198
43.739319 -0.212 6.9765
44.075775 -0.211 6.9339
44.412231 -0.210 6.8918
44.748688 -0.209 6.8503
45.085144 -0.208 6.8094
45.421600 -0.207 6.7691
45.758057 -0.206 6.7294
46.094513 -0.205 6.6902
46.430969 -0.204 6.6516
46.767426 -0.203 6.6135
47.103882 -0.202 6.5760
47.440338 -0.201 6.5389
47.776794 -0.200 6.5024
48.113251 -0.199 6.4664
48.449707 -0.198 6.4308
48.786163 -0.197 6.3957
49.122620 -0.196 6.3611
49.459076 -0.195 6.3269
49.795532 -0.194 6.2931
50.131989 -0.194 6.2598
50.468445 -0.193 6.2269
50.804901 -0.192 6.1944
51.141357 -0.191 6.1623
51.477814 -0.190 6.1306
51.814270 -0.190 6.0993
52.150726 -0.189 6.0683
52.487183 -0.188 6.0377
52.823639 -0.187 6.0075
53.160095 -0.186 5.9777
53.496552 -0.186 5.9481
53.833008 -0.185 5.9190
54.169464 -0.184 5.8902
54.505920 -0.184 5.8617
54.842377 -0.183 5.8335
55.178833 -0.182 5.8057
55.515289 -0.181 5.7781
55.851746 -0.181 5.7509
56.188202 -0.180 5.7240
56.524658 -0.179 5.6974
56.861115 -0.179 5.6711
57.197571 -0.178 5.6451
57.534027 -0.177 5.6193
57.870483 -0.177 5.5939
58.206940 -0.176 5.5687
58.543396 -0.176 5.5437
58.879852 -0.175 5.5191
59.216309 -0.174 5.4947
59.552765 -0.174 5.4705
59.889221 -0.173 5.4466
60.225677 -0.172 5.4230
60.562134 -0.172 5.3996
60.898590 -0.171 5.3764
61.235046 -0.171 5.3535
61.571503 -0.170 5.3308
61.907959 -0.170 5.3083
62.244415 -0.169 5.2860
62.580872 -0.168 5.2640
62.917328 -0.168 5.2422
63.253784 -0.167 5.2205
63.590240 -0.167 5.1991
63.926697 -0.166 5.1780
64.263153 -0.166 5.1570
64.599609 -0.165 5.1362
64.936066 -0.165 5.1156
65.272522 -0.164 5.0952
65.608978 -0.164 5.0750
65.945435 -0.163 5.0551
66.281891 -0.163 5.0352
66.618347 -0.162 5.0156
66.954803 -0.162 4.9962
67.291260 -0.161 4.9770
67.627716 -0.161 4.9579
67.964172 -0.160 4.9390
68.300629 -0.160 4.9203
68.637085 -0.159 4.9017
68.973541 -0.159 4.8833
69.309998 -0.158 4.8651
69.646454 -0.158 4.8471
69.982910 -0.157 4.8292
70.319366 -0.157 4.8115
70.655823 -0.156 4.7939
70.992279 -0.156 4.7765
71.328735 -0.155 4.7592
71.665192 -0.155 4.7421
72.001648 -0.154 4.7252
72.338104 -0.154 4.7084
72.674561 -0.154 4.6917
73.011017 -0.153 4.6752
73.347473 -0.153 4.6588
73.683929 -0.152 4.6425
74.020386 -0.152 4.6264
74.356842 -0.151 4.6105
74.693298 -0.151 4.5946
75.029755 -0.150 4.5789
75.366211 -0.150 4.5634
75.702667 -0.150 4.5479
76.039124 -0.149 4.5326
76.375580 -0.149 4.5174
76.712036 -0.148 4.5024
77.048492 -0.148 4.4874
77.384949 -0.148 4.4726
77.721405 -0.147 4.4579
78.057861 -0.147 4.4433
78.394318 -0.146 4.4288
78.730774 -0.146 4.4145
79.067230 -0.146 4.4003
79.403687 -0.145 4.3861
79.740143 -0.145 4.3721
80.076599 -0.145 4.3582
80.413055 -0.144 4.3444
80.749512 -0.144 4.3308
81.085968 -0.143 4.3172
81.422424 -0.143 4.3037
81.758881 -0.143 4.2903
82.095337 -0.142 4.2771
82.431793 -0.142 4.2639
82.768250 -0.142 4.2508
83.104706 -0.141 4.2379
83.441162 -0.141 4.2250
83.777618 -0.140 4.2122
84.114075 -0.140 4.1996
84.450531 -0.140 4.1870
84.786987 -0.139 4.1745
85.123444 -0.139 4.1621
85.459900 -0.139 4.1498
85.796356 -0.138 4.1376
86.132812 -0.138 4.1255
86.469269 -0.138 4.1134
86.805725 -0.137 4.1015
87.142181 -0.137 4.0896
87.478638 -0.137 4.0779
87.815094 -0.136 4.0662
88.151550 -0.136 4.0546
88.488007 -0.136 4.0431
88.824463 -0.135 4.0316
89.160919 -0.135 4.0203
89.497375 -0.135 4.0090
89.833832 -0.134 3.9979
90.170288 -0.134 3.9868
90.506744 -0.134 3.9757
90.843201 -0.134 3.9648
91.179657 -0.133 3.9539
91.516113 -0.133 3.9431
91.852570 -0.133 3.9324
92.189026 -0.132 3.9218
92.525482 -0.132 3.9112
92.861938 -0.132 3.9008
93.198395 -0.131 3.8904
93.534851 -0.131 3.8800
93.871307 -0.131 3.8698
94.207764 -0.131 3.8596
94.544220 -0.130 3.8495
94.880676 -0.130 3.8394
95.217133 -0.130 3.8295
95.553589 -0.129 3.8196
95.890045 -0.129 3.8098
96.226501 -0.129 3.8000
96.562958 -0.129 3.7903
96.899414 -0.128 3.7807
97.235870 -0.128 3.7712
97.572327 -0.128 3.7617
97.908783 -0.127 3.7523
98.245239 -0.127 3.7429
98.581696 -0.127 3.7337
98.918152 -0.127 3.7245
99.254608 -0.126 3.7153
99.591064 -0.126 3.7062
99.927521 -0.126 3.6972
100.263977 -0.126 3.6883
100.600433 -0.125 3.6794
100.936890 -0.125 3.6705
101.273346 -0.125 3.6617
101.609802 -0.125 3.6530
101.946259 -0.124 3.6443
102.282715 -0.124 3.6356
102.619171 -0.124 3.6270
102.955627 -0.124 3.6184
103.292084 -0.123 3.6098
103.628540 -0.123 3.6014
103.964996 -0.123 3.5929
104.301453 -0.123 3.5845
104.637909 -0.122 3.5761
104.974365 -0.122 3.5678
105.310822 -0.122 3.5596
105.647278 -0.122 3.5513
105.983734 -0.121 3.5431
106.320190 -0.121 3.5350
106.656647 -0.121 3.5269
106.993103 -0.121 3.5189
107.329559 -0.120 3.5108
107.666016 -0.120 3.5029
108.002472 -0.120 3.4949
108.338928 -0.120 3.4870
108.675385 -0.119 3.4792
109.011841 -0.119 3.4714
109.348297 -0.119 3.4636
109.684753 -0.119 3.4559
110.021210 -0.118 3.4482
110.357666 -0.118 3.4406
110.694122 -0.118 3.4330
111.030579 -0.118 3.4254
111.367035 -0.117 3.4179
111.703491 -0.117 3.4104
112.039948 -0.117 3.4029
112.376404 -0.117 3.3955
112.712860 -0.117 3.3881
113.049316 -0.116 3.3808
113.385773 -0.116 3.3735
113.722229 -0.116 3.3663
114.058685 -0.116 3.3590
114.395142 -0.115 3.3519
114.731598 -0.115 3.3447
115.068054 -0.115 3.3376
115.404510 -0.115 3.3305
115.740967 -0.115 3.3235
116.077423 -0.114 3.3165
116.413879 -0.114 3.3095
116.750336 -0.114 3.3026
117.086792 -0.114 3.2957
117.423248 -0.113 3.2888
117.759705 -0.113 3.2820
118.096161 -0.113 3.2752
118.432617 -0.113 3.2684
118.769073 -0.113 3.2617
119.105530 -0.112 3.2550
119.441986 -0.112 3.2483
119.778442 -0.112 3.2417
120.114899 -0.112 3.2351
120.451355 -0.112 3.2286
120.787811 -0.111 3.2220
121.124268 -0.111 3.2155
121.460724 -0.111 3.2091
121.797180 -0.111 3.2027
122.133636 -0.111 3.1963
122.470093 -0.110 3.1899
122.806549 -0.110 3.1835
123.143005 -0.110 3.1772
123.479462 -0.110 3.1710
123.815918 -0.110 3.1647
124.152374 -0.109 3.1585
124.488831 -0.109 3.1523
124.825287 -0.109 3.1462
125.161743 -0.109 3.1400
125.498199 -0.109 3.1340
125.834656 -0.108 3.1279
126.171112 -0.108 3.1218
126.507568 -0.108 3.1158
126.844025 -0.108 3.1099
127.180481 -0.108 3.1039
127.516937 -0.107 3.0980
127.853394 -0.107 3.0921
128.189850 -0.107 3.0862
128.526306 -0.107 3.0804
128.862762 -0.107 3.0746
129.199219 -0.106 3.0688
129.535675 -0.106 3.0630
129.872131 -0.106 3.0573
130.208588 -0.106 3.0516
130.545044 -0.106 3.0459
130.881500 -0.106 3.0403
131.217957 -0.105 3.0347
131.554413 -0.105 3.0291
131.890869 -0.105 3.0235
132.227325 -0.105 3.0180
132.563782 -0.105 3.0124
132.900238 -0.104 3.0069
133.236694 -0.104 3.0015
133.573151 -0.104 2.9960
133.909607 -0.104 2.9906
134.246063 -0.104 2.9852
134.582520 -0.104 2.9798
134.918976 -0.103 2.9745
135.255432 -0.103 2.9692
135.591888 -0.103 2.9639
135.928345 -0.103 2.9586
136.264801 -0.103 2.9534
136.601257 -0.102 2.9481
136.937714 -0.102 2.9429
137.274170 -0.102 2.9378
137.610626 -0.102 2.9326
137.947083 -0.102 2.9275
138.283539 -0.102 2.9224
138.619995 -0.101 2.9173
138.956451 -0.101 2.9122
139.292908 -0.101 2.9072
139.629364 -0.101 2.9021
139.965820 -0.101 2.8971
140.302277 -0.101 2.8922
140.638733 -0.100 2.8872
140.975189 -0.100 2.8823
141.311646 -0.100 2.8774
141.648102 -0.100 2.8725
141.984558 -0.100 2.8676
142.321014 -0.100 2.8628
142.657471 -0.099 2.8579
142.993927 -0.099 2.8531
143.330383 -0.099 2.8483
143.666840 -0.099 2.8436
144.003296 -0.099 2.8388
144.339752 -0.099 2.8341
144.676208 -0.098 2.8294
145.012665 -0.098 2.8247
145.349121 -0.098 2.8200
145.685577 -0.098 2.8154
146.022034 -0.098 2.8108
146.358490 -0.098 2.8061
146.694946 -0.097 2.8016
147.031403 -0.097 2.7970
147.367859 -0.097 2.7924
147.704315 -0.097 2.7879
148.040771 -0.097 2.7834
148.377228 -0.097 2.7789
148.713684 -0.096 2.7744
149.050140 -0.096 2.7699
149.386597 -0.096 2.7655
149.723053 -0.096 2.7611
150.059509 -0.096 2.7567
150.395966 -0.096 2.7523
150.732422 -0.096 2.7479
