* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:42:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of Voxbox 40, Voxbox 45, Voxbox 50, Voxbox 55, Voxbox 60
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 0.106 17.2397
20.187378 0.097 16.8244
20.523834 0.089 16.4388
20.860291 0.081 16.0807
21.196747 0.075 15.7478
21.533203 0.070 15.4379
21.869659 0.065 15.1487
22.206116 0.062 14.8779
22.542572 0.058 14.6234
22.879028 0.056 14.3831
23.215485 0.053 14.1550
23.551941 0.051 13.9376
23.888397 0.050 13.7291
24.224854 0.048 13.5284
24.561310 0.047 13.3344
24.897766 0.045 13.1461
25.234222 0.044 12.9629
25.570679 0.043 12.7842
25.907135 0.043 12.6098
26.243591 0.042 12.4394
26.580048 0.042 12.2729
26.916504 0.041 12.1103
27.252960 0.041 11.9516
27.589417 0.041 11.7969
27.925873 0.041 11.6462
28.262329 0.041 11.4997
28.598785 0.041 11.3573
28.935242 0.041 11.2192
29.271698 0.041 11.0853
29.608154 0.041 10.9555
29.944611 0.041 10.8297
30.281067 0.041 10.7079
30.617523 0.041 10.5898
30.953979 0.041 10.4753
31.290436 0.041 10.3641
31.626892 0.040 10.2560
31.963348 0.040 10.1508
32.299805 0.039 10.0481
32.636261 0.038 9.9479
32.972717 0.037 9.8499
33.309174 0.036 9.7538
33.645630 0.035 9.6594
33.982086 0.034 9.5667
34.318542 0.033 9.4755
34.654999 0.032 9.3857
34.991455 0.031 9.2971
35.327911 0.030 9.2099
35.664368 0.029 9.1238
36.000824 0.028 9.0390
36.337280 0.027 8.9554
36.673737 0.026 8.8731
37.010193 0.025 8.7920
37.346649 0.025 8.7122
37.683105 0.024 8.6338
38.019562 0.023 8.5568
38.356018 0.023 8.4811
38.692474 0.023 8.4069
39.028931 0.022 8.3342
39.365387 0.022 8.2628
39.701843 0.022 8.1930
40.038300 0.022 8.1246
40.374756 0.022 8.0575
40.711212 0.022 7.9919
41.047668 0.022 7.9276
41.384125 0.022 7.8646
41.720581 0.022 7.8029
42.057037 0.022 7.7424
42.393494 0.022 7.6830
42.729950 0.022 7.6247
43.066406 0.022 7.5674
43.402863 0.021 7.5111
43.739319 0.021 7.4558
44.075775 0.021 7.4013
44.412231 0.021 7.3477
44.748688 0.021 7.2948
45.085144 0.021 7.2428
45.421600 0.021 7.1915
45.758057 0.021 7.1409
46.094513 0.020 7.0910
46.430969 0.020 7.0417
46.767426 0.020 6.9932
47.103882 0.020 6.9453
47.440338 0.020 6.8981
47.776794 0.020 6.8515
48.113251 0.020 6.8056
48.449707 0.019 6.7603
48.786163 0.019 6.7156
49.122620 0.019 6.6716
49.459076 0.019 6.6282
49.795532 0.019 6.5854
50.131989 0.019 6.5433
50.468445 0.019 6.5017
50.804901 0.019 6.4607
51.141357 0.019 6.4203
51.477814 0.019 6.3805
51.814270 0.018 6.3412
52.150726 0.018 6.3024
52.487183 0.018 6.2642
52.823639 0.018 6.2265
53.160095 0.018 6.1893
53.496552 0.018 6.1525
53.833008 0.018 6.1162
54.169464 0.018 6.0804
54.505920 0.018 6.0451
54.842377 0.018 6.0101
55.178833 0.018 5.9756
55.515289 0.017 5.9415
55.851746 0.017 5.9077
56.188202 0.017 5.8744
56.524658 0.017 5.8415
56.861115 0.017 5.8089
57.197571 0.017 5.7767
57.534027 0.017 5.7449
57.870483 0.017 5.7134
58.206940 0.017 5.6823
58.543396 0.017 5.6516
58.879852 0.016 5.6212
59.216309 0.016 5.5911
59.552765 0.016 5.5614
59.889221 0.016 5.5320
60.225677 0.016 5.5030
60.562134 0.016 5.4742
60.898590 0.016 5.4458
61.235046 0.016 5.4177
61.571503 0.016 5.3900
61.907959 0.016 5.3625
62.244415 0.016 5.3354
62.580872 0.015 5.3085
62.917328 0.015 5.2820
63.253784 0.015 5.2557
63.590240 0.015 5.2298
63.926697 0.015 5.2041
64.263153 0.015 5.1787
64.599609 0.015 5.1536
64.936066 0.015 5.1287
65.272522 0.015 5.1041
65.608978 0.015 5.0798
65.945435 0.015 5.0557
66.281891 0.015 5.0319
66.618347 0.014 5.0083
66.954803 0.014 4.9850
67.291260 0.014 4.9620
67.627716 0.014 4.9391
67.964172 0.014 4.9165
68.300629 0.014 4.8942
68.637085 0.014 4.8720
68.973541 0.014 4.8501
69.309998 0.014 4.8285
69.646454 0.014 4.8070
69.982910 0.014 4.7858
70.319366 0.014 4.7647
70.655823 0.014 4.7439
70.992279 0.014 4.7233
71.328735 0.014 4.7029
71.665192 0.013 4.6828
72.001648 0.013 4.6628
72.338104 0.013 4.6430
72.674561 0.013 4.6234
73.011017 0.013 4.6040
73.347473 0.013 4.5848
73.683929 0.013 4.5658
74.020386 0.013 4.5470
74.356842 0.013 4.5283
74.693298 0.013 4.5098
75.029755 0.013 4.4915
75.366211 0.013 4.4734
75.702667 0.013 4.4555
76.039124 0.013 4.4377
76.375580 0.013 4.4201
76.712036 0.013 4.4027
77.048492 0.013 4.3854
77.384949 0.013 4.3683
77.721405 0.013 4.3513
78.057861 0.012 4.3345
78.394318 0.012 4.3178
78.730774 0.012 4.3014
79.067230 0.012 4.2850
79.403687 0.012 4.2688
79.740143 0.012 4.2528
80.076599 0.012 4.2369
80.413055 0.012 4.2211
80.749512 0.012 4.2055
81.085968 0.012 4.1900
81.422424 0.012 4.1746
81.758881 0.012 4.1594
82.095337 0.012 4.1444
82.431793 0.012 4.1294
82.768250 0.012 4.1146
83.104706 0.012 4.0999
83.441162 0.012 4.0854
83.777618 0.012 4.0710
84.114075 0.012 4.0567
84.450531 0.012 4.0425
84.786987 0.012 4.0284
85.123444 0.012 4.0145
85.459900 0.012 4.0007
85.796356 0.012 3.9870
86.132812 0.012 3.9734
86.469269 0.012 3.9600
86.805725 0.012 3.9466
87.142181 0.012 3.9334
87.478638 0.011 3.9203
87.815094 0.011 3.9072
88.151550 0.011 3.8943
88.488007 0.011 3.8816
88.824463 0.011 3.8689
89.160919 0.011 3.8563
89.497375 0.011 3.8438
89.833832 0.011 3.8314
90.170288 0.011 3.8192
90.506744 0.011 3.8070
90.843201 0.011 3.7949
91.179657 0.011 3.7830
91.516113 0.011 3.7711
91.852570 0.011 3.7593
92.189026 0.011 3.7477
92.525482 0.011 3.7361
92.861938 0.011 3.7246
93.198395 0.011 3.7132
93.534851 0.011 3.7019
93.871307 0.011 3.6907
94.207764 0.011 3.6796
94.544220 0.011 3.6686
94.880676 0.011 3.6577
95.217133 0.011 3.6468
95.553589 0.011 3.6361
95.890045 0.011 3.6254
96.226501 0.011 3.6148
96.562958 0.011 3.6044
96.899414 0.011 3.5939
97.235870 0.011 3.5836
97.572327 0.011 3.5734
97.908783 0.011 3.5632
98.245239 0.011 3.5532
98.581696 0.011 3.5432
98.918152 0.011 3.5333
99.254608 0.011 3.5234
99.591064 0.011 3.5137
99.927521 0.011 3.5040
100.263977 0.011 3.4944
100.600433 0.011 3.4849
100.936890 0.011 3.4754
101.273346 0.011 3.4660
101.609802 0.011 3.4567
101.946259 0.011 3.4474
102.282715 0.011 3.4381
102.619171 0.011 3.4289
102.955627 0.011 3.4198
103.292084 0.011 3.4107
103.628540 0.011 3.4017
103.964996 0.011 3.3928
104.301453 0.011 3.3839
104.637909 0.011 3.3750
104.974365 0.011 3.3662
105.310822 0.011 3.3575
105.647278 0.010 3.3488
105.983734 0.010 3.3402
106.320190 0.010 3.3316
106.656647 0.010 3.3231
106.993103 0.010 3.3146
107.329559 0.010 3.3062
107.666016 0.010 3.2978
108.002472 0.010 3.2895
108.338928 0.010 3.2813
108.675385 0.010 3.2731
109.011841 0.010 3.2649
109.348297 0.010 3.2568
109.684753 0.010 3.2488
110.021210 0.010 3.2408
110.357666 0.010 3.2328
110.694122 0.010 3.2249
111.030579 0.010 3.2171
111.367035 0.010 3.2093
111.703491 0.010 3.2016
112.039948 0.010 3.1939
112.376404 0.010 3.1862
112.712860 0.010 3.1786
113.049316 0.010 3.1711
113.385773 0.010 3.1636
113.722229 0.010 3.1561
114.058685 0.010 3.1487
114.395142 0.010 3.1413
114.731598 0.010 3.1340
115.068054 0.010 3.1268
115.404510 0.010 3.1196
115.740967 0.010 3.1124
116.077423 0.010 3.1053
116.413879 0.010 3.0982
116.750336 0.010 3.0911
117.086792 0.010 3.0842
117.423248 0.010 3.0772
117.759705 0.010 3.0703
118.096161 0.010 3.0634
118.432617 0.010 3.0566
118.769073 0.010 3.0499
119.105530 0.010 3.0431
119.441986 0.010 3.0365
119.778442 0.010 3.0298
120.114899 0.010 3.0232
120.451355 0.010 3.0167
120.787811 0.010 3.0101
121.124268 0.010 3.0037
121.460724 0.010 2.9972
121.797180 0.010 2.9908
122.133636 0.010 2.9845
122.470093 0.010 2.9782
122.806549 0.010 2.9719
123.143005 0.010 2.9656
123.479462 0.010 2.9594
123.815918 0.010 2.9533
124.152374 0.010 2.9472
124.488831 0.010 2.9411
124.825287 0.010 2.9350
125.161743 0.010 2.9290
125.498199 0.010 2.9231
125.834656 0.010 2.9171
126.171112 0.010 2.9112
126.507568 0.010 2.9054
126.844025 0.010 2.8996
127.180481 0.010 2.8938
127.516937 0.010 2.8880
127.853394 0.010 2.8823
128.189850 0.010 2.8766
128.526306 0.010 2.8710
128.862762 0.010 2.8654
129.199219 0.010 2.8598
129.535675 0.010 2.8542
129.872131 0.010 2.8487
130.208588 0.010 2.8432
130.545044 0.010 2.8378
130.881500 0.010 2.8324
131.217957 0.010 2.8270
131.554413 0.010 2.8217
131.890869 0.010 2.8163
132.227325 0.010 2.8111
132.563782 0.010 2.8058
132.900238 0.010 2.8006
133.236694 0.010 2.7954
133.573151 0.010 2.7902
133.909607 0.010 2.7851
134.246063 0.010 2.7800
134.582520 0.010 2.7749
134.918976 0.010 2.7699
135.255432 0.010 2.7649
135.591888 0.010 2.7599
135.928345 0.010 2.7550
136.264801 0.010 2.7500
136.601257 0.010 2.7451
136.937714 0.010 2.7403
137.274170 0.010 2.7354
137.610626 0.010 2.7306
137.947083 0.010 2.7258
138.283539 0.010 2.7211
138.619995 0.010 2.7164
138.956451 0.010 2.7117
139.292908 0.010 2.7070
139.629364 0.010 2.7023
139.965820 0.010 2.6977
140.302277 0.010 2.6931
140.638733 0.010 2.6886
140.975189 0.010 2.6840
141.311646 0.010 2.6795
141.648102 0.010 2.6750
141.984558 0.010 2.6706
142.321014 0.010 2.6661
142.657471 0.010 2.6617
142.993927 0.010 2.6573
143.330383 0.010 2.6530
143.666840 0.010 2.6486
144.003296 0.010 2.6443
144.339752 0.010 2.6400
144.676208 0.010 2.6358
145.012665 0.010 2.6315
145.349121 0.010 2.6273
145.685577 0.010 2.6231
146.022034 0.010 2.6189
146.358490 0.010 2.6148
146.694946 0.010 2.6107
147.031403 0.010 2.6066
147.367859 0.010 2.6025
147.704315 0.010 2.5984
148.040771 0.010 2.5944
148.377228 0.010 2.5904
148.713684 0.010 2.5864
149.050140 0.010 2.5824
149.386597 0.010 2.5785
149.723053 0.010 2.5746
150.059509 0.010 2.5707
150.395966 0.010 2.5668
150.732422 0.010 2.5629
151.068878 0.010 2.5591
151.405334 0.010 2.5553
151.741791 0.010 2.5515
152.078247 0.010 2.5477
152.414703 0.010 2.5439
152.751160 0.011 2.5402
153.087616 0.011 2.5365
153.424072 0.011 2.5328
153.760529 0.011 2.5291
154.096985 0.011 2.5254
154.433441 0.011 2.5218
154.769897 0.011 2.5182
155.106354 0.011 2.5146
155.442810 0.011 2.5110
155.779266 0.011 2.5075
156.115723 0.011 2.5039
156.452179 0.011 2.5004
156.788635 0.011 2.4969
157.125092 0.011 2.4934
157.461548 0.011 2.4899
157.798004 0.011 2.4865
158.134460 0.011 2.4831
158.470917 0.011 2.4797
158.807373 0.011 2.4763
159.143829 0.011 2.4729
159.480286 0.011 2.4695
159.816742 0.011 2.4662
160.153198 0.011 2.4629
160.489655 0.011 2.4595
160.826111 0.011 2.4563
