* Measurement data measured by REW V5.20.13
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Oct 16, 2023 6:56:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Voxbox 50
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 0.022 16.2062
20.187378 0.017 15.9171
20.523834 0.014 15.6326
20.860291 0.011 15.3542
21.196747 0.010 15.0836
21.533203 0.010 14.8216
21.869659 0.010 14.5693
22.206116 0.012 14.3275
22.542572 0.014 14.0964
22.879028 0.016 13.8762
23.215485 0.018 13.6667
23.551941 0.021 13.4675
23.888397 0.023 13.2781
24.224854 0.026 13.0975
24.561310 0.027 12.9252
24.897766 0.029 12.7599
25.234222 0.030 12.6011
25.570679 0.031 12.4476
25.907135 0.031 12.2986
26.243591 0.031 12.1535
26.580048 0.030 12.0115
26.916504 0.030 11.8721
27.252960 0.029 11.7350
27.589417 0.027 11.5997
27.925873 0.026 11.4662
28.262329 0.025 11.3344
28.598785 0.024 11.2041
28.935242 0.023 11.0756
29.271698 0.021 10.9489
29.608154 0.021 10.8240
29.944611 0.020 10.7014
30.281067 0.019 10.5809
30.617523 0.019 10.4629
30.953979 0.018 10.3474
31.290436 0.018 10.2346
31.626892 0.018 10.1246
31.963348 0.018 10.0172
32.299805 0.018 9.9127
32.636261 0.018 9.8108
32.972717 0.018 9.7115
33.309174 0.019 9.6149
33.645630 0.019 9.5207
33.982086 0.019 9.4288
34.318542 0.019 9.3391
34.654999 0.019 9.2515
34.991455 0.019 9.1658
35.327911 0.019 9.0818
35.664368 0.019 8.9995
36.000824 0.019 8.9188
36.337280 0.019 8.8396
36.673737 0.018 8.7617
37.010193 0.018 8.6851
37.346649 0.018 8.6097
37.683105 0.018 8.5355
38.019562 0.017 8.4626
38.356018 0.017 8.3907
38.692474 0.017 8.3201
39.028931 0.017 8.2505
39.365387 0.016 8.1820
39.701843 0.016 8.1146
40.038300 0.016 8.0484
40.374756 0.016 7.9833
40.711212 0.016 7.9193
41.047668 0.016 7.8563
41.384125 0.015 7.7944
41.720581 0.015 7.7337
42.057037 0.015 7.6740
42.393494 0.015 7.6153
42.729950 0.015 7.5576
43.066406 0.015 7.5010
43.402863 0.015 7.4453
43.739319 0.015 7.3905
44.075775 0.015 7.3367
44.412231 0.014 7.2837
44.748688 0.014 7.2316
45.085144 0.014 7.1803
45.421600 0.014 7.1298
45.758057 0.014 7.0800
46.094513 0.014 7.0310
46.430969 0.014 6.9827
46.767426 0.014 6.9351
47.103882 0.014 6.8882
47.440338 0.014 6.8419
47.776794 0.013 6.7963
48.113251 0.013 6.7512
48.449707 0.013 6.7067
48.786163 0.013 6.6628
49.122620 0.013 6.6195
49.459076 0.013 6.5767
49.795532 0.013 6.5344
50.131989 0.013 6.4927
50.468445 0.013 6.4515
50.804901 0.013 6.4108
51.141357 0.013 6.3706
51.477814 0.012 6.3309
51.814270 0.012 6.2916
52.150726 0.012 6.2529
52.487183 0.012 6.2146
52.823639 0.012 6.1768
53.160095 0.012 6.1395
53.496552 0.012 6.1025
53.833008 0.012 6.0662
54.169464 0.012 6.0302
54.505920 0.012 5.9946
54.842377 0.012 5.9596
55.178833 0.012 5.9249
55.515289 0.012 5.8907
55.851746 0.012 5.8569
56.188202 0.012 5.8236
56.524658 0.012 5.7906
56.861115 0.012 5.7581
57.197571 0.012 5.7260
57.534027 0.012 5.6942
57.870483 0.012 5.6628
58.206940 0.012 5.6319
58.543396 0.012 5.6013
58.879852 0.012 5.5711
59.216309 0.011 5.5413
59.552765 0.011 5.5118
59.889221 0.011 5.4827
60.225677 0.011 5.4539
60.562134 0.011 5.4254
60.898590 0.011 5.3973
61.235046 0.011 5.3695
61.571503 0.011 5.3420
61.907959 0.011 5.3148
62.244415 0.011 5.2880
62.580872 0.011 5.2615
62.917328 0.011 5.2353
63.253784 0.011 5.2094
63.590240 0.011 5.1837
63.926697 0.011 5.1583
64.263153 0.011 5.1333
64.599609 0.011 5.1085
64.936066 0.011 5.0840
65.272522 0.011 5.0598
65.608978 0.011 5.0358
65.945435 0.011 5.0121
66.281891 0.011 4.9886
66.618347 0.011 4.9655
66.954803 0.011 4.9425
67.291260 0.011 4.9198
67.627716 0.010 4.8973
67.964172 0.010 4.8751
68.300629 0.010 4.8531
68.637085 0.010 4.8314
68.973541 0.010 4.8098
69.309998 0.010 4.7885
69.646454 0.010 4.7673
69.982910 0.010 4.7465
70.319366 0.010 4.7258
70.655823 0.010 4.7053
70.992279 0.010 4.6851
71.328735 0.010 4.6649
71.665192 0.010 4.6451
72.001648 0.010 4.6254
72.338104 0.010 4.6060
72.674561 0.010 4.5867
73.011017 0.010 4.5675
73.347473 0.010 4.5486
73.683929 0.010 4.5299
74.020386 0.010 4.5114
74.356842 0.010 4.4929
74.693298 0.010 4.4747
75.029755 0.010 4.4567
75.366211 0.010 4.4388
75.702667 0.010 4.4211
76.039124 0.010 4.4036
76.375580 0.010 4.3862
76.712036 0.010 4.3690
77.048492 0.010 4.3520
77.384949 0.010 4.3351
77.721405 0.010 4.3184
78.057861 0.010 4.3018
78.394318 0.009 4.2854
78.730774 0.009 4.2692
79.067230 0.009 4.2531
79.403687 0.009 4.2371
79.740143 0.009 4.2212
80.076599 0.009 4.2055
80.413055 0.009 4.1899
80.749512 0.009 4.1746
81.085968 0.009 4.1592
81.422424 0.009 4.1441
81.758881 0.009 4.1291
82.095337 0.009 4.1143
82.431793 0.009 4.0995
82.768250 0.009 4.0848
83.104706 0.009 4.0704
83.441162 0.009 4.0560
83.777618 0.009 4.0417
84.114075 0.009 4.0276
84.450531 0.009 4.0137
84.786987 0.009 3.9998
85.123444 0.009 3.9860
85.459900 0.009 3.9724
85.796356 0.009 3.9589
86.132812 0.009 3.9454
86.469269 0.009 3.9322
86.805725 0.009 3.9190
87.142181 0.009 3.9059
87.478638 0.009 3.8930
87.815094 0.009 3.8801
88.151550 0.009 3.8674
88.488007 0.009 3.8548
88.824463 0.009 3.8423
89.160919 0.009 3.8298
89.497375 0.009 3.8175
89.833832 0.009 3.8053
90.170288 0.009 3.7932
90.506744 0.009 3.7812
90.843201 0.009 3.7693
91.179657 0.009 3.7574
91.516113 0.009 3.7457
91.852570 0.009 3.7341
92.189026 0.009 3.7226
92.525482 0.009 3.7112
92.861938 0.009 3.6998
93.198395 0.009 3.6886
93.534851 0.009 3.6774
93.871307 0.009 3.6664
94.207764 0.009 3.6554
94.544220 0.009 3.6445
94.880676 0.009 3.6338
95.217133 0.009 3.6230
95.553589 0.009 3.6124
95.890045 0.009 3.6019
96.226501 0.009 3.5915
96.562958 0.009 3.5812
96.899414 0.009 3.5709
97.235870 0.009 3.5607
97.572327 0.009 3.5506
97.908783 0.009 3.5406
98.245239 0.009 3.5306
98.581696 0.009 3.5208
98.918152 0.008 3.5110
99.254608 0.008 3.5013
99.591064 0.008 3.4917
99.927521 0.008 3.4822
100.263977 0.008 3.4727
100.600433 0.008 3.4633
100.936890 0.008 3.4540
101.273346 0.008 3.4447
101.609802 0.008 3.4354
101.946259 0.008 3.4263
102.282715 0.008 3.4171
102.619171 0.008 3.4081
102.955627 0.008 3.3990
103.292084 0.008 3.3901
103.628540 0.008 3.3812
103.964996 0.008 3.3724
104.301453 0.008 3.3636
104.637909 0.008 3.3549
104.974365 0.008 3.3462
105.310822 0.008 3.3376
105.647278 0.008 3.3290
105.983734 0.008 3.3206
106.320190 0.008 3.3121
106.656647 0.008 3.3037
106.993103 0.008 3.2953
107.329559 0.008 3.2870
107.666016 0.008 3.2788
108.002472 0.008 3.2706
108.338928 0.008 3.2625
108.675385 0.008 3.2544
109.011841 0.008 3.2463
109.348297 0.008 3.2383
109.684753 0.008 3.2304
110.021210 0.008 3.2225
110.357666 0.008 3.2147
110.694122 0.008 3.2069
111.030579 0.008 3.1992
111.367035 0.008 3.1915
111.703491 0.008 3.1838
112.039948 0.008 3.1763
112.376404 0.008 3.1687
112.712860 0.008 3.1613
113.049316 0.008 3.1538
113.385773 0.008 3.1464
113.722229 0.008 3.1390
114.058685 0.008 3.1318
114.395142 0.008 3.1245
114.731598 0.008 3.1173
115.068054 0.008 3.1101
115.404510 0.008 3.1030
115.740967 0.008 3.0959
116.077423 0.008 3.0889
116.413879 0.008 3.0819
116.750336 0.008 3.0750
117.086792 0.008 3.0681
117.423248 0.008 3.0613
117.759705 0.008 3.0544
118.096161 0.008 3.0477
118.432617 0.008 3.0410
118.769073 0.008 3.0343
119.105530 0.008 3.0277
119.441986 0.008 3.0211
119.778442 0.008 3.0145
120.114899 0.008 3.0081
120.451355 0.008 3.0016
120.787811 0.008 2.9952
121.124268 0.008 2.9888
121.460724 0.008 2.9824
121.797180 0.008 2.9761
122.133636 0.008 2.9698
122.470093 0.008 2.9636
122.806549 0.008 2.9575
123.143005 0.008 2.9513
123.479462 0.008 2.9452
123.815918 0.008 2.9391
124.152374 0.008 2.9331
124.488831 0.008 2.9271
124.825287 0.008 2.9211
125.161743 0.008 2.9153
125.498199 0.008 2.9094
125.834656 0.008 2.9035
126.171112 0.008 2.8977
126.507568 0.008 2.8920
126.844025 0.008 2.8862
127.180481 0.008 2.8805
127.516937 0.008 2.8748
127.853394 0.008 2.8691
128.189850 0.008 2.8635
128.526306 0.008 2.8580
128.862762 0.008 2.8525
129.199219 0.008 2.8470
129.535675 0.008 2.8416
129.872131 0.008 2.8361
130.208588 0.008 2.8307
130.545044 0.008 2.8253
130.881500 0.008 2.8199
131.217957 0.008 2.8147
131.554413 0.008 2.8094
131.890869 0.008 2.8041
132.227325 0.008 2.7990
132.563782 0.008 2.7937
132.900238 0.008 2.7886
133.236694 0.008 2.7834
133.573151 0.008 2.7783
133.909607 0.008 2.7733
134.246063 0.008 2.7682
134.582520 0.008 2.7632
134.918976 0.008 2.7583
135.255432 0.008 2.7533
135.591888 0.008 2.7484
135.928345 0.008 2.7435
136.264801 0.008 2.7386
136.601257 0.008 2.7339
136.937714 0.008 2.7291
137.274170 0.008 2.7243
137.610626 0.008 2.7196
137.947083 0.008 2.7148
138.283539 0.008 2.7102
138.619995 0.008 2.7056
138.956451 0.008 2.7009
139.292908 0.008 2.6963
139.629364 0.008 2.6917
139.965820 0.008 2.6871
140.302277 0.008 2.6826
140.638733 0.008 2.6782
140.975189 0.008 2.6737
141.311646 0.008 2.6693
141.648102 0.008 2.6648
141.984558 0.008 2.6604
142.321014 0.008 2.6561
142.657471 0.008 2.6517
142.993927 0.008 2.6475
143.330383 0.008 2.6431
143.666840 0.008 2.6389
144.003296 0.008 2.6346
144.339752 0.008 2.6304
144.676208 0.008 2.6262
145.012665 0.008 2.6220
145.349121 0.008 2.6179
145.685577 0.008 2.6138
146.022034 0.008 2.6096
146.358490 0.008 2.6055
146.694946 0.008 2.6014
147.031403 0.008 2.5974
147.367859 0.008 2.5934
147.704315 0.009 2.5894
148.040771 0.009 2.5854
148.377228 0.009 2.5815
148.713684 0.009 2.5776
149.050140 0.009 2.5737
149.386597 0.009 2.5698
149.723053 0.009 2.5659
150.059509 0.009 2.5621
150.395966 0.009 2.5582
150.732422 0.009 2.5544
151.068878 0.009 2.5507
151.405334 0.009 2.5469
151.741791 0.009 2.5432
152.078247 0.009 2.5395
152.414703 0.009 2.5358
152.751160 0.009 2.5321
153.087616 0.009 2.5284
153.424072 0.009 2.5248
153.760529 0.009 2.5212
154.096985 0.009 2.5176
154.433441 0.009 2.5140
154.769897 0.009 2.5104
155.106354 0.009 2.5069
155.442810 0.009 2.5034
155.779266 0.009 2.4999
156.115723 0.009 2.4964
156.452179 0.009 2.4929
156.788635 0.009 2.4895
157.125092 0.009 2.4861
157.461548 0.009 2.4827
157.798004 0.009 2.4792
158.134460 0.009 2.4758
158.470917 0.009 2.4725
158.807373 0.009 2.4692
159.143829 0.009 2.4658
159.480286 0.009 2.4625
159.816742 0.009 2.4592
160.153198 0.009 2.4560
