* Measurement data measured by REW V5.20.13
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Oct 16, 2023 7:00:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Neve 517 24
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 0.059 8.4924
20.187378 0.057 8.3500
20.523834 0.056 8.2122
20.860291 0.055 8.0789
21.196747 0.054 7.9496
21.533203 0.053 7.8244
21.869659 0.052 7.7031
22.206116 0.051 7.5854
22.542572 0.050 7.4713
22.879028 0.050 7.3606
23.215485 0.049 7.2532
23.551941 0.048 7.1489
23.888397 0.047 7.0477
24.224854 0.047 6.9495
24.561310 0.046 6.8540
24.897766 0.045 6.7612
25.234222 0.045 6.6711
25.570679 0.044 6.5834
25.907135 0.044 6.4982
26.243591 0.043 6.4151
26.580048 0.042 6.3342
26.916504 0.042 6.2555
27.252960 0.041 6.1787
27.589417 0.041 6.1038
27.925873 0.040 6.0308
28.262329 0.040 5.9595
28.598785 0.039 5.8898
28.935242 0.039 5.8218
29.271698 0.038 5.7554
29.608154 0.038 5.6906
29.944611 0.037 5.6271
30.281067 0.037 5.5650
30.617523 0.036 5.5043
30.953979 0.036 5.4449
31.290436 0.035 5.3868
31.626892 0.035 5.3301
31.963348 0.035 5.2744
32.299805 0.034 5.2200
32.636261 0.034 5.1667
32.972717 0.034 5.1145
33.309174 0.033 5.0635
33.645630 0.033 5.0134
33.982086 0.033 4.9644
34.318542 0.032 4.9164
34.654999 0.032 4.8693
34.991455 0.032 4.8232
35.327911 0.031 4.7780
35.664368 0.031 4.7336
36.000824 0.031 4.6902
36.337280 0.031 4.6476
36.673737 0.030 4.6058
37.010193 0.030 4.5648
37.346649 0.030 4.5245
37.683105 0.030 4.4850
38.019562 0.029 4.4462
38.356018 0.029 4.4081
38.692474 0.029 4.3707
39.028931 0.029 4.3340
39.365387 0.028 4.2979
39.701843 0.028 4.2624
40.038300 0.028 4.2275
40.374756 0.028 4.1932
40.711212 0.028 4.1595
41.047668 0.027 4.1265
41.384125 0.027 4.0939
41.720581 0.027 4.0619
42.057037 0.027 4.0304
42.393494 0.027 3.9994
42.729950 0.027 3.9690
43.066406 0.026 3.9390
43.402863 0.026 3.9095
43.739319 0.026 3.8806
44.075775 0.026 3.8521
44.412231 0.026 3.8240
44.748688 0.026 3.7963
45.085144 0.026 3.7691
45.421600 0.026 3.7423
45.758057 0.025 3.7159
46.094513 0.025 3.6899
46.430969 0.025 3.6644
46.767426 0.025 3.6392
47.103882 0.025 3.6144
47.440338 0.025 3.5899
47.776794 0.025 3.5658
48.113251 0.025 3.5420
48.449707 0.024 3.5186
48.786163 0.024 3.4955
49.122620 0.024 3.4727
49.459076 0.024 3.4503
49.795532 0.024 3.4281
50.131989 0.024 3.4062
50.468445 0.024 3.3847
50.804901 0.023 3.3635
51.141357 0.023 3.3425
51.477814 0.023 3.3218
51.814270 0.023 3.3014
52.150726 0.023 3.2812
52.487183 0.022 3.2614
52.823639 0.022 3.2418
53.160095 0.022 3.2224
53.496552 0.022 3.2033
53.833008 0.022 3.1844
54.169464 0.021 3.1659
54.505920 0.021 3.1475
54.842377 0.021 3.1294
55.178833 0.021 3.1115
55.515289 0.021 3.0938
55.851746 0.020 3.0764
56.188202 0.020 3.0592
56.524658 0.020 3.0422
56.861115 0.020 3.0254
57.197571 0.020 3.0089
57.534027 0.019 2.9925
57.870483 0.019 2.9763
58.206940 0.019 2.9604
58.543396 0.019 2.9447
58.879852 0.019 2.9291
59.216309 0.019 2.9138
59.552765 0.018 2.8986
59.889221 0.018 2.8837
60.225677 0.018 2.8689
60.562134 0.018 2.8543
60.898590 0.018 2.8398
61.235046 0.018 2.8256
61.571503 0.017 2.8115
61.907959 0.017 2.7976
62.244415 0.017 2.7839
62.580872 0.017 2.7703
62.917328 0.017 2.7569
63.253784 0.017 2.7437
63.590240 0.017 2.7306
63.926697 0.016 2.7177
64.263153 0.016 2.7048
64.599609 0.016 2.6922
64.936066 0.016 2.6797
65.272522 0.016 2.6674
65.608978 0.016 2.6552
65.945435 0.016 2.6431
66.281891 0.015 2.6312
66.618347 0.015 2.6194
66.954803 0.015 2.6077
67.291260 0.015 2.5962
67.627716 0.015 2.5848
67.964172 0.015 2.5735
68.300629 0.015 2.5624
68.637085 0.015 2.5513
68.973541 0.014 2.5404
69.309998 0.014 2.5297
69.646454 0.014 2.5190
69.982910 0.014 2.5084
70.319366 0.014 2.4980
70.655823 0.014 2.4877
70.992279 0.014 2.4774
71.328735 0.014 2.4673
71.665192 0.014 2.4573
72.001648 0.013 2.4474
72.338104 0.013 2.4376
72.674561 0.013 2.4280
73.011017 0.013 2.4184
73.347473 0.013 2.4089
73.683929 0.013 2.3995
74.020386 0.013 2.3903
74.356842 0.013 2.3811
74.693298 0.013 2.3720
75.029755 0.013 2.3630
75.366211 0.012 2.3541
75.702667 0.012 2.3453
76.039124 0.012 2.3365
76.375580 0.012 2.3279
76.712036 0.012 2.3193
77.048492 0.012 2.3109
77.384949 0.012 2.3026
77.721405 0.012 2.2943
78.057861 0.012 2.2861
78.394318 0.012 2.2780
78.730774 0.011 2.2699
79.067230 0.011 2.2620
79.403687 0.011 2.2540
79.740143 0.011 2.2462
80.076599 0.011 2.2385
80.413055 0.011 2.2308
80.749512 0.011 2.2233
81.085968 0.011 2.2158
81.422424 0.011 2.2084
81.758881 0.011 2.2010
82.095337 0.011 2.1937
82.431793 0.010 2.1865
82.768250 0.010 2.1793
83.104706 0.010 2.1722
83.441162 0.010 2.1653
83.777618 0.010 2.1583
84.114075 0.010 2.1514
84.450531 0.010 2.1445
84.786987 0.010 2.1378
85.123444 0.010 2.1311
85.459900 0.010 2.1245
85.796356 0.010 2.1179
86.132812 0.010 2.1115
86.469269 0.009 2.1050
86.805725 0.009 2.0986
87.142181 0.009 2.0923
87.478638 0.009 2.0861
87.815094 0.009 2.0798
88.151550 0.009 2.0737
88.488007 0.009 2.0676
88.824463 0.009 2.0616
89.160919 0.009 2.0556
89.497375 0.009 2.0497
89.833832 0.009 2.0438
90.170288 0.009 2.0380
90.506744 0.009 2.0322
90.843201 0.009 2.0265
91.179657 0.008 2.0209
91.516113 0.008 2.0153
91.852570 0.008 2.0096
92.189026 0.008 2.0042
92.525482 0.008 1.9987
92.861938 0.008 1.9933
93.198395 0.008 1.9879
93.534851 0.008 1.9826
93.871307 0.008 1.9774
94.207764 0.008 1.9722
94.544220 0.008 1.9670
94.880676 0.008 1.9619
95.217133 0.008 1.9568
95.553589 0.008 1.9518
95.890045 0.008 1.9468
96.226501 0.008 1.9418
96.562958 0.007 1.9370
96.899414 0.007 1.9321
97.235870 0.007 1.9273
97.572327 0.007 1.9225
97.908783 0.007 1.9178
98.245239 0.007 1.9132
98.581696 0.007 1.9086
98.918152 0.007 1.9040
99.254608 0.007 1.8994
99.591064 0.007 1.8950
99.927521 0.007 1.8905
100.263977 0.007 1.8861
100.600433 0.007 1.8817
100.936890 0.007 1.8773
101.273346 0.007 1.8730
101.609802 0.007 1.8687
101.946259 0.007 1.8644
102.282715 0.007 1.8602
102.619171 0.007 1.8560
102.955627 0.006 1.8518
103.292084 0.006 1.8477
103.628540 0.006 1.8436
103.964996 0.006 1.8395
104.301453 0.006 1.8355
104.637909 0.006 1.8315
104.974365 0.006 1.8275
105.310822 0.006 1.8236
105.647278 0.006 1.8197
105.983734 0.006 1.8158
106.320190 0.006 1.8120
106.656647 0.006 1.8082
106.993103 0.006 1.8043
107.329559 0.006 1.8005
107.666016 0.006 1.7968
108.002472 0.006 1.7931
108.338928 0.006 1.7894
108.675385 0.006 1.7858
109.011841 0.006 1.7821
109.348297 0.006 1.7785
109.684753 0.006 1.7749
110.021210 0.006 1.7714
110.357666 0.006 1.7679
110.694122 0.005 1.7644
111.030579 0.005 1.7610
111.367035 0.005 1.7575
111.703491 0.005 1.7541
112.039948 0.005 1.7507
112.376404 0.005 1.7473
112.712860 0.005 1.7440
113.049316 0.005 1.7407
113.385773 0.005 1.7374
113.722229 0.005 1.7341
114.058685 0.005 1.7310
114.395142 0.005 1.7277
114.731598 0.005 1.7245
115.068054 0.005 1.7214
115.404510 0.005 1.7183
115.740967 0.005 1.7151
116.077423 0.005 1.7120
116.413879 0.005 1.7090
116.750336 0.005 1.7059
117.086792 0.005 1.7029
117.423248 0.005 1.7000
117.759705 0.005 1.6970
118.096161 0.005 1.6940
118.432617 0.005 1.6910
118.769073 0.005 1.6882
119.105530 0.005 1.6853
119.441986 0.005 1.6824
119.778442 0.005 1.6796
120.114899 0.005 1.6768
120.451355 0.005 1.6740
120.787811 0.005 1.6712
121.124268 0.005 1.6685
121.460724 0.004 1.6657
121.797180 0.004 1.6630
122.133636 0.004 1.6603
122.470093 0.004 1.6576
122.806549 0.004 1.6550
123.143005 0.004 1.6523
123.479462 0.004 1.6497
123.815918 0.004 1.6471
124.152374 0.004 1.6445
124.488831 0.004 1.6420
124.825287 0.004 1.6395
125.161743 0.004 1.6370
125.498199 0.004 1.6345
125.834656 0.004 1.6320
126.171112 0.004 1.6295
126.507568 0.004 1.6271
126.844025 0.004 1.6246
127.180481 0.004 1.6223
127.516937 0.004 1.6199
127.853394 0.004 1.6175
128.189850 0.004 1.6151
128.526306 0.004 1.6128
128.862762 0.004 1.6105
129.199219 0.004 1.6082
129.535675 0.004 1.6060
129.872131 0.004 1.6036
130.208588 0.004 1.6014
130.545044 0.004 1.5992
130.881500 0.004 1.5969
131.217957 0.004 1.5947
131.554413 0.004 1.5925
131.890869 0.004 1.5904
132.227325 0.004 1.5883
132.563782 0.004 1.5861
132.900238 0.004 1.5840
133.236694 0.004 1.5818
133.573151 0.004 1.5798
133.909607 0.004 1.5777
134.246063 0.004 1.5756
134.582520 0.004 1.5736
134.918976 0.004 1.5715
135.255432 0.004 1.5695
135.591888 0.004 1.5675
135.928345 0.004 1.5656
136.264801 0.004 1.5635
136.601257 0.004 1.5616
136.937714 0.004 1.5596
137.274170 0.004 1.5577
137.610626 0.004 1.5558
137.947083 0.004 1.5539
138.283539 0.004 1.5520
138.619995 0.004 1.5501
138.956451 0.004 1.5482
139.292908 0.003 1.5464
139.629364 0.003 1.5446
139.965820 0.003 1.5427
140.302277 0.003 1.5409
140.638733 0.003 1.5391
140.975189 0.003 1.5374
141.311646 0.003 1.5356
141.648102 0.003 1.5338
141.984558 0.003 1.5321
142.321014 0.003 1.5303
142.657471 0.003 1.5286
142.993927 0.003 1.5269
143.330383 0.003 1.5252
143.666840 0.003 1.5236
144.003296 0.003 1.5219
144.339752 0.003 1.5202
144.676208 0.003 1.5186
145.012665 0.003 1.5169
145.349121 0.003 1.5153
145.685577 0.003 1.5137
146.022034 0.003 1.5121
146.358490 0.003 1.5105
146.694946 0.003 1.5089
147.031403 0.003 1.5073
147.367859 0.003 1.5058
147.704315 0.003 1.5043
148.040771 0.003 1.5027
148.377228 0.003 1.5012
148.713684 0.003 1.4998
149.050140 0.003 1.4982
149.386597 0.003 1.4968
149.723053 0.003 1.4953
150.059509 0.003 1.4938
150.395966 0.003 1.4924
150.732422 0.003 1.4910
151.068878 0.003 1.4895
151.405334 0.003 1.4882
151.741791 0.003 1.4867
152.078247 0.003 1.4854
152.414703 0.003 1.4840
152.751160 0.003 1.4826
153.087616 0.003 1.4813
153.424072 0.003 1.4799
153.760529 0.003 1.4786
154.096985 0.003 1.4773
154.433441 0.003 1.4760
154.769897 0.003 1.4746
155.106354 0.003 1.4734
155.442810 0.003 1.4720
155.779266 0.003 1.4708
156.115723 0.003 1.4695
156.452179 0.003 1.4683
156.788635 0.003 1.4670
157.125092 0.003 1.4658
157.461548 0.003 1.4646
157.798004 0.003 1.4634
158.134460 0.003 1.4622
158.470917 0.003 1.4610
158.807373 0.003 1.4598
159.143829 0.003 1.4586
159.480286 0.003 1.4575
159.816742 0.003 1.4563
160.153198 0.003 1.4552
