* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:39:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of Neve 517 0, Neve 517 6, Neve 517 12, Neve 517 18, Neve 517 24, Neve 517 30, Neve 517 36, Neve 517 42, Neve 517 48
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 0.045 9.0151
20.187378 0.048 8.8472
20.523834 0.051 8.6900
20.860291 0.053 8.5426
21.196747 0.055 8.4037
21.533203 0.056 8.2723
21.869659 0.057 8.1475
22.206116 0.057 8.0283
22.542572 0.057 7.9138
22.879028 0.057 7.8034
23.215485 0.056 7.6963
23.551941 0.055 7.5921
23.888397 0.054 7.4902
24.224854 0.053 7.3904
24.561310 0.051 7.2924
24.897766 0.050 7.1961
25.234222 0.048 7.1013
25.570679 0.047 7.0080
25.907135 0.046 6.9163
26.243591 0.044 6.8261
26.580048 0.043 6.7376
26.916504 0.042 6.6509
27.252960 0.041 6.5660
27.589417 0.040 6.4831
27.925873 0.040 6.4021
28.262329 0.039 6.3233
28.598785 0.039 6.2466
28.935242 0.038 6.1720
29.271698 0.038 6.0995
29.608154 0.037 6.0291
29.944611 0.037 5.9608
30.281067 0.037 5.8944
30.617523 0.037 5.8299
30.953979 0.036 5.7672
31.290436 0.036 5.7062
31.626892 0.036 5.6467
31.963348 0.035 5.5887
32.299805 0.035 5.5320
32.636261 0.035 5.4766
32.972717 0.034 5.4223
33.309174 0.034 5.3691
33.645630 0.033 5.3169
33.982086 0.033 5.2657
34.318542 0.032 5.2153
34.654999 0.032 5.1658
34.991455 0.032 5.1171
35.327911 0.031 5.0691
35.664368 0.031 5.0220
36.000824 0.030 4.9756
36.337280 0.030 4.9300
36.673737 0.029 4.8851
37.010193 0.029 4.8411
37.346649 0.029 4.7977
37.683105 0.028 4.7552
38.019562 0.028 4.7134
38.356018 0.028 4.6725
38.692474 0.027 4.6322
39.028931 0.027 4.5928
39.365387 0.027 4.5541
39.701843 0.027 4.5161
40.038300 0.026 4.4789
40.374756 0.026 4.4423
40.711212 0.026 4.4065
41.047668 0.026 4.3713
41.384125 0.026 4.3367
41.720581 0.025 4.3028
42.057037 0.025 4.2694
42.393494 0.025 4.2367
42.729950 0.025 4.2044
43.066406 0.025 4.1727
43.402863 0.024 4.1416
43.739319 0.024 4.1109
44.075775 0.024 4.0806
44.412231 0.024 4.0509
44.748688 0.024 4.0216
45.085144 0.023 3.9927
45.421600 0.023 3.9642
45.758057 0.023 3.9362
46.094513 0.023 3.9085
46.430969 0.022 3.8813
46.767426 0.022 3.8545
47.103882 0.022 3.8280
47.440338 0.022 3.8019
47.776794 0.022 3.7762
48.113251 0.022 3.7508
48.449707 0.021 3.7259
48.786163 0.021 3.7012
49.122620 0.021 3.6770
49.459076 0.021 3.6530
49.795532 0.021 3.6294
50.131989 0.021 3.6062
50.468445 0.020 3.5833
50.804901 0.020 3.5606
51.141357 0.020 3.5384
51.477814 0.020 3.5164
51.814270 0.020 3.4947
52.150726 0.019 3.4733
52.487183 0.019 3.4522
52.823639 0.019 3.4314
53.160095 0.019 3.4108
53.496552 0.019 3.3905
53.833008 0.019 3.3705
54.169464 0.018 3.3508
54.505920 0.018 3.3313
54.842377 0.018 3.3120
55.178833 0.018 3.2930
55.515289 0.018 3.2743
55.851746 0.018 3.2557
56.188202 0.017 3.2375
56.524658 0.017 3.2194
56.861115 0.017 3.2016
57.197571 0.017 3.1840
57.534027 0.017 3.1666
57.870483 0.017 3.1494
58.206940 0.016 3.1325
58.543396 0.016 3.1157
58.879852 0.016 3.0992
59.216309 0.016 3.0829
59.552765 0.016 3.0668
59.889221 0.016 3.0509
60.225677 0.015 3.0352
60.562134 0.015 3.0196
60.898590 0.015 3.0043
61.235046 0.015 2.9891
61.571503 0.015 2.9742
61.907959 0.015 2.9594
62.244415 0.015 2.9448
62.580872 0.014 2.9304
62.917328 0.014 2.9161
63.253784 0.014 2.9020
63.590240 0.014 2.8881
63.926697 0.014 2.8743
64.263153 0.014 2.8607
64.599609 0.014 2.8473
64.936066 0.013 2.8340
65.272522 0.013 2.8209
65.608978 0.013 2.8079
65.945435 0.013 2.7950
66.281891 0.013 2.7823
66.618347 0.013 2.7698
66.954803 0.013 2.7574
67.291260 0.013 2.7451
67.627716 0.012 2.7330
67.964172 0.012 2.7210
68.300629 0.012 2.7091
68.637085 0.012 2.6973
68.973541 0.012 2.6857
69.309998 0.012 2.6743
69.646454 0.012 2.6629
69.982910 0.012 2.6517
70.319366 0.012 2.6405
70.655823 0.011 2.6296
70.992279 0.011 2.6187
71.328735 0.011 2.6079
71.665192 0.011 2.5973
72.001648 0.011 2.5868
72.338104 0.011 2.5763
72.674561 0.011 2.5660
73.011017 0.011 2.5558
73.347473 0.011 2.5458
73.683929 0.010 2.5358
74.020386 0.010 2.5259
74.356842 0.010 2.5161
74.693298 0.010 2.5064
75.029755 0.010 2.4969
75.366211 0.010 2.4874
75.702667 0.010 2.4780
76.039124 0.010 2.4687
76.375580 0.010 2.4595
76.712036 0.010 2.4504
77.048492 0.009 2.4414
77.384949 0.009 2.4325
77.721405 0.009 2.4237
78.057861 0.009 2.4149
78.394318 0.009 2.4063
78.730774 0.009 2.3977
79.067230 0.009 2.3892
79.403687 0.009 2.3808
79.740143 0.009 2.3725
80.076599 0.009 2.3643
80.413055 0.009 2.3561
80.749512 0.008 2.3481
81.085968 0.008 2.3401
81.422424 0.008 2.3322
81.758881 0.008 2.3243
82.095337 0.008 2.3166
82.431793 0.008 2.3089
82.768250 0.008 2.3013
83.104706 0.008 2.2937
83.441162 0.008 2.2863
83.777618 0.008 2.2789
84.114075 0.008 2.2715
84.450531 0.007 2.2643
84.786987 0.007 2.2571
85.123444 0.007 2.2500
85.459900 0.007 2.2429
85.796356 0.007 2.2359
86.132812 0.007 2.2290
86.469269 0.007 2.2221
86.805725 0.007 2.2154
87.142181 0.007 2.2086
87.478638 0.007 2.2020
87.815094 0.007 2.1954
88.151550 0.007 2.1888
88.488007 0.007 2.1823
88.824463 0.006 2.1759
89.160919 0.006 2.1696
89.497375 0.006 2.1633
89.833832 0.006 2.1570
90.170288 0.006 2.1508
90.506744 0.006 2.1447
90.843201 0.006 2.1386
91.179657 0.006 2.1326
91.516113 0.006 2.1267
91.852570 0.006 2.1207
92.189026 0.006 2.1149
92.525482 0.006 2.1091
92.861938 0.006 2.1034
93.198395 0.006 2.0977
93.534851 0.006 2.0920
93.871307 0.005 2.0865
94.207764 0.005 2.0809
94.544220 0.005 2.0754
94.880676 0.005 2.0700
95.217133 0.005 2.0646
95.553589 0.005 2.0593
95.890045 0.005 2.0540
96.226501 0.005 2.0488
96.562958 0.005 2.0436
96.899414 0.005 2.0385
97.235870 0.005 2.0334
97.572327 0.005 2.0283
97.908783 0.005 2.0233
98.245239 0.005 2.0184
98.581696 0.005 2.0135
98.918152 0.005 2.0086
99.254608 0.005 2.0038
99.591064 0.005 1.9990
99.927521 0.004 1.9943
100.263977 0.004 1.9896
100.600433 0.004 1.9850
100.936890 0.004 1.9804
101.273346 0.004 1.9758
101.609802 0.004 1.9712
101.946259 0.004 1.9667
102.282715 0.004 1.9622
102.619171 0.004 1.9578
102.955627 0.004 1.9534
103.292084 0.004 1.9490
103.628540 0.004 1.9447
103.964996 0.004 1.9403
104.301453 0.004 1.9361
104.637909 0.004 1.9318
104.974365 0.004 1.9276
105.310822 0.004 1.9234
105.647278 0.004 1.9192
105.983734 0.004 1.9151
106.320190 0.004 1.9110
106.656647 0.004 1.9069
106.993103 0.004 1.9029
107.329559 0.003 1.8989
107.666016 0.003 1.8949
108.002472 0.003 1.8910
108.338928 0.003 1.8870
108.675385 0.003 1.8832
109.011841 0.003 1.8793
109.348297 0.003 1.8755
109.684753 0.003 1.8717
110.021210 0.003 1.8679
110.357666 0.003 1.8642
110.694122 0.003 1.8604
111.030579 0.003 1.8567
111.367035 0.003 1.8531
111.703491 0.003 1.8495
112.039948 0.003 1.8458
112.376404 0.003 1.8423
112.712860 0.003 1.8387
113.049316 0.003 1.8352
113.385773 0.003 1.8317
113.722229 0.003 1.8282
114.058685 0.003 1.8248
114.395142 0.003 1.8214
114.731598 0.003 1.8180
115.068054 0.003 1.8146
115.404510 0.003 1.8113
115.740967 0.003 1.8079
116.077423 0.003 1.8046
116.413879 0.003 1.8014
116.750336 0.003 1.7981
117.086792 0.002 1.7949
117.423248 0.002 1.7917
117.759705 0.002 1.7886
118.096161 0.002 1.7854
118.432617 0.002 1.7823
118.769073 0.002 1.7792
119.105530 0.002 1.7761
119.441986 0.002 1.7731
119.778442 0.002 1.7700
120.114899 0.002 1.7670
120.451355 0.002 1.7640
120.787811 0.002 1.7611
121.124268 0.002 1.7581
121.460724 0.002 1.7552
121.797180 0.002 1.7523
122.133636 0.002 1.7495
122.470093 0.002 1.7466
122.806549 0.002 1.7438
123.143005 0.002 1.7410
123.479462 0.002 1.7382
123.815918 0.002 1.7354
124.152374 0.002 1.7327
124.488831 0.002 1.7299
124.825287 0.002 1.7272
125.161743 0.002 1.7245
125.498199 0.002 1.7219
125.834656 0.002 1.7192
126.171112 0.002 1.7166
126.507568 0.002 1.7140
126.844025 0.002 1.7114
127.180481 0.002 1.7089
127.516937 0.002 1.7063
127.853394 0.002 1.7038
128.189850 0.002 1.7013
128.526306 0.002 1.6988
128.862762 0.002 1.6963
129.199219 0.002 1.6938
129.535675 0.002 1.6914
129.872131 0.002 1.6890
130.208588 0.002 1.6866
130.545044 0.002 1.6842
130.881500 0.002 1.6818
131.217957 0.001 1.6795
131.554413 0.001 1.6772
131.890869 0.001 1.6748
132.227325 0.001 1.6725
132.563782 0.001 1.6703
132.900238 0.001 1.6680
133.236694 0.001 1.6657
133.573151 0.001 1.6635
133.909607 0.001 1.6613
134.246063 0.001 1.6591
134.582520 0.001 1.6569
134.918976 0.001 1.6547
135.255432 0.001 1.6526
135.591888 0.001 1.6505
135.928345 0.001 1.6483
136.264801 0.001 1.6462
136.601257 0.001 1.6441
136.937714 0.001 1.6421
137.274170 0.001 1.6400
137.610626 0.001 1.6380
137.947083 0.001 1.6359
138.283539 0.001 1.6339
138.619995 0.001 1.6319
138.956451 0.001 1.6299
139.292908 0.001 1.6279
139.629364 0.001 1.6260
139.965820 0.001 1.6240
140.302277 0.001 1.6221
140.638733 0.001 1.6202
140.975189 0.001 1.6183
141.311646 0.001 1.6164
141.648102 0.001 1.6145
141.984558 0.001 1.6126
142.321014 0.001 1.6108
142.657471 0.001 1.6089
142.993927 0.001 1.6071
143.330383 0.001 1.6053
143.666840 0.001 1.6035
144.003296 0.001 1.6017
144.339752 0.001 1.6000
144.676208 0.001 1.5982
145.012665 0.001 1.5964
145.349121 0.001 1.5947
145.685577 0.001 1.5930
146.022034 0.001 1.5913
146.358490 0.001 1.5896
146.694946 0.001 1.5879
147.031403 0.001 1.5862
147.367859 0.001 1.5846
147.704315 0.001 1.5829
148.040771 0.001 1.5813
148.377228 0.001 1.5796
148.713684 0.001 1.5780
149.050140 0.001 1.5764
149.386597 0.001 1.5748
149.723053 0.001 1.5732
150.059509 0.001 1.5717
150.395966 0.001 1.5701
150.732422 0.001 1.5686
151.068878 0.001 1.5670
151.405334 0.001 1.5655
151.741791 0.001 1.5640
152.078247 0.001 1.5625
152.414703 0.001 1.5610
152.751160 0.001 1.5595
153.087616 0.001 1.5580
153.424072 0.001 1.5566
153.760529 0.001 1.5551
154.096985 0.001 1.5537
154.433441 0.001 1.5522
154.769897 0.001 1.5508
155.106354 0.001 1.5494
155.442810 0.001 1.5480
155.779266 0.001 1.5466
156.115723 0.001 1.5452
156.452179 0.001 1.5438
156.788635 0.001 1.5425
157.125092 0.001 1.5411
157.461548 0.001 1.5398
157.798004 0.001 1.5384
158.134460 0.001 1.5371
158.470917 0.001 1.5358
158.807373 0.001 1.5345
159.143829 0.001 1.5332
159.480286 0.001 1.5319
159.816742 0.001 1.5306
