* Measurement data measured by REW V5.20.13
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Oct 16, 2023 6:52:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SSL 20 Oct 16
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 -0.071 12.8571
20.187378 -0.101 12.7321
20.523834 -0.131 12.6266
20.860291 -0.163 12.5374
21.196747 -0.195 12.4608
21.533203 -0.228 12.3937
21.869659 -0.261 12.3326
22.206116 -0.294 12.2745
22.542572 -0.326 12.2167
22.879028 -0.359 12.1570
23.215485 -0.390 12.0934
23.551941 -0.421 12.0248
23.888397 -0.451 11.9501
24.224854 -0.480 11.8689
24.561310 -0.508 11.7810
24.897766 -0.534 11.6866
25.234222 -0.558 11.5861
25.570679 -0.581 11.4799
25.907135 -0.601 11.3687
26.243591 -0.620 11.2532
26.580048 -0.636 11.1343
26.916504 -0.651 11.0125
27.252960 -0.663 10.8887
27.589417 -0.672 10.7635
27.925873 -0.680 10.6374
28.262329 -0.686 10.5109
28.598785 -0.689 10.3845
28.935242 -0.690 10.2584
29.271698 -0.690 10.1329
29.608154 -0.688 10.0082
29.944611 -0.684 9.8843
30.281067 -0.679 9.7614
30.617523 -0.672 9.6393
30.953979 -0.664 9.5183
31.290436 -0.655 9.3982
31.626892 -0.646 9.2792
31.963348 -0.635 9.1611
32.299805 -0.624 9.0442
32.636261 -0.612 8.9285
32.972717 -0.600 8.8138
33.309174 -0.588 8.7007
33.645630 -0.575 8.5889
33.982086 -0.561 8.4786
34.318542 -0.548 8.3702
34.654999 -0.534 8.2635
34.991455 -0.520 8.1589
35.327911 -0.506 8.0563
35.664368 -0.491 7.9559
36.000824 -0.477 7.8578
36.337280 -0.463 7.7621
36.673737 -0.448 7.6686
37.010193 -0.433 7.5775
37.346649 -0.419 7.4888
37.683105 -0.404 7.4022
38.019562 -0.389 7.3179
38.356018 -0.375 7.2357
38.692474 -0.360 7.1556
39.028931 -0.346 7.0773
39.365387 -0.332 7.0008
39.701843 -0.318 6.9259
40.038300 -0.304 6.8525
40.374756 -0.290 6.7804
40.711212 -0.277 6.7096
41.047668 -0.264 6.6399
41.384125 -0.251 6.5711
41.720581 -0.238 6.5033
42.057037 -0.225 6.4363
42.393494 -0.213 6.3700
42.729950 -0.202 6.3044
43.066406 -0.190 6.2396
43.402863 -0.179 6.1755
43.739319 -0.168 6.1121
44.075775 -0.157 6.0494
44.412231 -0.147 5.9874
44.748688 -0.137 5.9264
45.085144 -0.128 5.8661
45.421600 -0.118 5.8069
45.758057 -0.109 5.7487
46.094513 -0.101 5.6916
46.430969 -0.092 5.6357
46.767426 -0.084 5.5811
47.103882 -0.076 5.5277
47.440338 -0.069 5.4757
47.776794 -0.062 5.4252
48.113251 -0.055 5.3762
48.449707 -0.048 5.3286
48.786163 -0.042 5.2826
49.122620 -0.036 5.2381
49.459076 -0.030 5.1951
49.795532 -0.025 5.1536
50.131989 -0.019 5.1135
50.468445 -0.014 5.0750
50.804901 -0.010 5.0377
51.141357 -0.006 5.0017
51.477814 -0.001 4.9670
51.814270 0.002 4.9335
52.150726 0.006 4.9010
52.487183 0.009 4.8695
52.823639 0.013 4.8390
53.160095 0.015 4.8093
53.496552 0.018 4.7804
53.833008 0.021 4.7522
54.169464 0.023 4.7246
54.505920 0.025 4.6976
54.842377 0.027 4.6710
55.178833 0.029 4.6449
55.515289 0.031 4.6192
55.851746 0.032 4.5938
56.188202 0.034 4.5687
56.524658 0.035 4.5438
56.861115 0.036 4.5192
57.197571 0.037 4.4947
57.534027 0.038 4.4704
57.870483 0.039 4.4463
58.206940 0.040 4.4222
58.543396 0.040 4.3984
58.879852 0.041 4.3747
59.216309 0.042 4.3511
59.552765 0.042 4.3276
59.889221 0.043 4.3043
60.225677 0.043 4.2812
60.562134 0.044 4.2582
60.898590 0.044 4.2354
61.235046 0.044 4.2126
61.571503 0.045 4.1902
61.907959 0.045 4.1678
62.244415 0.045 4.1458
62.580872 0.045 4.1238
62.917328 0.046 4.1022
63.253784 0.046 4.0807
63.590240 0.046 4.0594
63.926697 0.046 4.0383
64.263153 0.046 4.0175
64.599609 0.047 3.9969
64.936066 0.047 3.9766
65.272522 0.047 3.9564
65.608978 0.047 3.9364
65.945435 0.048 3.9166
66.281891 0.048 3.8971
66.618347 0.048 3.8777
66.954803 0.048 3.8586
67.291260 0.049 3.8396
67.627716 0.049 3.8208
67.964172 0.049 3.8021
68.300629 0.049 3.7836
68.637085 0.050 3.7651
68.973541 0.050 3.7469
69.309998 0.050 3.7288
69.646454 0.051 3.7107
69.982910 0.051 3.6927
70.319366 0.051 3.6749
70.655823 0.052 3.6571
70.992279 0.052 3.6394
71.328735 0.052 3.6218
71.665192 0.053 3.6042
72.001648 0.053 3.5867
72.338104 0.053 3.5692
72.674561 0.054 3.5517
73.011017 0.054 3.5343
73.347473 0.055 3.5170
73.683929 0.055 3.4996
74.020386 0.056 3.4824
74.356842 0.056 3.4651
74.693298 0.056 3.4480
75.029755 0.057 3.4309
75.366211 0.057 3.4138
75.702667 0.058 3.3969
76.039124 0.058 3.3799
76.375580 0.058 3.3631
76.712036 0.059 3.3463
77.048492 0.059 3.3297
77.384949 0.060 3.3132
77.721405 0.060 3.2968
78.057861 0.060 3.2804
78.394318 0.060 3.2642
78.730774 0.061 3.2482
79.067230 0.061 3.2323
79.403687 0.061 3.2166
79.740143 0.061 3.2009
80.076599 0.062 3.1855
80.413055 0.062 3.1702
80.749512 0.062 3.1552
81.085968 0.062 3.1403
81.422424 0.062 3.1256
81.758881 0.062 3.1111
82.095337 0.062 3.0968
82.431793 0.062 3.0828
82.768250 0.062 3.0688
83.104706 0.062 3.0552
83.441162 0.061 3.0418
83.777618 0.061 3.0286
84.114075 0.061 3.0156
84.450531 0.061 3.0028
84.786987 0.060 2.9903
85.123444 0.060 2.9780
85.459900 0.059 2.9659
85.796356 0.059 2.9540
86.132812 0.058 2.9424
86.469269 0.058 2.9309
86.805725 0.057 2.9197
87.142181 0.057 2.9087
87.478638 0.056 2.8978
87.815094 0.055 2.8873
88.151550 0.055 2.8768
88.488007 0.054 2.8666
88.824463 0.053 2.8566
89.160919 0.052 2.8467
89.497375 0.051 2.8370
89.833832 0.050 2.8275
90.170288 0.049 2.8182
90.506744 0.049 2.8090
90.843201 0.048 2.8000
91.179657 0.047 2.7911
91.516113 0.046 2.7823
91.852570 0.045 2.7737
92.189026 0.044 2.7651
92.525482 0.043 2.7567
92.861938 0.042 2.7484
93.198395 0.040 2.7402
93.534851 0.039 2.7321
93.871307 0.038 2.7241
94.207764 0.037 2.7161
94.544220 0.036 2.7082
94.880676 0.035 2.7003
95.217133 0.034 2.6926
95.553589 0.033 2.6849
95.890045 0.032 2.6772
96.226501 0.031 2.6696
96.562958 0.030 2.6620
96.899414 0.029 2.6545
97.235870 0.028 2.6470
97.572327 0.027 2.6395
97.908783 0.026 2.6321
98.245239 0.025 2.6246
98.581696 0.024 2.6172
98.918152 0.023 2.6098
99.254608 0.022 2.6024
99.591064 0.021 2.5950
99.927521 0.020 2.5876
100.263977 0.019 2.5803
100.600433 0.018 2.5730
100.936890 0.017 2.5656
101.273346 0.016 2.5582
101.609802 0.016 2.5508
101.946259 0.015 2.5435
102.282715 0.014 2.5360
102.619171 0.013 2.5286
102.955627 0.013 2.5212
103.292084 0.012 2.5138
103.628540 0.011 2.5063
103.964996 0.011 2.4989
104.301453 0.010 2.4914
104.637909 0.010 2.4839
104.974365 0.009 2.4764
105.310822 0.009 2.4690
105.647278 0.008 2.4614
105.983734 0.008 2.4540
106.320190 0.007 2.4464
106.656647 0.007 2.4390
106.993103 0.007 2.4314
107.329559 0.006 2.4239
107.666016 0.006 2.4164
108.002472 0.006 2.4088
108.338928 0.006 2.4012
108.675385 0.006 2.3937
109.011841 0.006 2.3862
109.348297 0.005 2.3787
109.684753 0.005 2.3711
110.021210 0.005 2.3635
110.357666 0.005 2.3560
110.694122 0.005 2.3484
111.030579 0.006 2.3408
111.367035 0.006 2.3332
111.703491 0.006 2.3256
112.039948 0.006 2.3180
112.376404 0.006 2.3104
112.712860 0.007 2.3028
113.049316 0.007 2.2952
113.385773 0.007 2.2876
113.722229 0.007 2.2799
114.058685 0.008 2.2723
114.395142 0.008 2.2646
114.731598 0.009 2.2571
115.068054 0.009 2.2494
115.404510 0.010 2.2418
115.740967 0.010 2.2341
116.077423 0.011 2.2265
116.413879 0.011 2.2189
116.750336 0.012 2.2112
117.086792 0.012 2.2035
117.423248 0.013 2.1959
117.759705 0.014 2.1882
118.096161 0.014 2.1805
118.432617 0.015 2.1730
118.769073 0.016 2.1653
119.105530 0.016 2.1577
119.441986 0.017 2.1501
119.778442 0.018 2.1425
120.114899 0.018 2.1349
120.451355 0.019 2.1273
120.787811 0.020 2.1198
121.124268 0.021 2.1122
121.460724 0.022 2.1047
121.797180 0.022 2.0972
122.133636 0.023 2.0897
122.470093 0.024 2.0823
122.806549 0.025 2.0749
123.143005 0.026 2.0675
123.479462 0.027 2.0602
123.815918 0.027 2.0529
124.152374 0.028 2.0456
124.488831 0.029 2.0383
124.825287 0.030 2.0312
125.161743 0.031 2.0240
125.498199 0.032 2.0170
125.834656 0.033 2.0099
126.171112 0.034 2.0029
126.507568 0.034 1.9960
126.844025 0.035 1.9891
127.180481 0.036 1.9823
127.516937 0.037 1.9755
127.853394 0.038 1.9688
128.189850 0.039 1.9622
128.526306 0.040 1.9556
128.862762 0.040 1.9490
129.199219 0.041 1.9425
129.535675 0.042 1.9362
129.872131 0.043 1.9298
130.208588 0.044 1.9235
130.545044 0.044 1.9172
130.881500 0.045 1.9111
131.217957 0.046 1.9050
131.554413 0.047 1.8989
131.890869 0.048 1.8929
132.227325 0.048 1.8871
132.563782 0.049 1.8812
132.900238 0.050 1.8754
133.236694 0.051 1.8696
133.573151 0.051 1.8640
133.909607 0.052 1.8584
134.246063 0.053 1.8528
134.582520 0.053 1.8473
134.918976 0.054 1.8419
135.255432 0.055 1.8364
135.591888 0.055 1.8311
135.928345 0.056 1.8258
136.264801 0.057 1.8206
136.601257 0.057 1.8154
136.937714 0.058 1.8102
137.274170 0.058 1.8052
137.610626 0.059 1.8000
137.947083 0.059 1.7950
138.283539 0.060 1.7901
138.619995 0.060 1.7852
138.956451 0.061 1.7803
139.292908 0.062 1.7754
139.629364 0.062 1.7706
139.965820 0.063 1.7658
140.302277 0.063 1.7610
140.638733 0.063 1.7563
140.975189 0.064 1.7516
141.311646 0.064 1.7470
141.648102 0.065 1.7424
141.984558 0.065 1.7378
142.321014 0.066 1.7332
142.657471 0.066 1.7286
142.993927 0.066 1.7241
143.330383 0.067 1.7196
143.666840 0.067 1.7151
144.003296 0.068 1.7107
144.339752 0.068 1.7063
144.676208 0.068 1.7018
145.012665 0.069 1.6974
145.349121 0.069 1.6931
145.685577 0.069 1.6887
146.022034 0.070 1.6843
146.358490 0.070 1.6800
146.694946 0.070 1.6757
147.031403 0.071 1.6714
147.367859 0.071 1.6671
147.704315 0.071 1.6628
148.040771 0.071 1.6585
148.377228 0.072 1.6542
148.713684 0.072 1.6500
149.050140 0.072 1.6458
149.386597 0.072 1.6415
149.723053 0.073 1.6373
150.059509 0.073 1.6331
150.395966 0.073 1.6289
150.732422 0.073 1.6248
151.068878 0.074 1.6206
151.405334 0.074 1.6165
151.741791 0.074 1.6123
152.078247 0.074 1.6082
152.414703 0.074 1.6040
152.751160 0.075 1.5999
153.087616 0.075 1.5958
153.424072 0.075 1.5917
153.760529 0.075 1.5876
154.096985 0.075 1.5836
154.433441 0.075 1.5796
154.769897 0.076 1.5756
155.106354 0.076 1.5715
155.442810 0.076 1.5675
155.779266 0.076 1.5635
156.115723 0.076 1.5596
156.452179 0.076 1.5555
156.788635 0.076 1.5516
157.125092 0.076 1.5477
157.461548 0.077 1.5438
157.798004 0.077 1.5399
