* Measurement data measured by REW V5.20.13
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Oct 16, 2023 6:53:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SSL 40
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 0.204 10.4043
20.187378 0.201 10.2122
20.523834 0.197 10.0291
20.860291 0.194 9.8547
21.196747 0.191 9.6884
21.533203 0.188 9.5293
21.869659 0.185 9.3770
22.206116 0.181 9.2307
22.542572 0.178 9.0897
22.879028 0.174 8.9536
23.215485 0.171 8.8218
23.551941 0.167 8.6938
23.888397 0.163 8.5692
24.224854 0.159 8.4477
24.561310 0.156 8.3290
24.897766 0.152 8.2129
25.234222 0.148 8.0994
25.570679 0.145 7.9882
25.907135 0.141 7.8794
26.243591 0.138 7.7729
26.580048 0.134 7.6688
26.916504 0.131 7.5671
27.252960 0.128 7.4679
27.589417 0.126 7.3711
27.925873 0.123 7.2767
28.262329 0.120 7.1849
28.598785 0.118 7.0955
28.935242 0.116 7.0085
29.271698 0.114 6.9240
29.608154 0.111 6.8417
29.944611 0.109 6.7617
30.281067 0.107 6.6838
30.617523 0.105 6.6081
30.953979 0.103 6.5343
31.290436 0.102 6.4623
31.626892 0.100 6.3920
31.963348 0.098 6.3234
32.299805 0.096 6.2562
32.636261 0.094 6.1906
32.972717 0.092 6.1261
33.309174 0.091 6.0630
33.645630 0.089 6.0010
33.982086 0.087 5.9402
34.318542 0.085 5.8805
34.654999 0.084 5.8219
34.991455 0.082 5.7643
35.327911 0.081 5.7076
35.664368 0.079 5.6520
36.000824 0.078 5.5973
36.337280 0.076 5.5436
36.673737 0.075 5.4909
37.010193 0.073 5.4391
37.346649 0.072 5.3883
37.683105 0.071 5.3385
38.019562 0.070 5.2896
38.356018 0.069 5.2415
38.692474 0.067 5.1943
39.028931 0.066 5.1481
39.365387 0.065 5.1027
39.701843 0.064 5.0581
40.038300 0.063 5.0143
40.374756 0.062 4.9713
40.711212 0.061 4.9291
41.047668 0.060 4.8877
41.384125 0.060 4.8469
41.720581 0.059 4.8068
42.057037 0.058 4.7675
42.393494 0.057 4.7286
42.729950 0.056 4.6906
43.066406 0.055 4.6530
43.402863 0.055 4.6161
43.739319 0.054 4.5797
44.075775 0.053 4.5439
44.412231 0.052 4.5086
44.748688 0.052 4.4739
45.085144 0.051 4.4396
45.421600 0.050 4.4059
45.758057 0.050 4.3727
46.094513 0.049 4.3400
46.430969 0.048 4.3077
46.767426 0.048 4.2759
47.103882 0.047 4.2446
47.440338 0.047 4.2137
47.776794 0.046 4.1833
48.113251 0.045 4.1533
48.449707 0.045 4.1238
48.786163 0.044 4.0946
49.122620 0.044 4.0659
49.459076 0.043 4.0375
49.795532 0.043 4.0095
50.131989 0.042 3.9820
50.468445 0.042 3.9548
50.804901 0.041 3.9280
51.141357 0.041 3.9015
51.477814 0.040 3.8754
51.814270 0.040 3.8496
52.150726 0.039 3.8242
52.487183 0.039 3.7991
52.823639 0.038 3.7744
53.160095 0.038 3.7499
53.496552 0.037 3.7257
53.833008 0.037 3.7019
54.169464 0.036 3.6783
54.505920 0.036 3.6550
54.842377 0.035 3.6321
55.178833 0.035 3.6094
55.515289 0.034 3.5870
55.851746 0.034 3.5648
56.188202 0.033 3.5430
56.524658 0.033 3.5214
56.861115 0.032 3.5000
57.197571 0.032 3.4789
57.534027 0.032 3.4581
57.870483 0.031 3.4375
58.206940 0.031 3.4172
58.543396 0.030 3.3971
58.879852 0.030 3.3772
59.216309 0.030 3.3576
59.552765 0.029 3.3382
59.889221 0.029 3.3190
60.225677 0.029 3.3000
60.562134 0.028 3.2813
60.898590 0.028 3.2628
61.235046 0.028 3.2445
61.571503 0.027 3.2264
61.907959 0.027 3.2085
62.244415 0.027 3.1908
62.580872 0.026 3.1732
62.917328 0.026 3.1559
63.253784 0.026 3.1388
63.590240 0.025 3.1218
63.926697 0.025 3.1051
64.263153 0.025 3.0885
64.599609 0.024 3.0721
64.936066 0.024 3.0559
65.272522 0.024 3.0399
65.608978 0.024 3.0240
65.945435 0.023 3.0083
66.281891 0.023 2.9927
66.618347 0.023 2.9774
66.954803 0.023 2.9622
67.291260 0.022 2.9470
67.627716 0.022 2.9321
67.964172 0.022 2.9174
68.300629 0.022 2.9028
68.637085 0.021 2.8883
68.973541 0.021 2.8740
69.309998 0.021 2.8599
69.646454 0.021 2.8458
69.982910 0.021 2.8319
70.319366 0.020 2.8182
70.655823 0.020 2.8046
70.992279 0.020 2.7911
71.328735 0.020 2.7778
71.665192 0.020 2.7646
72.001648 0.019 2.7515
72.338104 0.019 2.7385
72.674561 0.019 2.7257
73.011017 0.019 2.7130
73.347473 0.019 2.7004
73.683929 0.018 2.6879
74.020386 0.018 2.6755
74.356842 0.018 2.6633
74.693298 0.018 2.6512
75.029755 0.018 2.6392
75.366211 0.018 2.6273
75.702667 0.017 2.6155
76.039124 0.017 2.6039
76.375580 0.017 2.5923
76.712036 0.017 2.5808
77.048492 0.017 2.5695
77.384949 0.017 2.5582
77.721405 0.017 2.5471
78.057861 0.016 2.5360
78.394318 0.016 2.5251
78.730774 0.016 2.5142
79.067230 0.016 2.5034
79.403687 0.016 2.4928
79.740143 0.016 2.4822
80.076599 0.016 2.4717
80.413055 0.016 2.4613
80.749512 0.015 2.4510
81.085968 0.015 2.4408
81.422424 0.015 2.4307
81.758881 0.015 2.4206
82.095337 0.015 2.4106
82.431793 0.015 2.4008
82.768250 0.015 2.3910
83.104706 0.015 2.3812
83.441162 0.015 2.3716
83.777618 0.014 2.3621
84.114075 0.014 2.3525
84.450531 0.014 2.3431
84.786987 0.014 2.3339
85.123444 0.014 2.3246
85.459900 0.014 2.3154
85.796356 0.014 2.3063
86.132812 0.014 2.2972
86.469269 0.014 2.2883
86.805725 0.014 2.2794
87.142181 0.014 2.2706
87.478638 0.013 2.2618
87.815094 0.013 2.2532
88.151550 0.013 2.2446
88.488007 0.013 2.2360
88.824463 0.013 2.2275
89.160919 0.013 2.2191
89.497375 0.013 2.2108
89.833832 0.013 2.2025
90.170288 0.013 2.1942
90.506744 0.013 2.1860
90.843201 0.013 2.1780
91.179657 0.013 2.1699
91.516113 0.013 2.1620
91.852570 0.013 2.1541
92.189026 0.013 2.1462
92.525482 0.012 2.1384
92.861938 0.012 2.1307
93.198395 0.012 2.1230
93.534851 0.012 2.1155
93.871307 0.012 2.1079
94.207764 0.012 2.1005
94.544220 0.012 2.0930
94.880676 0.012 2.0856
95.217133 0.012 2.0783
95.553589 0.012 2.0710
95.890045 0.012 2.0638
96.226501 0.012 2.0567
96.562958 0.012 2.0496
96.899414 0.012 2.0425
97.235870 0.012 2.0355
97.572327 0.012 2.0286
97.908783 0.012 2.0217
98.245239 0.012 2.0149
98.581696 0.012 2.0081
98.918152 0.012 2.0014
99.254608 0.012 1.9948
99.591064 0.012 1.9881
99.927521 0.011 1.9815
100.263977 0.011 1.9750
100.600433 0.011 1.9685
100.936890 0.011 1.9620
101.273346 0.011 1.9556
101.609802 0.011 1.9492
101.946259 0.011 1.9429
102.282715 0.011 1.9366
102.619171 0.011 1.9303
102.955627 0.011 1.9241
103.292084 0.011 1.9178
103.628540 0.011 1.9117
103.964996 0.011 1.9056
104.301453 0.011 1.8995
104.637909 0.011 1.8934
104.974365 0.011 1.8873
105.310822 0.011 1.8813
105.647278 0.011 1.8754
105.983734 0.011 1.8694
106.320190 0.011 1.8635
106.656647 0.011 1.8576
106.993103 0.011 1.8518
107.329559 0.011 1.8459
107.666016 0.011 1.8402
108.002472 0.011 1.8345
108.338928 0.011 1.8287
108.675385 0.011 1.8231
109.011841 0.011 1.8174
109.348297 0.011 1.8118
109.684753 0.011 1.8063
110.021210 0.011 1.8007
110.357666 0.011 1.7952
110.694122 0.011 1.7897
111.030579 0.011 1.7842
111.367035 0.011 1.7788
111.703491 0.011 1.7734
112.039948 0.011 1.7680
112.376404 0.011 1.7627
112.712860 0.011 1.7573
113.049316 0.011 1.7521
113.385773 0.011 1.7468
113.722229 0.011 1.7416
114.058685 0.011 1.7365
114.395142 0.011 1.7313
114.731598 0.011 1.7261
115.068054 0.011 1.7211
115.404510 0.011 1.7159
115.740967 0.011 1.7109
116.077423 0.011 1.7058
116.413879 0.011 1.7008
116.750336 0.011 1.6959
117.086792 0.011 1.6909
117.423248 0.011 1.6860
117.759705 0.011 1.6811
118.096161 0.011 1.6762
118.432617 0.011 1.6714
118.769073 0.011 1.6665
119.105530 0.011 1.6617
119.441986 0.011 1.6570
119.778442 0.011 1.6522
120.114899 0.011 1.6475
120.451355 0.011 1.6428
120.787811 0.011 1.6381
121.124268 0.011 1.6334
121.460724 0.011 1.6288
121.797180 0.011 1.6242
122.133636 0.011 1.6196
122.470093 0.011 1.6151
122.806549 0.011 1.6105
123.143005 0.011 1.6060
123.479462 0.011 1.6014
123.815918 0.011 1.5970
124.152374 0.011 1.5925
124.488831 0.011 1.5881
124.825287 0.011 1.5837
125.161743 0.011 1.5793
125.498199 0.011 1.5750
125.834656 0.011 1.5706
126.171112 0.012 1.5662
126.507568 0.012 1.5619
126.844025 0.012 1.5576
127.180481 0.012 1.5533
127.516937 0.012 1.5491
127.853394 0.012 1.5448
128.189850 0.012 1.5406
128.526306 0.012 1.5364
128.862762 0.012 1.5322
129.199219 0.012 1.5280
129.535675 0.012 1.5239
129.872131 0.012 1.5198
130.208588 0.012 1.5156
130.545044 0.012 1.5115
130.881500 0.012 1.5074
131.217957 0.012 1.5034
131.554413 0.012 1.4993
131.890869 0.012 1.4953
132.227325 0.012 1.4913
132.563782 0.012 1.4873
132.900238 0.012 1.4833
133.236694 0.012 1.4794
133.573151 0.012 1.4754
133.909607 0.012 1.4714
134.246063 0.012 1.4675
134.582520 0.012 1.4636
134.918976 0.012 1.4598
135.255432 0.012 1.4559
135.591888 0.013 1.4520
135.928345 0.013 1.4482
136.264801 0.013 1.4444
136.601257 0.013 1.4406
136.937714 0.013 1.4368
137.274170 0.013 1.4330
137.610626 0.013 1.4293
137.947083 0.013 1.4255
138.283539 0.013 1.4218
138.619995 0.013 1.4181
138.956451 0.013 1.4144
139.292908 0.013 1.4106
139.629364 0.013 1.4070
139.965820 0.013 1.4033
140.302277 0.013 1.3997
140.638733 0.013 1.3961
140.975189 0.013 1.3925
141.311646 0.013 1.3888
141.648102 0.013 1.3853
141.984558 0.013 1.3817
142.321014 0.013 1.3781
142.657471 0.013 1.3745
142.993927 0.014 1.3710
143.330383 0.014 1.3674
143.666840 0.014 1.3639
144.003296 0.014 1.3604
144.339752 0.014 1.3569
144.676208 0.014 1.3535
145.012665 0.014 1.3500
145.349121 0.014 1.3466
145.685577 0.014 1.3431
146.022034 0.014 1.3397
146.358490 0.014 1.3362
146.694946 0.014 1.3328
147.031403 0.014 1.3295
147.367859 0.014 1.3260
147.704315 0.014 1.3227
148.040771 0.014 1.3193
148.377228 0.014 1.3160
148.713684 0.014 1.3126
149.050140 0.014 1.3093
149.386597 0.015 1.3060
149.723053 0.015 1.3027
150.059509 0.015 1.2994
150.395966 0.015 1.2961
150.732422 0.015 1.2928
151.068878 0.015 1.2896
151.405334 0.015 1.2864
151.741791 0.015 1.2831
152.078247 0.015 1.2799
152.414703 0.015 1.2767
152.751160 0.015 1.2734
153.087616 0.015 1.2703
153.424072 0.015 1.2671
153.760529 0.015 1.2639
154.096985 0.015 1.2607
154.433441 0.015 1.2576
154.769897 0.015 1.2544
155.106354 0.015 1.2513
155.442810 0.016 1.2482
155.779266 0.016 1.2450
156.115723 0.016 1.2419
156.452179 0.016 1.2388
156.788635 0.016 1.2357
157.125092 0.016 1.2327
157.461548 0.016 1.2296
157.798004 0.016 1.2264
158.134460 0.016 1.2234
158.470917 0.016 1.2203
158.807373 0.016 1.2173
159.143829 0.016 1.2142
159.480286 0.016 1.2112
159.816742 0.016 1.2083
160.153198 0.016 1.2052
