* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:42:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of SSL 20 Oct 16, SSL 25, SSL 30, SSL 35, SSL 40, SSL 45
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.850922 0.055 11.7863
20.187378 0.049 11.5971
20.523834 0.042 11.4175
20.860291 0.036 11.2468
21.196747 0.029 11.0840
21.533203 0.022 10.9280
21.869659 0.015 10.7780
22.206116 0.008 10.6332
22.542572 0.002 10.4928
22.879028 -0.005 10.3560
23.215485 -0.012 10.2224
23.551941 -0.018 10.0914
23.888397 -0.024 9.9628
24.224854 -0.030 9.8362
24.561310 -0.036 9.7114
24.897766 -0.042 9.5884
25.234222 -0.047 9.4671
25.570679 -0.051 9.3476
25.907135 -0.056 9.2297
26.243591 -0.060 9.1136
26.580048 -0.064 8.9994
26.916504 -0.067 8.8872
27.252960 -0.070 8.7769
27.589417 -0.072 8.6687
27.925873 -0.074 8.5625
28.262329 -0.076 8.4585
28.598785 -0.077 8.3566
28.935242 -0.078 8.2568
29.271698 -0.079 8.1591
29.608154 -0.079 8.0635
29.944611 -0.079 7.9699
30.281067 -0.079 7.8782
30.617523 -0.079 7.7884
30.953979 -0.078 7.7005
31.290436 -0.077 7.6143
31.626892 -0.076 7.5298
31.963348 -0.075 7.4469
32.299805 -0.074 7.3657
32.636261 -0.073 7.2859
32.972717 -0.071 7.2077
33.309174 -0.070 7.1309
33.645630 -0.068 7.0556
33.982086 -0.067 6.9817
34.318542 -0.065 6.9091
34.654999 -0.064 6.8379
34.991455 -0.062 6.7681
35.327911 -0.060 6.6996
35.664368 -0.058 6.6324
36.000824 -0.056 6.5666
36.337280 -0.055 6.5020
36.673737 -0.053 6.4387
37.010193 -0.051 6.3766
37.346649 -0.049 6.3157
37.683105 -0.047 6.2560
38.019562 -0.045 6.1974
38.356018 -0.043 6.1400
38.692474 -0.041 6.0836
39.028931 -0.039 6.0282
39.365387 -0.037 5.9739
39.701843 -0.035 5.9205
40.038300 -0.033 5.8680
40.374756 -0.031 5.8163
40.711212 -0.029 5.7656
41.047668 -0.027 5.7156
41.384125 -0.025 5.6664
41.720581 -0.023 5.6180
42.057037 -0.021 5.5702
42.393494 -0.019 5.5232
42.729950 -0.018 5.4769
43.066406 -0.016 5.4312
43.402863 -0.014 5.3861
43.739319 -0.013 5.3417
44.075775 -0.011 5.2980
44.412231 -0.009 5.2549
44.748688 -0.008 5.2124
45.085144 -0.007 5.1705
45.421600 -0.005 5.1293
45.758057 -0.004 5.0887
46.094513 -0.002 5.0487
46.430969 -0.001 5.0094
46.767426 0.000 4.9707
47.103882 0.001 4.9327
47.440338 0.002 4.8953
47.776794 0.003 4.8586
48.113251 0.004 4.8225
48.449707 0.005 4.7870
48.786163 0.006 4.7522
49.122620 0.007 4.7180
49.459076 0.008 4.6844
49.795532 0.009 4.6514
50.131989 0.010 4.6190
50.468445 0.010 4.5872
50.804901 0.011 4.5559
51.141357 0.012 4.5252
51.477814 0.012 4.4951
51.814270 0.013 4.4654
52.150726 0.013 4.4363
52.487183 0.013 4.4076
52.823639 0.014 4.3793
53.160095 0.014 4.3515
53.496552 0.015 4.3242
53.833008 0.015 4.2972
54.169464 0.015 4.2706
54.505920 0.015 4.2444
54.842377 0.016 4.2185
55.178833 0.016 4.1929
55.515289 0.016 4.1677
55.851746 0.016 4.1428
56.188202 0.016 4.1182
56.524658 0.016 4.0938
56.861115 0.016 4.0698
57.197571 0.016 4.0460
57.534027 0.016 4.0225
57.870483 0.016 3.9992
58.206940 0.016 3.9762
58.543396 0.016 3.9534
58.879852 0.016 3.9309
59.216309 0.016 3.9086
59.552765 0.016 3.8865
59.889221 0.016 3.8647
60.225677 0.016 3.8430
60.562134 0.016 3.8217
60.898590 0.016 3.8005
61.235046 0.016 3.7796
61.571503 0.016 3.7588
61.907959 0.016 3.7383
62.244415 0.016 3.7181
62.580872 0.016 3.6980
62.917328 0.016 3.6781
63.253784 0.015 3.6585
63.590240 0.015 3.6390
63.926697 0.015 3.6198
64.263153 0.015 3.6007
64.599609 0.015 3.5819
64.936066 0.015 3.5632
65.272522 0.015 3.5448
65.608978 0.015 3.5265
65.945435 0.015 3.5084
66.281891 0.015 3.4905
66.618347 0.015 3.4728
66.954803 0.015 3.4552
67.291260 0.015 3.4379
67.627716 0.015 3.4206
67.964172 0.015 3.4036
68.300629 0.015 3.3867
68.637085 0.015 3.3700
68.973541 0.015 3.3534
69.309998 0.015 3.3369
69.646454 0.015 3.3206
69.982910 0.015 3.3045
70.319366 0.015 3.2885
70.655823 0.015 3.2726
70.992279 0.015 3.2568
71.328735 0.015 3.2412
71.665192 0.015 3.2257
72.001648 0.015 3.2103
72.338104 0.015 3.1951
72.674561 0.015 3.1799
73.011017 0.015 3.1649
73.347473 0.015 3.1500
73.683929 0.015 3.1352
74.020386 0.015 3.1205
74.356842 0.015 3.1060
74.693298 0.015 3.0915
75.029755 0.015 3.0772
75.366211 0.015 3.0630
75.702667 0.015 3.0489
76.039124 0.015 3.0349
76.375580 0.015 3.0210
76.712036 0.015 3.0072
77.048492 0.015 2.9935
77.384949 0.015 2.9800
77.721405 0.015 2.9665
78.057861 0.015 2.9532
78.394318 0.016 2.9400
78.730774 0.016 2.9269
79.067230 0.016 2.9139
79.403687 0.016 2.9010
79.740143 0.016 2.8882
80.076599 0.016 2.8756
80.413055 0.016 2.8630
80.749512 0.016 2.8506
81.085968 0.016 2.8383
81.422424 0.016 2.8261
81.758881 0.016 2.8140
82.095337 0.016 2.8020
82.431793 0.016 2.7901
82.768250 0.016 2.7784
83.104706 0.016 2.7668
83.441162 0.016 2.7553
83.777618 0.016 2.7439
84.114075 0.016 2.7326
84.450531 0.016 2.7214
84.786987 0.016 2.7103
85.123444 0.015 2.6994
85.459900 0.015 2.6885
85.796356 0.015 2.6778
86.132812 0.015 2.6671
86.469269 0.015 2.6566
86.805725 0.015 2.6462
87.142181 0.015 2.6359
87.478638 0.015 2.6256
87.815094 0.015 2.6155
88.151550 0.015 2.6055
88.488007 0.015 2.5956
88.824463 0.014 2.5858
89.160919 0.014 2.5760
89.497375 0.014 2.5664
89.833832 0.014 2.5568
90.170288 0.014 2.5474
90.506744 0.014 2.5380
90.843201 0.014 2.5287
91.179657 0.013 2.5195
91.516113 0.013 2.5104
91.852570 0.013 2.5013
92.189026 0.013 2.4924
92.525482 0.013 2.4835
92.861938 0.013 2.4747
93.198395 0.012 2.4659
93.534851 0.012 2.4573
93.871307 0.012 2.4487
94.207764 0.012 2.4401
94.544220 0.012 2.4317
94.880676 0.012 2.4233
95.217133 0.011 2.4149
95.553589 0.011 2.4067
95.890045 0.011 2.3985
96.226501 0.011 2.3903
96.562958 0.011 2.3822
96.899414 0.011 2.3742
97.235870 0.010 2.3662
97.572327 0.010 2.3583
97.908783 0.010 2.3505
98.245239 0.010 2.3427
98.581696 0.010 2.3349
98.918152 0.010 2.3272
99.254608 0.009 2.3195
99.591064 0.009 2.3120
99.927521 0.009 2.3044
100.263977 0.009 2.2969
100.600433 0.009 2.2895
100.936890 0.009 2.2820
101.273346 0.009 2.2746
101.609802 0.008 2.2673
101.946259 0.008 2.2600
102.282715 0.008 2.2527
102.619171 0.008 2.2454
102.955627 0.008 2.2382
103.292084 0.008 2.2310
103.628540 0.008 2.2238
103.964996 0.008 2.2167
104.301453 0.007 2.2096
104.637909 0.007 2.2026
104.974365 0.007 2.1955
105.310822 0.007 2.1886
105.647278 0.007 2.1816
105.983734 0.007 2.1747
106.320190 0.007 2.1678
106.656647 0.007 2.1609
106.993103 0.007 2.1541
107.329559 0.007 2.1473
107.666016 0.007 2.1405
108.002472 0.007 2.1338
108.338928 0.007 2.1270
108.675385 0.007 2.1204
109.011841 0.006 2.1137
109.348297 0.006 2.1071
109.684753 0.006 2.1005
110.021210 0.006 2.0940
110.357666 0.006 2.0874
110.694122 0.006 2.0809
111.030579 0.006 2.0745
111.367035 0.006 2.0680
111.703491 0.006 2.0616
112.039948 0.006 2.0552
112.376404 0.006 2.0489
112.712860 0.006 2.0425
113.049316 0.007 2.0362
113.385773 0.007 2.0300
113.722229 0.007 2.0237
114.058685 0.007 2.0175
114.395142 0.007 2.0113
114.731598 0.007 2.0051
115.068054 0.007 1.9990
115.404510 0.007 1.9928
115.740967 0.007 1.9868
116.077423 0.007 1.9807
116.413879 0.007 1.9746
116.750336 0.007 1.9686
117.086792 0.007 1.9626
117.423248 0.007 1.9567
117.759705 0.007 1.9507
118.096161 0.008 1.9448
118.432617 0.008 1.9389
118.769073 0.008 1.9330
119.105530 0.008 1.9272
119.441986 0.008 1.9214
119.778442 0.008 1.9156
120.114899 0.008 1.9098
120.451355 0.008 1.9040
120.787811 0.008 1.8983
121.124268 0.009 1.8926
121.460724 0.009 1.8869
121.797180 0.009 1.8813
122.133636 0.009 1.8757
122.470093 0.009 1.8701
122.806549 0.009 1.8645
123.143005 0.009 1.8590
123.479462 0.009 1.8535
123.815918 0.010 1.8480
124.152374 0.010 1.8425
124.488831 0.010 1.8371
124.825287 0.010 1.8317
125.161743 0.010 1.8263
125.498199 0.010 1.8209
125.834656 0.010 1.8156
126.171112 0.011 1.8103
126.507568 0.011 1.8051
126.844025 0.011 1.7998
127.180481 0.011 1.7946
127.516937 0.011 1.7894
127.853394 0.011 1.7843
128.189850 0.011 1.7791
128.526306 0.012 1.7740
128.862762 0.012 1.7690
129.199219 0.012 1.7639
129.535675 0.012 1.7589
129.872131 0.012 1.7539
130.208588 0.012 1.7489
130.545044 0.012 1.7440
130.881500 0.013 1.7391
131.217957 0.013 1.7342
131.554413 0.013 1.7294
131.890869 0.013 1.7246
132.227325 0.013 1.7198
132.563782 0.013 1.7150
132.900238 0.013 1.7102
133.236694 0.014 1.7055
133.573151 0.014 1.7008
133.909607 0.014 1.6962
134.246063 0.014 1.6915
134.582520 0.014 1.6869
134.918976 0.014 1.6823
135.255432 0.014 1.6778
135.591888 0.014 1.6732
135.928345 0.015 1.6687
136.264801 0.015 1.6642
136.601257 0.015 1.6598
136.937714 0.015 1.6553
137.274170 0.015 1.6509
137.610626 0.015 1.6465
137.947083 0.015 1.6421
138.283539 0.015 1.6378
138.619995 0.015 1.6335
138.956451 0.016 1.6292
139.292908 0.016 1.6249
139.629364 0.016 1.6206
139.965820 0.016 1.6164
140.302277 0.016 1.6121
140.638733 0.016 1.6079
140.975189 0.016 1.6037
141.311646 0.016 1.5996
141.648102 0.016 1.5954
141.984558 0.016 1.5913
142.321014 0.016 1.5872
142.657471 0.017 1.5831
142.993927 0.017 1.5790
143.330383 0.017 1.5749
143.666840 0.017 1.5709
144.003296 0.017 1.5669
144.339752 0.017 1.5628
144.676208 0.017 1.5588
145.012665 0.017 1.5549
145.349121 0.017 1.5509
145.685577 0.017 1.5470
146.022034 0.017 1.5430
146.358490 0.017 1.5391
146.694946 0.017 1.5352
147.031403 0.017 1.5313
147.367859 0.018 1.5274
147.704315 0.018 1.5236
148.040771 0.018 1.5197
148.377228 0.018 1.5159
148.713684 0.018 1.5121
149.050140 0.018 1.5083
149.386597 0.018 1.5045
149.723053 0.018 1.5007
150.059509 0.018 1.4969
150.395966 0.018 1.4932
150.732422 0.018 1.4894
151.068878 0.018 1.4857
151.405334 0.018 1.4820
151.741791 0.018 1.4783
152.078247 0.018 1.4746
152.414703 0.018 1.4709
152.751160 0.018 1.4673
153.087616 0.019 1.4636
153.424072 0.019 1.4600
153.760529 0.019 1.4564
154.096985 0.019 1.4528
154.433441 0.019 1.4492
154.769897 0.019 1.4456
155.106354 0.019 1.4420
155.442810 0.019 1.4384
155.779266 0.019 1.4349
156.115723 0.019 1.4313
156.452179 0.019 1.4278
156.788635 0.019 1.4243
157.125092 0.019 1.4208
157.461548 0.019 1.4173
157.798004 0.019 1.4138
158.134460 0.019 1.4104
158.470917 0.019 1.4069
158.807373 0.019 1.4035
159.143829 0.019 1.4000
