* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:36:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of tegeler -24dbfs 原装管 九月 30, tegeler -18dbfs 原装管 九月 30, tegeler -12dbfs 原装管 九月 30, tegeler -16dbfs 原装管 九月 30, tegeler 0dbfs 原装管 九月 30
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -4.164 56.5734
20.507811 -4.091 55.6590
20.874021 -4.021 54.7731
21.240232 -3.954 53.9149
21.606443 -3.888 53.0837
21.972654 -3.825 52.2787
22.338865 -3.764 51.4992
22.705076 -3.705 50.7444
23.071287 -3.648 50.0137
23.437498 -3.592 49.3061
23.803709 -3.538 48.6208
24.169920 -3.485 47.9572
24.536131 -3.434 47.3143
24.902341 -3.383 46.6913
25.268552 -3.334 46.0873
25.634763 -3.286 45.5015
26.000974 -3.239 44.9330
26.367185 -3.193 44.3810
26.733396 -3.148 43.8446
27.099607 -3.104 43.3231
27.465818 -3.060 42.8155
27.832029 -3.017 42.3212
28.198240 -2.976 41.8394
28.564451 -2.935 41.3694
28.930661 -2.894 40.9106
29.296872 -2.855 40.4623
29.663083 -2.816 40.0239
30.029294 -2.778 39.5948
30.395505 -2.740 39.1747
30.761716 -2.703 38.7629
31.127927 -2.667 38.3591
31.494138 -2.632 37.9628
31.860349 -2.597 37.5737
32.226560 -2.563 37.1915
32.592771 -2.530 36.8159
32.958981 -2.497 36.4466
33.325192 -2.465 36.0834
33.691403 -2.433 35.7260
34.057614 -2.402 35.3744
34.423825 -2.372 35.0283
34.790036 -2.342 34.6875
35.156247 -2.313 34.3520
35.522458 -2.284 34.0216
35.888669 -2.256 33.6963
36.254880 -2.229 33.3759
36.621091 -2.202 33.0603
36.987301 -2.176 32.7496
37.353512 -2.150 32.4436
37.719723 -2.125 32.1423
38.085934 -2.100 31.8456
38.452145 -2.076 31.5535
38.818356 -2.052 31.2659
39.184567 -2.029 30.9829
39.550778 -2.006 30.7043
39.916989 -1.984 30.4302
40.283200 -1.962 30.1605
40.649410 -1.940 29.8952
41.015621 -1.919 29.6342
41.381832 -1.899 29.3775
41.748043 -1.878 29.1251
42.114254 -1.859 28.8769
42.480465 -1.839 28.6329
42.846676 -1.820 28.3931
43.212887 -1.801 28.1573
43.579098 -1.783 27.9255
43.945309 -1.764 27.6978
44.311520 -1.747 27.4740
44.677730 -1.729 27.2540
45.043941 -1.712 27.0378
45.410152 -1.695 26.8254
45.776363 -1.678 26.6167
46.142574 -1.661 26.4115
46.508785 -1.645 26.2098
46.874996 -1.629 26.0116
47.241207 -1.613 25.8167
47.607418 -1.597 25.6250
47.973629 -1.582 25.4365
48.339840 -1.566 25.2512
48.706050 -1.551 25.0688
49.072261 -1.536 24.8894
49.438472 -1.522 24.7128
49.804683 -1.507 24.5389
50.170894 -1.493 24.3677
50.537105 -1.478 24.1992
50.903316 -1.464 24.0331
51.269527 -1.450 23.8694
51.635738 -1.437 23.7081
52.001949 -1.423 23.5490
52.368160 -1.410 23.3921
52.734370 -1.396 23.2373
53.100581 -1.383 23.0846
53.466792 -1.370 22.9338
53.833003 -1.357 22.7849
54.199214 -1.344 22.6378
54.565425 -1.332 22.4926
54.931636 -1.319 22.3489
55.297847 -1.307 22.2070
55.664058 -1.295 22.0667
56.030269 -1.283 21.9277
56.396480 -1.271 21.7904
56.762690 -1.259 21.6545
57.128901 -1.247 21.5199
57.495112 -1.236 21.3867
57.861323 -1.224 21.2548
58.227534 -1.213 21.1241
58.593745 -1.202 20.9946
58.959956 -1.191 20.8663
59.326167 -1.180 20.7393
59.692378 -1.169 20.6132
60.058589 -1.159 20.4882
60.424800 -1.148 20.3643
60.791010 -1.138 20.2415
61.157221 -1.128 20.1196
61.523432 -1.118 19.9987
61.889643 -1.108 19.8788
62.255854 -1.098 19.7598
62.622065 -1.089 19.6417
62.988276 -1.079 19.5246
63.354487 -1.070 19.4083
63.720698 -1.060 19.2930
64.086909 -1.051 19.1786
64.453119 -1.042 19.0651
64.819330 -1.034 18.9523
65.185541 -1.025 18.8405
65.551752 -1.017 18.7295
65.917963 -1.008 18.6194
66.284174 -1.000 18.5101
66.650385 -0.992 18.4017
67.016596 -0.984 18.2941
67.382807 -0.976 18.1874
67.749018 -0.968 18.0815
68.115229 -0.961 17.9766
68.481439 -0.953 17.8723
68.847650 -0.946 17.7690
69.213861 -0.939 17.6665
69.580072 -0.932 17.5649
69.946283 -0.925 17.4641
70.312494 -0.918 17.3643
70.678705 -0.911 17.2653
71.044916 -0.905 17.1671
71.411127 -0.898 17.0697
71.777338 -0.892 16.9733
72.143549 -0.886 16.8777
72.509759 -0.880 16.7830
72.875970 -0.874 16.6892
73.242181 -0.868 16.5963
73.608392 -0.862 16.5043
73.974603 -0.857 16.4131
74.340814 -0.851 16.3228
74.707025 -0.846 16.2334
75.073236 -0.841 16.1448
75.439447 -0.836 16.0573
75.805658 -0.830 15.9705
76.171869 -0.826 15.8846
76.538079 -0.821 15.7997
76.904290 -0.816 15.7156
77.270501 -0.811 15.6324
77.636712 -0.807 15.5502
78.002923 -0.802 15.4688
78.369134 -0.798 15.3882
78.735345 -0.793 15.3086
79.101556 -0.789 15.2299
79.467767 -0.785 15.1520
79.833978 -0.781 15.0751
80.200189 -0.777 14.9989
80.566399 -0.773 14.9237
80.932610 -0.769 14.8494
81.298821 -0.765 14.7758
81.665032 -0.762 14.7031
82.031243 -0.758 14.6313
82.397454 -0.755 14.5604
82.763665 -0.751 14.4904
83.129876 -0.748 14.4211
83.496087 -0.744 14.3527
83.862298 -0.741 14.2851
84.228509 -0.738 14.2183
84.594719 -0.735 14.1523
84.960930 -0.731 14.0873
85.327141 -0.728 14.0229
85.693352 -0.725 13.9594
86.059563 -0.722 13.8966
86.425774 -0.720 13.8347
86.791985 -0.717 13.7735
87.158196 -0.714 13.7131
87.524407 -0.711 13.6534
87.890618 -0.708 13.5946
88.256828 -0.706 13.5365
88.623039 -0.703 13.4791
88.989250 -0.700 13.4224
89.355461 -0.698 13.3665
89.721672 -0.695 13.3113
90.087883 -0.693 13.2567
90.454094 -0.690 13.2029
90.820305 -0.688 13.1498
91.186516 -0.686 13.0974
91.552727 -0.683 13.0457
91.918938 -0.681 12.9946
92.285148 -0.679 12.9442
92.651359 -0.676 12.8944
93.017570 -0.674 12.8452
93.383781 -0.672 12.7968
93.749992 -0.670 12.7489
94.116203 -0.668 12.7017
94.482414 -0.666 12.6550
94.848625 -0.663 12.6089
95.214836 -0.661 12.5635
95.581047 -0.659 12.5186
95.947258 -0.657 12.4743
96.313468 -0.655 12.4305
96.679679 -0.653 12.3874
97.045890 -0.651 12.3447
97.412101 -0.650 12.3027
97.778312 -0.648 12.2611
98.144523 -0.646 12.2201
98.510734 -0.644 12.1796
98.876945 -0.642 12.1396
99.243156 -0.640 12.1001
99.609367 -0.638 12.0612
99.975578 -0.637 12.0226
100.341788 -0.635 11.9846
100.707999 -0.633 11.9470
101.074210 -0.631 11.9097
101.440421 -0.630 11.8728
101.806632 -0.628 11.8363
102.172843 -0.626 11.8002
102.539054 -0.625 11.7644
102.905265 -0.623 11.7290
103.271476 -0.621 11.6940
103.637687 -0.620 11.6593
104.003898 -0.618 11.6249
104.370108 -0.616 11.5909
104.736319 -0.615 11.5573
105.102530 -0.613 11.5239
105.468741 -0.611 11.4910
105.834952 -0.610 11.4583
106.201163 -0.608 11.4259
106.567374 -0.607 11.3939
106.933585 -0.605 11.3622
107.299796 -0.603 11.3307
107.666007 -0.602 11.2996
108.032218 -0.600 11.2688
108.398428 -0.599 11.2383
108.764639 -0.597 11.2080
109.130850 -0.596 11.1781
109.497061 -0.594 11.1484
109.863272 -0.593 11.1190
110.229483 -0.591 11.0900
110.595694 -0.590 11.0611
110.961905 -0.588 11.0325
111.328116 -0.587 11.0042
111.694327 -0.585 10.9762
112.060537 -0.584 10.9484
112.426748 -0.583 10.9208
112.792959 -0.581 10.8935
113.159170 -0.580 10.8665
113.525381 -0.578 10.8396
113.891592 -0.577 10.8130
114.257803 -0.575 10.7866
114.624014 -0.574 10.7605
114.990225 -0.573 10.7346
115.356436 -0.571 10.7089
115.722647 -0.570 10.6835
116.088857 -0.568 10.6582
116.455068 -0.567 10.6332
116.821279 -0.566 10.6083
117.187490 -0.564 10.5837
117.553701 -0.563 10.5593
117.919912 -0.562 10.5350
118.286123 -0.560 10.5110
118.652334 -0.559 10.4872
119.018545 -0.558 10.4635
119.384756 -0.556 10.4401
119.750967 -0.555 10.4167
120.117177 -0.554 10.3937
120.483388 -0.553 10.3707
120.849599 -0.551 10.3480
121.215810 -0.550 10.3254
121.582021 -0.549 10.3030
121.948232 -0.547 10.2808
122.314443 -0.546 10.2587
122.680654 -0.545 10.2368
123.046865 -0.544 10.2150
123.413076 -0.542 10.1935
123.779287 -0.541 10.1720
124.145497 -0.540 10.1508
124.511708 -0.539 10.1296
124.877919 -0.537 10.1086
125.244130 -0.536 10.0878
125.610341 -0.535 10.0671
125.976552 -0.534 10.0466
126.342763 -0.533 10.0261
126.708974 -0.531 10.0059
127.075185 -0.530 9.9857
127.441396 -0.529 9.9658
127.807607 -0.528 9.9459
128.173817 -0.527 9.9261
128.540028 -0.525 9.9066
128.906239 -0.524 9.8871
129.272450 -0.523 9.8677
129.638661 -0.522 9.8485
130.004872 -0.521 9.8294
130.371083 -0.520 9.8104
130.737294 -0.519 9.7916
131.103505 -0.517 9.7728
131.469716 -0.516 9.7542
131.835927 -0.515 9.7357
132.202137 -0.514 9.7173
132.568348 -0.513 9.6990
132.934559 -0.512 9.6808
133.300770 -0.511 9.6627
133.666981 -0.510 9.6448
134.033192 -0.508 9.6270
134.399403 -0.507 9.6091
134.765614 -0.506 9.5916
135.131825 -0.505 9.5740
135.498036 -0.504 9.5565
135.864246 -0.503 9.5392
136.230457 -0.502 9.5220
136.596668 -0.501 9.5048
136.962879 -0.500 9.4877
137.329090 -0.499 9.4708
137.695301 -0.498 9.4539
138.061512 -0.497 9.4371
138.427723 -0.496 9.4204
138.793934 -0.495 9.4038
139.160145 -0.493 9.3873
139.526356 -0.492 9.3708
139.892566 -0.491 9.3546
140.258777 -0.490 9.3383
140.624988 -0.489 9.3221
140.991199 -0.488 9.3061
141.357410 -0.487 9.2901
141.723621 -0.486 9.2742
142.089832 -0.485 9.2584
142.456043 -0.484 9.2426
142.822254 -0.483 9.2269
143.188465 -0.482 9.2114
143.554676 -0.481 9.1959
143.920886 -0.480 9.1804
144.287097 -0.479 9.1650
144.653308 -0.478 9.1498
145.019519 -0.477 9.1346
145.385730 -0.476 9.1194
145.751941 -0.475 9.1044
146.118152 -0.474 9.0894
146.484363 -0.473 9.0745
146.850574 -0.473 9.0597
147.216785 -0.472 9.0449
147.582996 -0.471 9.0303
147.949206 -0.470 9.0156
148.315417 -0.469 9.0011
148.681628 -0.468 8.9866
149.047839 -0.467 8.9722
149.414050 -0.466 8.9578
149.780261 -0.465 8.9435
150.146472 -0.464 8.9293
150.512683 -0.463 8.9152
150.878894 -0.462 8.9011
151.245105 -0.461 8.8871
151.611316 -0.460 8.8732
151.977526 -0.460 8.8593
152.343737 -0.459 8.8455
152.709948 -0.458 8.8317
153.076159 -0.457 8.8180
153.442370 -0.456 8.8043
153.808581 -0.455 8.7908
154.174792 -0.454 8.7772
154.541003 -0.453 8.7638
154.907214 -0.452 8.7504
155.273425 -0.451 8.7371
155.639636 -0.451 8.7238
156.005846 -0.450 8.7106
156.372057 -0.449 8.6974
156.738268 -0.448 8.6843
157.104479 -0.447 8.6713
157.470690 -0.446 8.6583
157.836901 -0.445 8.6453
158.203112 -0.445 8.6324
158.569323 -0.444 8.6196
158.935534 -0.443 8.6069
159.301745 -0.442 8.5942
159.667955 -0.441 8.5815
160.034166 -0.440 8.5689
160.400377 -0.439 8.5564
160.766588 -0.439 8.5438
161.132799 -0.438 8.5314
161.499010 -0.437 8.5190
161.865221 -0.436 8.5067
