* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO Lynx, Aurora(n) Record 26
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Sep 29, 2023 8:02:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: tegeler -18dbfs 原装管 九月 30
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -1.769 42.2404
20.507811 -1.746 41.4751
20.874021 -1.723 40.7443
21.240232 -1.702 40.0458
21.606443 -1.682 39.3777
21.972654 -1.663 38.7384
22.338865 -1.645 38.1260
22.705076 -1.628 37.5392
23.071287 -1.612 36.9764
23.437498 -1.596 36.4364
23.803709 -1.581 35.9178
24.169920 -1.566 35.4195
24.536131 -1.553 34.9404
24.902341 -1.539 34.4793
25.268552 -1.527 34.0352
25.634763 -1.514 33.6071
26.000974 -1.503 33.1942
26.367185 -1.491 32.7955
26.733396 -1.481 32.4103
27.099607 -1.470 32.0378
27.465818 -1.460 31.6773
27.832029 -1.450 31.3281
28.198240 -1.441 30.9897
28.564451 -1.432 30.6614
28.930661 -1.423 30.3428
29.296872 -1.414 30.0334
29.663083 -1.406 29.7329
30.029294 -1.397 29.4407
30.395505 -1.389 29.1565
30.761716 -1.381 28.8800
31.127927 -1.374 28.6109
31.494138 -1.366 28.3488
31.860349 -1.359 28.0936
32.226560 -1.351 27.8448
32.592771 -1.344 27.6024
32.958981 -1.337 27.3660
33.325192 -1.330 27.1354
33.691403 -1.324 26.9104
34.057614 -1.317 26.6908
34.423825 -1.310 26.4763
34.790036 -1.304 26.2668
35.156247 -1.297 26.0621
35.522458 -1.291 25.8621
35.888669 -1.285 25.6664
36.254880 -1.279 25.4751
36.621091 -1.273 25.2878
36.987301 -1.267 25.1045
37.353512 -1.261 24.9250
37.719723 -1.255 24.7493
38.085934 -1.250 24.5771
38.452145 -1.244 24.4084
38.818356 -1.238 24.2430
39.184567 -1.233 24.0809
39.550778 -1.228 23.9219
39.916989 -1.222 23.7659
40.283200 -1.217 23.6128
40.649410 -1.212 23.4625
41.015621 -1.206 23.3151
41.381832 -1.201 23.1702
41.748043 -1.196 23.0280
42.114254 -1.191 22.8883
42.480465 -1.186 22.7511
42.846676 -1.181 22.6163
43.212887 -1.176 22.4838
43.579098 -1.171 22.3535
43.945309 -1.167 22.2255
44.311520 -1.162 22.0995
44.677730 -1.157 21.9756
45.043941 -1.152 21.8538
45.410152 -1.148 21.7339
45.776363 -1.143 21.6158
46.142574 -1.139 21.4998
46.508785 -1.134 21.3854
46.874996 -1.130 21.2728
47.241207 -1.125 21.1620
47.607418 -1.121 21.0527
47.973629 -1.116 20.9452
48.339840 -1.112 20.8392
48.706050 -1.108 20.7348
49.072261 -1.104 20.6319
49.438472 -1.099 20.5305
49.804683 -1.095 20.4305
50.170894 -1.091 20.3319
50.537105 -1.087 20.2347
50.903316 -1.083 20.1389
51.269527 -1.079 20.0443
51.635738 -1.075 19.9510
52.001949 -1.071 19.8591
52.368160 -1.067 19.7683
52.734370 -1.063 19.6787
53.100581 -1.059 19.5903
53.466792 -1.055 19.5031
53.833003 -1.051 19.4169
54.199214 -1.048 19.3319
54.565425 -1.044 19.2479
54.931636 -1.040 19.1650
55.297847 -1.036 19.0831
55.664058 -1.033 19.0023
56.030269 -1.029 18.9224
56.396480 -1.026 18.8435
56.762690 -1.022 18.7655
57.128901 -1.018 18.6885
57.495112 -1.015 18.6124
57.861323 -1.011 18.5371
58.227534 -1.008 18.4628
58.593745 -1.004 18.3893
58.959956 -1.001 18.3167
59.326167 -0.998 18.2448
59.692378 -0.994 18.1738
60.058589 -0.991 18.1036
60.424800 -0.987 18.0341
60.791010 -0.984 17.9655
61.157221 -0.981 17.8975
61.523432 -0.978 17.8303
61.889643 -0.974 17.7638
62.255854 -0.971 17.6981
62.622065 -0.968 17.6329
62.988276 -0.965 17.5686
63.354487 -0.962 17.5049
63.720698 -0.958 17.4418
64.086909 -0.955 17.3794
64.453119 -0.952 17.3176
64.819330 -0.949 17.2565
65.185541 -0.946 17.1959
65.551752 -0.943 17.1360
65.917963 -0.940 17.0767
66.284174 -0.937 17.0179
66.650385 -0.934 16.9597
67.016596 -0.931 16.9021
67.382807 -0.928 16.8450
67.749018 -0.925 16.7885
68.115229 -0.922 16.7325
68.481439 -0.919 16.6771
68.847650 -0.917 16.6221
69.213861 -0.914 16.5677
69.580072 -0.911 16.5138
69.946283 -0.908 16.4603
70.312494 -0.905 16.4075
70.678705 -0.902 16.3550
71.044916 -0.900 16.3030
71.411127 -0.897 16.2515
71.777338 -0.894 16.2004
72.143549 -0.891 16.1498
72.509759 -0.889 16.0996
72.875970 -0.886 16.0499
73.242181 -0.883 16.0006
73.608392 -0.881 15.9517
73.974603 -0.878 15.9033
74.340814 -0.875 15.8552
74.707025 -0.873 15.8076
75.073236 -0.870 15.7604
75.439447 -0.868 15.7135
75.805658 -0.865 15.6671
76.171869 -0.863 15.6210
76.538079 -0.860 15.5753
76.904290 -0.858 15.5300
77.270501 -0.855 15.4850
77.636712 -0.853 15.4404
78.002923 -0.850 15.3962
78.369134 -0.848 15.3523
78.735345 -0.845 15.3087
79.101556 -0.843 15.2656
79.467767 -0.840 15.2227
79.833978 -0.838 15.1802
80.200189 -0.836 15.1381
80.566399 -0.833 15.0962
80.932610 -0.831 15.0546
81.298821 -0.828 15.0134
81.665032 -0.826 14.9725
82.031243 -0.824 14.9319
82.397454 -0.821 14.8916
82.763665 -0.819 14.8517
83.129876 -0.817 14.8120
83.496087 -0.815 14.7726
83.862298 -0.812 14.7335
84.228509 -0.810 14.6947
84.594719 -0.808 14.6562
84.960930 -0.806 14.6180
85.327141 -0.803 14.5801
85.693352 -0.801 14.5424
86.059563 -0.799 14.5050
86.425774 -0.797 14.4679
86.791985 -0.795 14.4311
87.158196 -0.793 14.3945
87.524407 -0.790 14.3582
87.890618 -0.788 14.3221
88.256828 -0.786 14.2864
88.623039 -0.784 14.2509
88.989250 -0.782 14.2156
89.355461 -0.780 14.1805
89.721672 -0.778 14.1458
90.087883 -0.776 14.1112
90.454094 -0.774 14.0769
90.820305 -0.772 14.0428
91.186516 -0.770 14.0090
91.552727 -0.768 13.9755
91.918938 -0.766 13.9421
92.285148 -0.764 13.9091
92.651359 -0.762 13.8762
93.017570 -0.760 13.8435
93.383781 -0.758 13.8112
93.749992 -0.756 13.7789
94.116203 -0.754 13.7470
94.482414 -0.752 13.7153
94.848625 -0.750 13.6838
95.214836 -0.748 13.6525
95.581047 -0.746 13.6215
95.947258 -0.744 13.5906
96.313468 -0.743 13.5599
96.679679 -0.741 13.5295
97.045890 -0.739 13.4993
97.412101 -0.737 13.4693
97.778312 -0.735 13.4395
98.144523 -0.733 13.4099
98.510734 -0.732 13.3805
98.876945 -0.730 13.3513
99.243156 -0.728 13.3224
99.609367 -0.726 13.2936
99.975578 -0.724 13.2650
100.341788 -0.723 13.2366
100.707999 -0.721 13.2084
101.074210 -0.719 13.1803
101.440421 -0.717 13.1523
101.806632 -0.716 13.1245
102.172843 -0.714 13.0967
102.539054 -0.712 13.0692
102.905265 -0.710 13.0417
103.271476 -0.709 13.0144
103.637687 -0.707 12.9872
104.003898 -0.705 12.9602
104.370108 -0.704 12.9332
104.736319 -0.702 12.9065
105.102530 -0.700 12.8798
105.468741 -0.699 12.8533
105.834952 -0.697 12.8269
106.201163 -0.695 12.8006
106.567374 -0.694 12.7744
106.933585 -0.692 12.7484
107.299796 -0.690 12.7225
107.666007 -0.689 12.6968
108.032218 -0.687 12.6711
108.398428 -0.685 12.6456
108.764639 -0.684 12.6202
109.130850 -0.682 12.5950
109.497061 -0.681 12.5698
109.863272 -0.679 12.5448
110.229483 -0.677 12.5199
110.595694 -0.676 12.4952
110.961905 -0.674 12.4705
111.328116 -0.673 12.4460
111.694327 -0.671 12.4216
112.060537 -0.670 12.3973
112.426748 -0.668 12.3731
112.792959 -0.666 12.3491
113.159170 -0.665 12.3251
113.525381 -0.663 12.3013
113.891592 -0.662 12.2776
114.257803 -0.660 12.2541
114.624014 -0.659 12.2306
114.990225 -0.657 12.2073
115.356436 -0.656 12.1841
115.722647 -0.654 12.1609
116.088857 -0.653 12.1379
116.455068 -0.651 12.1151
116.821279 -0.650 12.0923
117.187490 -0.648 12.0696
117.553701 -0.647 12.0471
117.919912 -0.645 12.0246
118.286123 -0.644 12.0023
118.652334 -0.642 11.9800
119.018545 -0.641 11.9579
119.384756 -0.640 11.9359
119.750967 -0.638 11.9139
120.117177 -0.637 11.8922
120.483388 -0.635 11.8705
120.849599 -0.634 11.8489
121.215810 -0.632 11.8274
121.582021 -0.631 11.8060
121.948232 -0.630 11.7847
122.314443 -0.628 11.7635
122.680654 -0.627 11.7424
123.046865 -0.625 11.7214
123.413076 -0.624 11.7006
123.779287 -0.623 11.6798
124.145497 -0.621 11.6591
124.511708 -0.620 11.6385
124.877919 -0.619 11.6180
125.244130 -0.617 11.5975
125.610341 -0.616 11.5773
125.976552 -0.615 11.5570
126.342763 -0.613 11.5369
126.708974 -0.612 11.5169
127.075185 -0.611 11.4969
127.441396 -0.609 11.4772
127.807607 -0.608 11.4574
128.173817 -0.607 11.4377
128.540028 -0.605 11.4182
128.906239 -0.604 11.3987
129.272450 -0.603 11.3793
129.638661 -0.602 11.3600
130.004872 -0.600 11.3408
130.371083 -0.599 11.3217
130.737294 -0.598 11.3026
131.103505 -0.596 11.2837
131.469716 -0.595 11.2648
131.835927 -0.594 11.2460
132.202137 -0.593 11.2273
132.568348 -0.591 11.2087
132.934559 -0.590 11.1902
133.300770 -0.589 11.1717
133.666981 -0.588 11.1533
134.033192 -0.586 11.1350
134.399403 -0.585 11.1168
134.765614 -0.584 11.0987
135.131825 -0.583 11.0806
135.498036 -0.582 11.0626
135.864246 -0.580 11.0447
136.230457 -0.579 11.0269
136.596668 -0.578 11.0092
136.962879 -0.577 10.9915
137.329090 -0.576 10.9739
137.695301 -0.574 10.9564
138.061512 -0.573 10.9390
138.427723 -0.572 10.9216
138.793934 -0.571 10.9043
139.160145 -0.570 10.8871
139.526356 -0.569 10.8699
139.892566 -0.567 10.8528
140.258777 -0.566 10.8358
140.624988 -0.565 10.8189
140.991199 -0.564 10.8020
141.357410 -0.563 10.7853
141.723621 -0.562 10.7686
142.089832 -0.561 10.7518
142.456043 -0.559 10.7353
142.822254 -0.558 10.7188
143.188465 -0.557 10.7023
143.554676 -0.556 10.6859
143.920886 -0.555 10.6696
144.287097 -0.554 10.6534
144.653308 -0.553 10.6372
145.019519 -0.552 10.6211
145.385730 -0.551 10.6050
145.751941 -0.549 10.5891
146.118152 -0.548 10.5731
146.484363 -0.547 10.5573
146.850574 -0.546 10.5414
147.216785 -0.545 10.5257
147.582996 -0.544 10.5100
147.949206 -0.543 10.4944
148.315417 -0.542 10.4788
148.681628 -0.541 10.4633
149.047839 -0.540 10.4479
149.414050 -0.539 10.4325
149.780261 -0.538 10.4172
150.146472 -0.537 10.4019
150.512683 -0.536 10.3867
150.878894 -0.535 10.3716
151.245105 -0.534 10.3565
151.611316 -0.533 10.3415
151.977526 -0.532 10.3265
152.343737 -0.530 10.3116
152.709948 -0.529 10.2968
153.076159 -0.528 10.2820
153.442370 -0.527 10.2673
153.808581 -0.526 10.2526
154.174792 -0.525 10.2380
154.541003 -0.524 10.2234
154.907214 -0.523 10.2090
155.273425 -0.522 10.1945
155.639636 -0.521 10.1801
156.005846 -0.520 10.1658
156.372057 -0.519 10.1515
156.738268 -0.518 10.1373
157.104479 -0.517 10.1230
157.470690 -0.516 10.1089
157.836901 -0.516 10.0948
158.203112 -0.515 10.0809
158.569323 -0.514 10.0669
158.935534 -0.513 10.0530
159.301745 -0.512 10.0391
159.667955 -0.511 10.0253
160.034166 -0.510 10.0115
160.400377 -0.509 9.9978
160.766588 -0.508 9.9841
161.132799 -0.507 9.9706
161.499010 -0.506 9.9570
161.865221 -0.505 9.9435
162.231432 -0.504 9.9300
162.597643 -0.503 9.9166
