* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO Lynx, Aurora(n) Record 26
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Sep 29, 2023 8:03:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: tegeler 0dbfs 原装管 九月 30
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -10.039 89.5890
20.507811 -9.886 88.6991
20.874021 -9.736 87.8271
21.240232 -9.589 86.9724
21.606443 -9.445 86.1342
21.972654 -9.304 85.3118
22.338865 -9.166 84.5046
22.705076 -9.030 83.7118
23.071287 -8.897 82.9329
23.437498 -8.766 82.1673
23.803709 -8.637 81.4143
24.169920 -8.511 80.6736
24.536131 -8.387 79.9445
24.902341 -8.265 79.2268
25.268552 -8.145 78.5200
25.634763 -8.027 77.8237
26.000974 -7.911 77.1376
26.367185 -7.796 76.4613
26.733396 -7.684 75.7947
27.099607 -7.573 75.1374
27.465818 -7.464 74.4891
27.832029 -7.357 73.8496
28.198240 -7.251 73.2186
28.564451 -7.147 72.5958
28.930661 -7.044 71.9811
29.296872 -6.943 71.3742
29.663083 -6.844 70.7749
30.029294 -6.746 70.1829
30.395505 -6.649 69.5979
30.761716 -6.553 69.0199
31.127927 -6.459 68.4484
31.494138 -6.367 67.8834
31.860349 -6.275 67.3247
32.226560 -6.185 66.7720
32.592771 -6.096 66.2251
32.958981 -6.008 65.6839
33.325192 -5.922 65.1483
33.691403 -5.836 64.6179
34.057614 -5.752 64.0927
34.423825 -5.669 63.5726
34.790036 -5.587 63.0573
35.156247 -5.506 62.5468
35.522458 -5.426 62.0409
35.888669 -5.347 61.5394
36.254880 -5.269 61.0424
36.621091 -5.192 60.5496
36.987301 -5.116 60.0609
37.353512 -5.040 59.5762
37.719723 -4.966 59.0955
38.085934 -4.893 58.6185
38.452145 -4.821 58.1452
38.818356 -4.749 57.6756
39.184567 -4.679 57.2095
39.550778 -4.609 56.7467
39.916989 -4.540 56.2873
40.283200 -4.472 55.8312
40.649410 -4.405 55.3781
41.015621 -4.338 54.9282
41.381832 -4.273 54.4812
41.748043 -4.208 54.0371
42.114254 -4.144 53.5959
42.480465 -4.081 53.1574
42.846676 -4.018 52.7216
43.212887 -3.956 52.2883
43.579098 -3.895 51.8577
43.945309 -3.835 51.4295
44.311520 -3.775 51.0037
44.677730 -3.716 50.5803
45.043941 -3.658 50.1592
45.410152 -3.601 49.7403
45.776363 -3.544 49.3236
46.142574 -3.488 48.9090
46.508785 -3.432 48.4965
46.874996 -3.378 48.0860
47.241207 -3.324 47.6775
47.607418 -3.270 47.2709
47.973629 -3.217 46.8662
48.339840 -3.165 46.4633
48.706050 -3.114 46.0623
49.072261 -3.063 45.6630
49.438472 -3.012 45.2654
49.804683 -2.963 44.8695
50.170894 -2.914 44.4752
50.537105 -2.865 44.0826
50.903316 -2.817 43.6915
51.269527 -2.770 43.3020
51.635738 -2.724 42.9140
52.001949 -2.678 42.5276
52.368160 -2.632 42.1426
52.734370 -2.588 41.7590
53.100581 -2.543 41.3769
53.466792 -2.500 40.9962
53.833003 -2.457 40.6170
54.199214 -2.414 40.2391
54.565425 -2.373 39.8626
54.931636 -2.331 39.4874
55.297847 -2.291 39.1137
55.664058 -2.251 38.7413
56.030269 -2.211 38.3702
56.396480 -2.172 38.0006
56.762690 -2.134 37.6323
57.128901 -2.096 37.2653
57.495112 -2.059 36.8998
57.861323 -2.023 36.5356
58.227534 -1.987 36.1729
58.593745 -1.951 35.8116
58.959956 -1.917 35.4517
59.326167 -1.882 35.0933
59.692378 -1.849 34.7364
60.058589 -1.816 34.3811
60.424800 -1.783 34.0272
60.791010 -1.751 33.6750
61.157221 -1.720 33.3244
61.523432 -1.689 32.9754
61.889643 -1.659 32.6281
62.255854 -1.629 32.2825
62.622065 -1.600 31.9387
62.988276 -1.571 31.5968
63.354487 -1.543 31.2566
63.720698 -1.516 30.9184
64.086909 -1.489 30.5822
64.453119 -1.462 30.2479
64.819330 -1.436 29.9157
65.185541 -1.411 29.5856
65.551752 -1.386 29.2577
65.917963 -1.362 28.9319
66.284174 -1.338 28.6084
66.650385 -1.315 28.2872
67.016596 -1.293 27.9684
67.382807 -1.270 27.6519
67.749018 -1.249 27.3379
68.115229 -1.227 27.0264
68.481439 -1.207 26.7175
68.847650 -1.187 26.4111
69.213861 -1.167 26.1074
69.580072 -1.148 25.8064
69.946283 -1.129 25.5081
70.312494 -1.110 25.2126
70.678705 -1.093 24.9199
71.044916 -1.075 24.6300
71.411127 -1.058 24.3430
71.777338 -1.042 24.0589
72.143549 -1.025 23.7778
72.509759 -1.010 23.4997
72.875970 -0.994 23.2245
73.242181 -0.979 22.9524
73.608392 -0.965 22.6834
73.974603 -0.951 22.4175
74.340814 -0.937 22.1546
74.707025 -0.924 21.8949
75.073236 -0.910 21.6383
75.439447 -0.898 21.3849
75.805658 -0.885 21.1346
76.171869 -0.873 20.8875
76.538079 -0.862 20.6437
76.904290 -0.850 20.4030
77.270501 -0.839 20.1655
77.636712 -0.829 19.9312
78.002923 -0.818 19.7001
78.369134 -0.808 19.4722
78.735345 -0.798 19.2475
79.101556 -0.789 19.0260
79.467767 -0.779 18.8077
79.833978 -0.770 18.5926
80.200189 -0.761 18.3807
80.566399 -0.753 18.1719
80.932610 -0.745 17.9663
81.298821 -0.736 17.7639
81.665032 -0.729 17.5645
82.031243 -0.721 17.3683
82.397454 -0.714 17.1752
82.763665 -0.706 16.9851
83.129876 -0.699 16.7981
83.496087 -0.693 16.6141
83.862298 -0.686 16.4332
84.228509 -0.679 16.2552
84.594719 -0.673 16.0802
84.960930 -0.667 15.9081
85.327141 -0.661 15.7390
85.693352 -0.655 15.5727
86.059563 -0.650 15.4093
86.425774 -0.644 15.2487
86.791985 -0.639 15.0909
87.158196 -0.634 14.9359
87.524407 -0.629 14.7837
87.890618 -0.624 14.6341
88.256828 -0.619 14.4872
88.623039 -0.615 14.3430
88.989250 -0.610 14.2014
89.355461 -0.606 14.0623
89.721672 -0.602 13.9258
90.087883 -0.597 13.7918
90.454094 -0.593 13.6603
90.820305 -0.589 13.5312
91.186516 -0.586 13.4046
91.552727 -0.582 13.2803
91.918938 -0.578 13.1583
92.285148 -0.574 13.0386
92.651359 -0.571 12.9212
93.017570 -0.568 12.8061
93.383781 -0.564 12.6931
93.749992 -0.561 12.5822
94.116203 -0.558 12.4735
94.482414 -0.555 12.3669
94.848625 -0.552 12.2624
95.214836 -0.549 12.1598
95.581047 -0.546 12.0592
95.947258 -0.543 11.9606
96.313468 -0.540 11.8639
96.679679 -0.537 11.7690
97.045890 -0.535 11.6760
97.412101 -0.532 11.5848
97.778312 -0.529 11.4954
98.144523 -0.527 11.4077
98.510734 -0.524 11.3217
98.876945 -0.522 11.2373
99.243156 -0.520 11.1546
99.609367 -0.517 11.0735
99.975578 -0.515 10.9940
100.341788 -0.513 10.9161
100.707999 -0.511 10.8394
101.074210 -0.508 10.7641
101.440421 -0.506 10.6901
101.806632 -0.504 10.6174
102.172843 -0.502 10.5460
102.539054 -0.500 10.4757
102.905265 -0.498 10.4067
103.271476 -0.496 10.3389
103.637687 -0.494 10.2723
104.003898 -0.492 10.2068
104.370108 -0.490 10.1425
104.736319 -0.488 10.0792
105.102530 -0.486 10.0171
105.468741 -0.484 9.9560
105.834952 -0.483 9.8960
106.201163 -0.481 9.8370
106.567374 -0.479 9.7790
106.933585 -0.477 9.7221
107.299796 -0.476 9.6661
107.666007 -0.474 9.6110
108.032218 -0.472 9.5569
108.398428 -0.470 9.5037
108.764639 -0.469 9.4514
109.130850 -0.467 9.4000
109.497061 -0.465 9.3495
109.863272 -0.464 9.2998
110.229483 -0.462 9.2509
110.595694 -0.461 9.2029
110.961905 -0.459 9.1556
111.328116 -0.458 9.1092
111.694327 -0.456 9.0634
112.060537 -0.454 9.0185
112.426748 -0.453 8.9742
112.792959 -0.451 8.9307
113.159170 -0.450 8.8879
113.525381 -0.448 8.8458
113.891592 -0.447 8.8043
114.257803 -0.446 8.7635
114.624014 -0.444 8.7234
114.990225 -0.443 8.6839
115.356436 -0.441 8.6449
115.722647 -0.440 8.6066
116.088857 -0.439 8.5689
116.455068 -0.437 8.5318
116.821279 -0.436 8.4952
117.187490 -0.434 8.4591
117.553701 -0.433 8.4236
117.919912 -0.432 8.3887
118.286123 -0.430 8.3542
118.652334 -0.429 8.3202
119.018545 -0.428 8.2868
119.384756 -0.426 8.2538
119.750967 -0.425 8.2213
120.117177 -0.424 8.1892
120.483388 -0.423 8.1576
120.849599 -0.421 8.1264
121.215810 -0.420 8.0957
121.582021 -0.419 8.0654
121.948232 -0.418 8.0355
122.314443 -0.416 8.0059
122.680654 -0.415 7.9768
123.046865 -0.414 7.9481
123.413076 -0.413 7.9197
123.779287 -0.412 7.8917
124.145497 -0.410 7.8641
124.511708 -0.409 7.8368
124.877919 -0.408 7.8099
125.244130 -0.407 7.7832
125.610341 -0.406 7.7570
125.976552 -0.404 7.7310
126.342763 -0.403 7.7053
126.708974 -0.402 7.6800
127.075185 -0.401 7.6550
127.441396 -0.400 7.6302
127.807607 -0.399 7.6057
128.173817 -0.398 7.5816
128.540028 -0.397 7.5576
128.906239 -0.395 7.5340
129.272450 -0.394 7.5106
129.638661 -0.393 7.4875
130.004872 -0.392 7.4646
130.371083 -0.391 7.4420
130.737294 -0.390 7.4196
131.103505 -0.389 7.3975
131.469716 -0.388 7.3756
131.835927 -0.387 7.3539
132.202137 -0.386 7.3325
132.568348 -0.385 7.3112
132.934559 -0.384 7.2902
133.300770 -0.383 7.2694
133.666981 -0.382 7.2487
134.033192 -0.381 7.2283
134.399403 -0.380 7.2081
134.765614 -0.379 7.1881
135.131825 -0.378 7.1683
135.498036 -0.377 7.1486
135.864246 -0.376 7.1292
136.230457 -0.375 7.1099
136.596668 -0.374 7.0908
136.962879 -0.373 7.0718
137.329090 -0.372 7.0531
137.695301 -0.371 7.0345
138.061512 -0.370 7.0160
138.427723 -0.369 6.9977
138.793934 -0.368 6.9796
139.160145 -0.367 6.9616
139.526356 -0.366 6.9438
139.892566 -0.365 6.9262
140.258777 -0.364 6.9086
140.624988 -0.363 6.8913
140.991199 -0.362 6.8740
141.357410 -0.361 6.8569
141.723621 -0.360 6.8400
142.089832 -0.360 6.8232
142.456043 -0.359 6.8065
142.822254 -0.358 6.7899
143.188465 -0.357 6.7735
143.554676 -0.356 6.7572
143.920886 -0.355 6.7410
144.287097 -0.354 6.7250
144.653308 -0.353 6.7090
145.019519 -0.352 6.6932
145.385730 -0.352 6.6775
145.751941 -0.351 6.6619
146.118152 -0.350 6.6464
146.484363 -0.349 6.6311
146.850574 -0.348 6.6158
147.216785 -0.347 6.6007
147.582996 -0.346 6.5857
147.949206 -0.346 6.5707
148.315417 -0.345 6.5559
148.681628 -0.344 6.5412
149.047839 -0.343 6.5266
149.414050 -0.342 6.5121
149.780261 -0.341 6.4976
150.146472 -0.341 6.4833
150.512683 -0.340 6.4691
150.878894 -0.339 6.4550
151.245105 -0.338 6.4409
151.611316 -0.337 6.4270
151.977526 -0.337 6.4131
152.343737 -0.336 6.3994
152.709948 -0.335 6.3857
153.076159 -0.334 6.3721
153.442370 -0.333 6.3586
153.808581 -0.333 6.3452
154.174792 -0.332 6.3319
154.541003 -0.331 6.3186
154.907214 -0.330 6.3054
155.273425 -0.330 6.2924
155.639636 -0.329 6.2794
156.005846 -0.328 6.2665
156.372057 -0.327 6.2536
156.738268 -0.327 6.2409
157.104479 -0.326 6.2282
157.470690 -0.325 6.2156
157.836901 -0.324 6.2030
158.203112 -0.324 6.1906
158.569323 -0.323 6.1782
158.935534 -0.322 6.1659
159.301745 -0.321 6.1537
159.667955 -0.321 6.1415
160.034166 -0.320 6.1294
160.400377 -0.319 6.1174
160.766588 -0.319 6.1054
161.132799 -0.318 6.0936
161.499010 -0.317 6.0818
161.865221 -0.316 6.0700
162.231432 -0.316 6.0583
162.597643 -0.315 6.0467
