* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO Lynx, Aurora(n) Record 26
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Sep 29, 2023 7:40:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: tegeler -18dbfs 九月 30
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -1.624 46.2998
20.507811 -1.602 45.4408
20.874021 -1.581 44.6204
21.240232 -1.562 43.8362
21.606443 -1.543 43.0860
21.972654 -1.526 42.3679
22.338865 -1.510 41.6800
22.705076 -1.494 41.0207
23.071287 -1.479 40.3883
23.437498 -1.465 39.7814
23.803709 -1.452 39.1986
24.169920 -1.439 38.6384
24.536131 -1.427 38.0998
24.902341 -1.415 37.5814
25.268552 -1.404 37.0821
25.634763 -1.393 36.6010
26.000974 -1.383 36.1368
26.367185 -1.373 35.6887
26.733396 -1.364 35.2558
27.099607 -1.355 34.8373
27.465818 -1.346 34.4323
27.832029 -1.337 34.0402
28.198240 -1.329 33.6602
28.564451 -1.321 33.2918
28.930661 -1.313 32.9344
29.296872 -1.305 32.5874
29.663083 -1.298 32.2503
30.029294 -1.291 31.9228
30.395505 -1.284 31.6044
30.761716 -1.277 31.2948
31.127927 -1.270 30.9934
31.494138 -1.264 30.7001
31.860349 -1.257 30.4145
32.226560 -1.251 30.1363
32.592771 -1.244 29.8652
32.958981 -1.238 29.6010
33.325192 -1.232 29.3433
33.691403 -1.226 29.0919
34.057614 -1.220 28.8467
34.423825 -1.215 28.6073
34.790036 -1.209 28.3735
35.156247 -1.203 28.1451
35.522458 -1.198 27.9220
35.888669 -1.192 27.7039
36.254880 -1.187 27.4907
36.621091 -1.182 27.2821
36.987301 -1.177 27.0780
37.353512 -1.172 26.8783
37.719723 -1.166 26.6827
38.085934 -1.161 26.4912
38.452145 -1.157 26.3036
38.818356 -1.152 26.1198
39.184567 -1.147 25.9397
39.550778 -1.142 25.7631
39.916989 -1.137 25.5900
40.283200 -1.133 25.4201
40.649410 -1.128 25.2535
41.015621 -1.123 25.0900
41.381832 -1.119 24.9296
41.748043 -1.114 24.7720
42.114254 -1.110 24.6174
42.480465 -1.106 24.4655
42.846676 -1.101 24.3163
43.212887 -1.097 24.1697
43.579098 -1.093 24.0257
43.945309 -1.089 23.8841
44.311520 -1.084 23.7450
44.677730 -1.080 23.6081
45.043941 -1.076 23.4736
45.410152 -1.072 23.3412
45.776363 -1.068 23.2110
46.142574 -1.064 23.0829
46.508785 -1.060 22.9568
46.874996 -1.056 22.8327
47.241207 -1.052 22.7106
47.607418 -1.048 22.5903
47.973629 -1.045 22.4719
48.339840 -1.041 22.3552
48.706050 -1.037 22.2403
49.072261 -1.033 22.1271
49.438472 -1.029 22.0156
49.804683 -1.026 21.9056
50.170894 -1.022 21.7973
50.537105 -1.018 21.6905
50.903316 -1.015 21.5852
51.269527 -1.011 21.4814
51.635738 -1.008 21.3791
52.001949 -1.004 21.2781
52.368160 -1.001 21.1785
52.734370 -0.997 21.0803
53.100581 -0.994 20.9834
53.466792 -0.990 20.8878
53.833003 -0.987 20.7934
54.199214 -0.984 20.7003
54.565425 -0.980 20.6084
54.931636 -0.977 20.5177
55.297847 -0.974 20.4281
55.664058 -0.970 20.3397
56.030269 -0.967 20.2524
56.396480 -0.964 20.1661
56.762690 -0.960 20.0810
57.128901 -0.957 19.9968
57.495112 -0.954 19.9137
57.861323 -0.951 19.8316
58.227534 -0.948 19.7505
58.593745 -0.945 19.6703
58.959956 -0.942 19.5911
59.326167 -0.938 19.5128
59.692378 -0.935 19.4353
60.058589 -0.932 19.3588
60.424800 -0.929 19.2832
60.791010 -0.926 19.2084
61.157221 -0.923 19.1344
61.523432 -0.920 19.0613
61.889643 -0.917 18.9890
62.255854 -0.915 18.9175
62.622065 -0.912 18.8467
62.988276 -0.909 18.7767
63.354487 -0.906 18.7075
63.720698 -0.903 18.6390
64.086909 -0.900 18.5713
64.453119 -0.897 18.5042
64.819330 -0.895 18.4379
65.185541 -0.892 18.3722
65.551752 -0.889 18.3072
65.917963 -0.886 18.2429
66.284174 -0.883 18.1793
66.650385 -0.881 18.1163
67.016596 -0.878 18.0539
67.382807 -0.875 17.9922
67.749018 -0.873 17.9311
68.115229 -0.870 17.8705
68.481439 -0.867 17.8106
68.847650 -0.865 17.7513
69.213861 -0.862 17.6925
69.580072 -0.860 17.6343
69.946283 -0.857 17.5767
70.312494 -0.854 17.5196
70.678705 -0.852 17.4631
71.044916 -0.849 17.4071
71.411127 -0.847 17.3516
71.777338 -0.844 17.2967
72.143549 -0.842 17.2422
72.509759 -0.839 17.1883
72.875970 -0.837 17.1348
73.242181 -0.835 17.0819
73.608392 -0.832 17.0294
73.974603 -0.830 16.9774
74.340814 -0.827 16.9258
74.707025 -0.825 16.8747
75.073236 -0.823 16.8241
75.439447 -0.820 16.7739
75.805658 -0.818 16.7242
76.171869 -0.815 16.6749
76.538079 -0.813 16.6260
76.904290 -0.811 16.5776
77.270501 -0.809 16.5295
77.636712 -0.806 16.4819
78.002923 -0.804 16.4347
78.369134 -0.802 16.3878
78.735345 -0.800 16.3414
79.101556 -0.797 16.2954
79.467767 -0.795 16.2497
79.833978 -0.793 16.2044
80.200189 -0.791 16.1595
80.566399 -0.788 16.1150
80.932610 -0.786 16.0709
81.298821 -0.784 16.0271
81.665032 -0.782 15.9836
82.031243 -0.780 15.9405
82.397454 -0.778 15.8978
82.763665 -0.776 15.8554
83.129876 -0.774 15.8133
83.496087 -0.771 15.7716
83.862298 -0.769 15.7302
84.228509 -0.767 15.6891
84.594719 -0.765 15.6483
84.960930 -0.763 15.6079
85.327141 -0.761 15.5678
85.693352 -0.759 15.5280
86.059563 -0.757 15.4885
86.425774 -0.755 15.4493
86.791985 -0.753 15.4104
87.158196 -0.751 15.3719
87.524407 -0.749 15.3336
87.890618 -0.747 15.2956
88.256828 -0.745 15.2579
88.623039 -0.743 15.2205
88.989250 -0.741 15.1833
89.355461 -0.739 15.1465
89.721672 -0.738 15.1099
90.087883 -0.736 15.0736
90.454094 -0.734 15.0376
90.820305 -0.732 15.0019
91.186516 -0.730 14.9664
91.552727 -0.728 14.9312
91.918938 -0.726 14.8963
92.285148 -0.724 14.8616
92.651359 -0.723 14.8272
93.017570 -0.721 14.7930
93.383781 -0.719 14.7591
93.749992 -0.717 14.7254
94.116203 -0.715 14.6920
94.482414 -0.714 14.6589
94.848625 -0.712 14.6260
95.214836 -0.710 14.5933
95.581047 -0.708 14.5609
95.947258 -0.707 14.5287
96.313468 -0.705 14.4967
96.679679 -0.703 14.4650
97.045890 -0.701 14.4335
97.412101 -0.700 14.4023
97.778312 -0.698 14.3713
98.144523 -0.696 14.3405
98.510734 -0.695 14.3099
98.876945 -0.693 14.2796
99.243156 -0.691 14.2495
99.609367 -0.690 14.2196
99.975578 -0.688 14.1899
100.341788 -0.686 14.1605
100.707999 -0.685 14.1312
101.074210 -0.683 14.1021
101.440421 -0.682 14.0731
101.806632 -0.680 14.0442
102.172843 -0.678 14.0155
102.539054 -0.677 13.9870
102.905265 -0.675 13.9586
103.271476 -0.674 13.9304
103.637687 -0.672 13.9023
104.003898 -0.670 13.8743
104.370108 -0.669 13.8465
104.736319 -0.667 13.8189
105.102530 -0.666 13.7914
105.468741 -0.664 13.7640
105.834952 -0.663 13.7368
106.201163 -0.661 13.7097
106.567374 -0.660 13.6828
106.933585 -0.658 13.6560
107.299796 -0.657 13.6294
107.666007 -0.655 13.6029
108.032218 -0.654 13.5766
108.398428 -0.652 13.5504
108.764639 -0.651 13.5243
109.130850 -0.649 13.4984
109.497061 -0.648 13.4726
109.863272 -0.646 13.4469
110.229483 -0.645 13.4214
110.595694 -0.643 13.3961
110.961905 -0.642 13.3708
111.328116 -0.640 13.3457
111.694327 -0.639 13.3208
112.060537 -0.637 13.2959
112.426748 -0.636 13.2713
112.792959 -0.634 13.2467
113.159170 -0.633 13.2223
113.525381 -0.632 13.1980
113.891592 -0.630 13.1738
114.257803 -0.629 13.1498
114.624014 -0.627 13.1259
114.990225 -0.626 13.1021
115.356436 -0.625 13.0785
115.722647 -0.623 13.0549
116.088857 -0.622 13.0316
116.455068 -0.620 13.0083
116.821279 -0.619 12.9851
117.187490 -0.618 12.9621
117.553701 -0.616 12.9392
117.919912 -0.615 12.9165
118.286123 -0.614 12.8938
118.652334 -0.612 12.8713
119.018545 -0.611 12.8489
119.384756 -0.610 12.8266
119.750967 -0.608 12.8044
120.117177 -0.607 12.7823
120.483388 -0.606 12.7604
120.849599 -0.604 12.7386
121.215810 -0.603 12.7169
121.582021 -0.602 12.6953
121.948232 -0.600 12.6738
122.314443 -0.599 12.6524
122.680654 -0.598 12.6312
123.046865 -0.596 12.6100
123.413076 -0.595 12.5890
123.779287 -0.594 12.5681
124.145497 -0.593 12.5472
124.511708 -0.591 12.5265
124.877919 -0.590 12.5059
125.244130 -0.589 12.4854
125.610341 -0.588 12.4650
125.976552 -0.586 12.4447
126.342763 -0.585 12.4245
126.708974 -0.584 12.4045
127.075185 -0.583 12.3845
127.441396 -0.581 12.3646
127.807607 -0.580 12.3448
128.173817 -0.579 12.3252
128.540028 -0.578 12.3056
128.906239 -0.577 12.2861
129.272450 -0.575 12.2667
129.638661 -0.574 12.2474
130.004872 -0.573 12.2282
130.371083 -0.572 12.2091
130.737294 -0.571 12.1901
131.103505 -0.569 12.1712
131.469716 -0.568 12.1524
131.835927 -0.567 12.1337
132.202137 -0.566 12.1151
132.568348 -0.565 12.0966
132.934559 -0.564 12.0781
133.300770 -0.562 12.0598
133.666981 -0.561 12.0415
134.033192 -0.560 12.0233
134.399403 -0.559 12.0052
134.765614 -0.558 11.9872
135.131825 -0.557 11.9693
135.498036 -0.556 11.9515
135.864246 -0.554 11.9338
136.230457 -0.553 11.9161
136.596668 -0.552 11.8985
136.962879 -0.551 11.8811
137.329090 -0.550 11.8637
137.695301 -0.549 11.8463
138.061512 -0.548 11.8291
138.427723 -0.547 11.8119
138.793934 -0.546 11.7949
139.160145 -0.545 11.7779
139.526356 -0.543 11.7610
139.892566 -0.542 11.7441
140.258777 -0.541 11.7274
140.624988 -0.540 11.7107
140.991199 -0.539 11.6941
141.357410 -0.538 11.6775
141.723621 -0.537 11.6611
142.089832 -0.536 11.6447
142.456043 -0.535 11.6284
142.822254 -0.534 11.6122
143.188465 -0.533 11.5960
143.554676 -0.532 11.5800
143.920886 -0.531 11.5640
144.287097 -0.530 11.5480
144.653308 -0.529 11.5322
145.019519 -0.528 11.5164
145.385730 -0.527 11.5007
145.751941 -0.526 11.4850
146.118152 -0.525 11.4695
146.484363 -0.524 11.4540
146.850574 -0.523 11.4385
147.216785 -0.522 11.4232
147.582996 -0.521 11.4079
147.949206 -0.520 11.3926
148.315417 -0.519 11.3775
148.681628 -0.518 11.3624
149.047839 -0.517 11.3473
149.414050 -0.516 11.3324
149.780261 -0.515 11.3175
150.146472 -0.514 11.3026
150.512683 -0.513 11.2879
150.878894 -0.512 11.2732
151.245105 -0.511 11.2585
151.611316 -0.510 11.2440
151.977526 -0.509 11.2294
152.343737 -0.508 11.2150
152.709948 -0.507 11.2006
153.076159 -0.506 11.1863
153.442370 -0.505 11.1720
153.808581 -0.504 11.1578
154.174792 -0.503 11.1437
154.541003 -0.502 11.1296
154.907214 -0.501 11.1156
155.273425 -0.500 11.1016
155.639636 -0.499 11.0877
156.005846 -0.499 11.0739
156.372057 -0.498 11.0601
156.738268 -0.497 11.0463
157.104479 -0.496 11.0327
157.470690 -0.495 11.0191
157.836901 -0.494 11.0055
158.203112 -0.493 10.9920
158.569323 -0.492 10.9786
158.935534 -0.491 10.9652
159.301745 -0.490 10.9518
159.667955 -0.489 10.9386
160.034166 -0.489 10.9254
160.400377 -0.488 10.9122
160.766588 -0.487 10.8991
161.132799 -0.486 10.8860
161.499010 -0.485 10.8730
161.865221 -0.484 10.8601
162.231432 -0.483 10.8472
162.597643 -0.482 10.8343
162.963854 -0.482 10.8215
