* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO Lynx, Aurora(n) Record 26
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Sep 29, 2023 7:38:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: tegeler 0dbfs 九月 30
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -9.778 94.7439
20.507811 -9.624 93.7535
20.874021 -9.474 92.7832
21.240232 -9.326 91.8321
21.606443 -9.182 90.8995
21.972654 -9.040 89.9847
22.338865 -8.901 89.0870
22.705076 -8.765 88.2057
23.071287 -8.631 87.3401
23.437498 -8.500 86.4895
23.803709 -8.371 85.6535
24.169920 -8.244 84.8314
24.536131 -8.120 84.0227
24.902341 -7.998 83.2270
25.268552 -7.878 82.4438
25.634763 -7.760 81.6727
26.000974 -7.643 80.9133
26.367185 -7.529 80.1652
26.733396 -7.417 79.4281
27.099607 -7.306 78.7017
27.465818 -7.197 77.9857
27.832029 -7.090 77.2797
28.198240 -6.984 76.5836
28.564451 -6.880 75.8969
28.930661 -6.777 75.2193
29.296872 -6.676 74.5508
29.663083 -6.577 73.8909
30.029294 -6.479 73.2393
30.395505 -6.382 72.5960
30.761716 -6.287 71.9605
31.127927 -6.193 71.3327
31.494138 -6.101 70.7123
31.860349 -6.010 70.0990
32.226560 -5.920 69.4928
32.592771 -5.831 68.8933
32.958981 -5.744 68.3004
33.325192 -5.658 67.7138
33.691403 -5.572 67.1334
34.057614 -5.489 66.5589
34.423825 -5.406 65.9904
34.790036 -5.324 65.4274
35.156247 -5.243 64.8700
35.522458 -5.164 64.3179
35.888669 -5.085 63.7711
36.254880 -5.008 63.2292
36.621091 -4.931 62.6924
36.987301 -4.856 62.1603
37.353512 -4.781 61.6329
37.719723 -4.707 61.1100
38.085934 -4.635 60.5915
38.452145 -4.563 60.0774
38.818356 -4.492 59.5675
39.184567 -4.422 59.0616
39.550778 -4.353 58.5597
39.916989 -4.284 58.0617
40.283200 -4.217 57.5674
40.649410 -4.150 57.0768
41.015621 -4.084 56.5898
41.381832 -4.019 56.1063
41.748043 -3.955 55.6262
42.114254 -3.892 55.1494
42.480465 -3.829 54.6758
42.846676 -3.767 54.2053
43.212887 -3.706 53.7379
43.579098 -3.646 53.2735
43.945309 -3.586 52.8119
44.311520 -3.528 52.3533
44.677730 -3.469 51.8973
45.043941 -3.412 51.4441
45.410152 -3.355 50.9935
45.776363 -3.299 50.5455
46.142574 -3.244 50.1000
46.508785 -3.190 49.6569
46.874996 -3.136 49.2163
47.241207 -3.082 48.7779
47.607418 -3.030 48.3419
47.973629 -2.978 47.9081
48.339840 -2.927 47.4765
48.706050 -2.876 47.0470
49.072261 -2.826 46.6197
49.438472 -2.777 46.1944
49.804683 -2.728 45.7711
50.170894 -2.681 45.3498
50.537105 -2.633 44.9304
50.903316 -2.587 44.5130
51.269527 -2.541 44.0975
51.635738 -2.495 43.6838
52.001949 -2.451 43.2720
52.368160 -2.406 42.8620
52.734370 -2.363 42.4538
53.100581 -2.320 42.0474
53.466792 -2.278 41.6427
53.833003 -2.236 41.2399
54.199214 -2.195 40.8387
54.565425 -2.155 40.4394
54.931636 -2.115 40.0417
55.297847 -2.076 39.6459
55.664058 -2.038 39.2517
56.030269 -2.000 38.8594
56.396480 -1.963 38.4688
56.762690 -1.926 38.0800
57.128901 -1.890 37.6930
57.495112 -1.855 37.3078
57.861323 -1.820 36.9245
58.227534 -1.786 36.5430
58.593745 -1.752 36.1634
58.959956 -1.719 35.7858
59.326167 -1.687 35.4101
59.692378 -1.655 35.0364
60.058589 -1.624 34.6648
60.424800 -1.594 34.2952
60.791010 -1.564 33.9277
61.157221 -1.535 33.5623
61.523432 -1.506 33.1992
61.889643 -1.478 32.8383
62.255854 -1.450 32.4797
62.622065 -1.423 32.1234
62.988276 -1.397 31.7696
63.354487 -1.371 31.4181
63.720698 -1.346 31.0692
64.086909 -1.321 30.7228
64.453119 -1.297 30.3789
64.819330 -1.273 30.0378
65.185541 -1.250 29.6993
65.551752 -1.228 29.3635
65.917963 -1.206 29.0305
66.284174 -1.184 28.7004
66.650385 -1.163 28.3731
67.016596 -1.143 28.0488
67.382807 -1.123 27.7274
67.749018 -1.104 27.4091
68.115229 -1.085 27.0938
68.481439 -1.066 26.7816
68.847650 -1.048 26.4725
69.213861 -1.031 26.1666
69.580072 -1.014 25.8639
69.946283 -0.997 25.5644
70.312494 -0.981 25.2682
70.678705 -0.965 24.9753
71.044916 -0.950 24.6857
71.411127 -0.935 24.3994
71.777338 -0.921 24.1165
72.143549 -0.907 23.8370
72.509759 -0.893 23.5608
72.875970 -0.880 23.2881
73.242181 -0.867 23.0189
73.608392 -0.854 22.7530
73.974603 -0.842 22.4906
74.340814 -0.830 22.2317
74.707025 -0.819 21.9762
75.073236 -0.808 21.7242
75.439447 -0.797 21.4756
75.805658 -0.786 21.2305
76.171869 -0.776 20.9889
76.538079 -0.766 20.7507
76.904290 -0.756 20.5160
77.270501 -0.747 20.2847
77.636712 -0.738 20.0569
78.002923 -0.729 19.8325
78.369134 -0.721 19.6114
78.735345 -0.712 19.3938
79.101556 -0.704 19.1796
79.467767 -0.696 18.9687
79.833978 -0.689 18.7611
80.200189 -0.681 18.5569
80.566399 -0.674 18.3560
80.932610 -0.667 18.1583
81.298821 -0.661 17.9639
81.665032 -0.654 17.7727
82.031243 -0.648 17.5848
82.397454 -0.642 17.4000
82.763665 -0.636 17.2183
83.129876 -0.630 17.0398
83.496087 -0.624 16.8644
83.862298 -0.619 16.6920
84.228509 -0.613 16.5226
84.594719 -0.608 16.3562
84.960930 -0.603 16.1928
85.327141 -0.598 16.0323
85.693352 -0.594 15.8747
86.059563 -0.589 15.7200
86.425774 -0.585 15.5680
86.791985 -0.580 15.4189
87.158196 -0.576 15.2725
87.524407 -0.572 15.1288
87.890618 -0.568 14.9878
88.256828 -0.564 14.8494
88.623039 -0.560 14.7136
88.989250 -0.557 14.5804
89.355461 -0.553 14.4496
89.721672 -0.549 14.3214
90.087883 -0.546 14.1956
90.454094 -0.543 14.0722
90.820305 -0.539 13.9512
91.186516 -0.536 13.8325
91.552727 -0.533 13.7161
91.918938 -0.530 13.6020
92.285148 -0.527 13.4900
92.651359 -0.524 13.3803
93.017570 -0.522 13.2726
93.383781 -0.519 13.1671
93.749992 -0.516 13.0636
94.116203 -0.513 12.9622
94.482414 -0.511 12.8627
94.848625 -0.508 12.7652
95.214836 -0.506 12.6696
95.581047 -0.504 12.5758
95.947258 -0.501 12.4839
96.313468 -0.499 12.3939
96.679679 -0.497 12.3055
97.045890 -0.494 12.2189
97.412101 -0.492 12.1341
97.778312 -0.490 12.0508
98.144523 -0.488 11.9692
98.510734 -0.486 11.8892
98.876945 -0.484 11.8108
99.243156 -0.482 11.7339
99.609367 -0.480 11.6585
99.975578 -0.478 11.5846
100.341788 -0.476 11.5121
100.707999 -0.475 11.4409
101.074210 -0.473 11.3709
101.440421 -0.471 11.3021
101.806632 -0.469 11.2345
102.172843 -0.467 11.1680
102.539054 -0.466 11.1027
102.905265 -0.464 11.0386
103.271476 -0.462 10.9755
103.637687 -0.461 10.9136
104.003898 -0.459 10.8527
104.370108 -0.457 10.7928
104.736319 -0.456 10.7340
105.102530 -0.454 10.6762
105.468741 -0.453 10.6194
105.834952 -0.451 10.5635
106.201163 -0.450 10.5087
106.567374 -0.448 10.4547
106.933585 -0.447 10.4016
107.299796 -0.445 10.3495
107.666007 -0.444 10.2982
108.032218 -0.442 10.2478
108.398428 -0.441 10.1983
108.764639 -0.439 10.1495
109.130850 -0.438 10.1016
109.497061 -0.437 10.0545
109.863272 -0.435 10.0082
110.229483 -0.434 9.9626
110.595694 -0.433 9.9177
110.961905 -0.431 9.8736
111.328116 -0.430 9.8302
111.694327 -0.429 9.7876
112.060537 -0.427 9.7456
112.426748 -0.426 9.7042
112.792959 -0.425 9.6636
113.159170 -0.423 9.6235
113.525381 -0.422 9.5841
113.891592 -0.421 9.5454
114.257803 -0.420 9.5072
114.624014 -0.418 9.4696
114.990225 -0.417 9.4326
115.356436 -0.416 9.3961
115.722647 -0.415 9.3602
116.088857 -0.414 9.3249
116.455068 -0.412 9.2901
116.821279 -0.411 9.2558
117.187490 -0.410 9.2220
117.553701 -0.409 9.1887
117.919912 -0.408 9.1558
118.286123 -0.407 9.1235
118.652334 -0.405 9.0916
119.018545 -0.404 9.0602
119.384756 -0.403 9.0292
119.750967 -0.402 8.9987
120.117177 -0.401 8.9685
120.483388 -0.400 8.9388
120.849599 -0.399 8.9095
121.215810 -0.398 8.8806
121.582021 -0.397 8.8521
121.948232 -0.396 8.8240
122.314443 -0.394 8.7962
122.680654 -0.393 8.7688
123.046865 -0.392 8.7417
123.413076 -0.391 8.7150
123.779287 -0.390 8.6887
124.145497 -0.389 8.6627
124.511708 -0.388 8.6370
124.877919 -0.387 8.6116
125.244130 -0.386 8.5865
125.610341 -0.385 8.5618
125.976552 -0.384 8.5373
126.342763 -0.383 8.5131
126.708974 -0.382 8.4892
127.075185 -0.381 8.4656
127.441396 -0.380 8.4423
127.807607 -0.379 8.4193
128.173817 -0.378 8.3965
128.540028 -0.377 8.3740
128.906239 -0.376 8.3517
129.272450 -0.375 8.3296
129.638661 -0.374 8.3079
130.004872 -0.373 8.2863
130.371083 -0.372 8.2650
130.737294 -0.371 8.2439
131.103505 -0.370 8.2231
131.469716 -0.370 8.2024
131.835927 -0.369 8.1820
132.202137 -0.368 8.1618
132.568348 -0.367 8.1418
132.934559 -0.366 8.1220
133.300770 -0.365 8.1024
133.666981 -0.364 8.0830
134.033192 -0.363 8.0638
134.399403 -0.362 8.0447
134.765614 -0.361 8.0259
135.131825 -0.360 8.0073
135.498036 -0.360 7.9888
135.864246 -0.359 7.9705
136.230457 -0.358 7.9524
136.596668 -0.357 7.9344
136.962879 -0.356 7.9166
137.329090 -0.355 7.8990
137.695301 -0.354 7.8815
138.061512 -0.354 7.8642
138.427723 -0.353 7.8471
138.793934 -0.352 7.8301
139.160145 -0.351 7.8132
139.526356 -0.350 7.7965
139.892566 -0.349 7.7800
140.258777 -0.349 7.7635
140.624988 -0.348 7.7473
140.991199 -0.347 7.7311
141.357410 -0.346 7.7151
141.723621 -0.345 7.6993
142.089832 -0.344 7.6836
142.456043 -0.344 7.6680
142.822254 -0.343 7.6525
143.188465 -0.342 7.6371
143.554676 -0.341 7.6219
143.920886 -0.340 7.6068
144.287097 -0.340 7.5919
144.653308 -0.339 7.5770
145.019519 -0.338 7.5623
145.385730 -0.337 7.5476
145.751941 -0.337 7.5331
146.118152 -0.336 7.5187
146.484363 -0.335 7.5045
146.850574 -0.334 7.4903
147.216785 -0.334 7.4762
147.582996 -0.333 7.4623
147.949206 -0.332 7.4484
148.315417 -0.331 7.4347
148.681628 -0.331 7.4210
149.047839 -0.330 7.4075
149.414050 -0.329 7.3940
149.780261 -0.328 7.3807
150.146472 -0.328 7.3674
150.512683 -0.327 7.3543
150.878894 -0.326 7.3412
151.245105 -0.325 7.3283
151.611316 -0.325 7.3154
151.977526 -0.324 7.3026
152.343737 -0.323 7.2900
152.709948 -0.323 7.2774
153.076159 -0.322 7.2649
153.442370 -0.321 7.2524
153.808581 -0.320 7.2401
154.174792 -0.320 7.2279
154.541003 -0.319 7.2157
154.907214 -0.318 7.2036
155.273425 -0.318 7.1916
155.639636 -0.317 7.1797
156.005846 -0.316 7.1679
156.372057 -0.316 7.1561
156.738268 -0.315 7.1445
157.104479 -0.314 7.1329
157.470690 -0.314 7.1214
157.836901 -0.313 7.1099
158.203112 -0.312 7.0986
158.569323 -0.312 7.0873
158.935534 -0.311 7.0761
159.301745 -0.310 7.0649
159.667955 -0.310 7.0539
160.034166 -0.309 7.0429
160.400377 -0.308 7.0320
160.766588 -0.308 7.0211
161.132799 -0.307 7.0103
161.499010 -0.306 6.9996
161.865221 -0.306 6.9890
162.231432 -0.305 6.9784
162.597643 -0.305 6.9679
162.963854 -0.304 6.9575
