* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:34:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Vector average of tegeler 0dbfs 九月 30, tegeler -6dbfs 九月 30, tegeler -12dbfs九月 30, tegeler -18dbfs 九月 30, tegeler -24dbfs 九月 30
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -3.961 60.8456
20.507811 -3.889 59.8300
20.874021 -3.820 58.8467
21.240232 -3.754 57.8949
21.606443 -3.690 56.9737
21.972654 -3.628 56.0823
22.338865 -3.569 55.2199
22.705076 -3.511 54.3856
23.071287 -3.455 53.5784
23.437498 -3.400 52.7975
23.803709 -3.347 52.0417
24.169920 -3.295 51.3102
24.536131 -3.245 50.6020
24.902341 -3.196 49.9160
25.268552 -3.148 49.2512
25.634763 -3.100 48.6065
26.000974 -3.054 47.9810
26.367185 -3.009 47.3737
26.733396 -2.965 46.7835
27.099607 -2.922 46.2096
27.465818 -2.879 45.6511
27.832029 -2.837 45.1071
28.198240 -2.796 44.5768
28.564451 -2.756 44.0594
28.930661 -2.717 43.5541
29.296872 -2.678 43.0604
29.663083 -2.640 42.5776
30.029294 -2.603 42.1051
30.395505 -2.567 41.6424
30.761716 -2.531 41.1890
31.127927 -2.496 40.7444
31.494138 -2.461 40.3082
31.860349 -2.427 39.8801
32.226560 -2.394 39.4598
32.592771 -2.362 39.0469
32.958981 -2.330 38.6412
33.325192 -2.299 38.2424
33.691403 -2.269 37.8504
34.057614 -2.239 37.4648
34.423825 -2.209 37.0857
34.790036 -2.181 36.7127
35.156247 -2.153 36.3458
35.522458 -2.126 35.9849
35.888669 -2.099 35.6298
36.254880 -2.073 35.2805
36.621091 -2.047 34.9370
36.987301 -2.022 34.5990
37.353512 -1.997 34.2665
37.719723 -1.973 33.9395
38.085934 -1.950 33.6180
38.452145 -1.927 33.3018
38.818356 -1.904 32.9909
39.184567 -1.882 32.6854
39.550778 -1.861 32.3850
39.916989 -1.840 32.0898
40.283200 -1.819 31.7997
40.649410 -1.799 31.5147
41.015621 -1.779 31.2348
41.381832 -1.759 30.9597
41.748043 -1.740 30.6896
42.114254 -1.721 30.4243
42.480465 -1.703 30.1638
42.846676 -1.685 29.9080
43.212887 -1.667 29.6567
43.579098 -1.649 29.4100
43.945309 -1.632 29.1678
44.311520 -1.615 28.9299
44.677730 -1.598 28.6964
45.043941 -1.582 28.4669
45.410152 -1.566 28.2416
45.776363 -1.550 28.0204
46.142574 -1.534 27.8030
46.508785 -1.518 27.5894
46.874996 -1.503 27.3794
47.241207 -1.488 27.1731
47.607418 -1.473 26.9703
47.973629 -1.458 26.7709
48.339840 -1.444 26.5747
48.706050 -1.429 26.3818
49.072261 -1.415 26.1920
49.438472 -1.401 26.0051
49.804683 -1.387 25.8211
50.170894 -1.373 25.6399
50.537105 -1.359 25.4614
50.903316 -1.346 25.2856
51.269527 -1.333 25.1122
51.635738 -1.319 24.9413
52.001949 -1.306 24.7727
52.368160 -1.293 24.6064
52.734370 -1.281 24.4423
53.100581 -1.268 24.2803
53.466792 -1.256 24.1203
53.833003 -1.243 23.9623
54.199214 -1.231 23.8062
54.565425 -1.219 23.6519
54.931636 -1.207 23.4993
55.297847 -1.195 23.3485
55.664058 -1.184 23.1993
56.030269 -1.172 23.0518
56.396480 -1.161 22.9058
56.762690 -1.150 22.7612
57.128901 -1.139 22.6182
57.495112 -1.128 22.4766
57.861323 -1.117 22.3363
58.227534 -1.106 22.1974
58.593745 -1.096 22.0598
58.959956 -1.085 21.9234
59.326167 -1.075 21.7883
59.692378 -1.065 21.6544
60.058589 -1.055 21.5217
60.424800 -1.045 21.3901
60.791010 -1.035 21.2597
61.157221 -1.026 21.1304
61.523432 -1.017 21.0022
61.889643 -1.007 20.8751
62.255854 -0.998 20.7491
62.622065 -0.989 20.6242
62.988276 -0.981 20.5004
63.354487 -0.972 20.3775
63.720698 -0.963 20.2557
64.086909 -0.955 20.1349
64.453119 -0.947 20.0152
64.819330 -0.939 19.8965
65.185541 -0.931 19.7788
65.551752 -0.923 19.6621
65.917963 -0.915 19.5464
66.284174 -0.908 19.4317
66.650385 -0.900 19.3181
67.016596 -0.893 19.2054
67.382807 -0.886 19.0938
67.749018 -0.879 18.9831
68.115229 -0.872 18.8734
68.481439 -0.866 18.7648
68.847650 -0.859 18.6572
69.213861 -0.853 18.5505
69.580072 -0.846 18.4449
69.946283 -0.840 18.3403
70.312494 -0.834 18.2368
70.678705 -0.828 18.1342
71.044916 -0.822 18.0326
71.411127 -0.817 17.9321
71.777338 -0.811 17.8325
72.143549 -0.806 17.7340
72.509759 -0.800 17.6365
72.875970 -0.795 17.5400
73.242181 -0.790 17.4445
73.608392 -0.785 17.3500
73.974603 -0.780 17.2566
74.340814 -0.775 17.1641
74.707025 -0.770 17.0726
75.073236 -0.766 16.9822
75.439447 -0.761 16.8928
75.805658 -0.757 16.8043
76.171869 -0.753 16.7169
76.538079 -0.748 16.6305
76.904290 -0.744 16.5450
77.270501 -0.740 16.4606
77.636712 -0.736 16.3771
78.002923 -0.732 16.2946
78.369134 -0.728 16.2131
78.735345 -0.725 16.1326
79.101556 -0.721 16.0530
79.467767 -0.717 15.9744
79.833978 -0.714 15.8967
80.200189 -0.710 15.8199
80.566399 -0.707 15.7441
80.932610 -0.704 15.6693
81.298821 -0.700 15.5955
81.665032 -0.697 15.5225
82.031243 -0.694 15.4503
82.397454 -0.691 15.3792
82.763665 -0.688 15.3089
83.129876 -0.685 15.2395
83.496087 -0.682 15.1710
83.862298 -0.679 15.1034
84.228509 -0.677 15.0367
84.594719 -0.674 14.9708
84.960930 -0.671 14.9058
85.327141 -0.668 14.8416
85.693352 -0.666 14.7782
86.059563 -0.663 14.7157
86.425774 -0.661 14.6540
86.791985 -0.658 14.5931
87.158196 -0.656 14.5330
87.524407 -0.653 14.4736
87.890618 -0.651 14.4150
88.256828 -0.649 14.3573
88.623039 -0.646 14.3003
88.989250 -0.644 14.2440
89.355461 -0.642 14.1885
89.721672 -0.640 14.1337
90.087883 -0.637 14.0796
90.454094 -0.635 14.0262
90.820305 -0.633 13.9735
91.186516 -0.631 13.9215
91.552727 -0.629 13.8702
91.918938 -0.627 13.8196
92.285148 -0.625 13.7697
92.651359 -0.623 13.7204
93.017570 -0.621 13.6718
93.383781 -0.619 13.6238
93.749992 -0.617 13.5764
94.116203 -0.615 13.5296
94.482414 -0.614 13.4834
94.848625 -0.612 13.4379
95.214836 -0.610 13.3929
95.581047 -0.608 13.3485
95.947258 -0.606 13.3047
96.313468 -0.605 13.2615
96.679679 -0.603 13.2188
97.045890 -0.601 13.1766
97.412101 -0.599 13.1351
97.778312 -0.598 13.0940
98.144523 -0.596 13.0535
98.510734 -0.594 13.0134
98.876945 -0.593 12.9739
99.243156 -0.591 12.9348
99.609367 -0.590 12.8962
99.975578 -0.588 12.8582
100.341788 -0.586 12.8206
100.707999 -0.585 12.7834
101.074210 -0.583 12.7466
101.440421 -0.582 12.7101
101.806632 -0.580 12.6740
102.172843 -0.579 12.6383
102.539054 -0.577 12.6029
102.905265 -0.576 12.5679
103.271476 -0.574 12.5333
103.637687 -0.573 12.4990
104.003898 -0.571 12.4650
104.370108 -0.570 12.4314
104.736319 -0.568 12.3981
105.102530 -0.567 12.3651
105.468741 -0.565 12.3325
105.834952 -0.564 12.3002
106.201163 -0.562 12.2682
106.567374 -0.561 12.2365
106.933585 -0.560 12.2051
107.299796 -0.558 12.1741
107.666007 -0.557 12.1433
108.032218 -0.555 12.1128
108.398428 -0.554 12.0826
108.764639 -0.553 12.0527
109.130850 -0.551 12.0231
109.497061 -0.550 11.9938
109.863272 -0.549 11.9647
110.229483 -0.547 11.9359
110.595694 -0.546 11.9073
110.961905 -0.545 11.8792
111.328116 -0.543 11.8511
111.694327 -0.542 11.8234
112.060537 -0.541 11.7959
112.426748 -0.539 11.7686
112.792959 -0.538 11.7416
113.159170 -0.537 11.7148
113.525381 -0.535 11.6884
113.891592 -0.534 11.6620
114.257803 -0.533 11.6360
114.624014 -0.532 11.6102
114.990225 -0.530 11.5846
115.356436 -0.529 11.5592
115.722647 -0.528 11.5340
116.088857 -0.527 11.5090
116.455068 -0.525 11.4843
116.821279 -0.524 11.4597
117.187490 -0.523 11.4354
117.553701 -0.522 11.4113
117.919912 -0.520 11.3873
118.286123 -0.519 11.3636
118.652334 -0.518 11.3401
119.018545 -0.517 11.3168
119.384756 -0.516 11.2936
119.750967 -0.514 11.2706
120.117177 -0.513 11.2478
120.483388 -0.512 11.2252
120.849599 -0.511 11.2028
121.215810 -0.510 11.1805
121.582021 -0.509 11.1584
121.948232 -0.507 11.1365
122.314443 -0.506 11.1147
122.680654 -0.505 11.0931
123.046865 -0.504 11.0718
123.413076 -0.503 11.0505
123.779287 -0.502 11.0294
124.145497 -0.501 11.0084
124.511708 -0.499 10.9876
124.877919 -0.498 10.9670
125.244130 -0.497 10.9465
125.610341 -0.496 10.9261
125.976552 -0.495 10.9059
126.342763 -0.494 10.8859
126.708974 -0.493 10.8660
127.075185 -0.492 10.8462
127.441396 -0.491 10.8265
127.807607 -0.489 10.8070
128.173817 -0.488 10.7876
128.540028 -0.487 10.7684
128.906239 -0.486 10.7493
129.272450 -0.485 10.7303
129.638661 -0.484 10.7114
130.004872 -0.483 10.6927
130.371083 -0.482 10.6741
130.737294 -0.481 10.6556
131.103505 -0.480 10.6373
131.469716 -0.479 10.6191
131.835927 -0.478 10.6010
132.202137 -0.477 10.5829
132.568348 -0.476 10.5651
132.934559 -0.475 10.5473
133.300770 -0.474 10.5297
133.666981 -0.473 10.5121
134.033192 -0.472 10.4947
134.399403 -0.471 10.4774
134.765614 -0.470 10.4601
135.131825 -0.469 10.4430
135.498036 -0.468 10.4260
135.864246 -0.467 10.4091
136.230457 -0.466 10.3923
136.596668 -0.465 10.3756
136.962879 -0.464 10.3590
137.329090 -0.463 10.3425
137.695301 -0.462 10.3261
138.061512 -0.461 10.3098
138.427723 -0.460 10.2936
138.793934 -0.459 10.2775
139.160145 -0.458 10.2615
139.526356 -0.457 10.2455
139.892566 -0.456 10.2297
140.258777 -0.455 10.2140
140.624988 -0.454 10.1983
140.991199 -0.453 10.1827
141.357410 -0.452 10.1672
141.723621 -0.451 10.1519
142.089832 -0.450 10.1366
142.456043 -0.450 10.1214
142.822254 -0.449 10.1063
143.188465 -0.448 10.0912
143.554676 -0.447 10.0763
143.920886 -0.446 10.0614
144.287097 -0.445 10.0466
144.653308 -0.444 10.0319
145.019519 -0.443 10.0172
145.385730 -0.442 10.0027
145.751941 -0.441 9.9882
146.118152 -0.441 9.9738
146.484363 -0.440 9.9595
146.850574 -0.439 9.9453
147.216785 -0.438 9.9311
147.582996 -0.437 9.9170
147.949206 -0.436 9.9030
148.315417 -0.435 9.8890
148.681628 -0.434 9.8751
149.047839 -0.434 9.8613
149.414050 -0.433 9.8477
149.780261 -0.432 9.8340
150.146472 -0.431 9.8204
150.512683 -0.430 9.8069
150.878894 -0.429 9.7935
151.245105 -0.428 9.7801
151.611316 -0.428 9.7668
151.977526 -0.427 9.7535
152.343737 -0.426 9.7404
152.709948 -0.425 9.7273
153.076159 -0.424 9.7142
153.442370 -0.423 9.7013
153.808581 -0.423 9.6884
154.174792 -0.422 9.6755
154.541003 -0.421 9.6627
154.907214 -0.420 9.6500
155.273425 -0.419 9.6373
155.639636 -0.418 9.6248
156.005846 -0.418 9.6122
156.372057 -0.417 9.5997
156.738268 -0.416 9.5874
157.104479 -0.415 9.5751
157.470690 -0.414 9.5627
157.836901 -0.414 9.5505
158.203112 -0.413 9.5385
158.569323 -0.412 9.5264
158.935534 -0.411 9.5143
159.301745 -0.411 9.5023
159.667955 -0.410 9.4904
160.034166 -0.409 9.4785
160.400377 -0.408 9.4667
160.766588 -0.407 9.4550
161.132799 -0.407 9.4432
161.499010 -0.406 9.4316
161.865221 -0.405 9.4200
162.231432 -0.404 9.4084
