* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO Lynx, Aurora(n) Record 26
* Format: 256k Log Swept Sine, 1 sweep at -14.0 dBFS with no timing reference
* Dated: Sep 10, 2023 9:50:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VSP-2+36DB 九月 11
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -0.012 31.3712
20.507811 -0.013 30.8009
20.874021 -0.014 30.2515
21.240232 -0.015 29.7218
21.606443 -0.015 29.2108
21.972654 -0.016 28.7176
22.338865 -0.017 28.2412
22.705076 -0.017 27.7809
23.071287 -0.018 27.3357
23.437498 -0.019 26.9050
23.803709 -0.019 26.4880
24.169920 -0.020 26.0842
24.536131 -0.020 25.6928
24.902341 -0.021 25.3134
25.268552 -0.021 24.9453
25.634763 -0.021 24.5880
26.000974 -0.022 24.2411
26.367185 -0.022 23.9041
26.733396 -0.023 23.5766
27.099607 -0.023 23.2581
27.465818 -0.023 22.9484
27.832029 -0.024 22.6469
28.198240 -0.024 22.3535
28.564451 -0.024 22.0678
28.930661 -0.025 21.7894
29.296872 -0.025 21.5181
29.663083 -0.025 21.2537
30.029294 -0.026 20.9958
30.395505 -0.026 20.7443
30.761716 -0.026 20.4989
31.127927 -0.026 20.2594
31.494138 -0.026 20.0256
31.860349 -0.027 19.7972
32.226560 -0.027 19.5742
32.592771 -0.027 19.3562
32.958981 -0.027 19.1432
33.325192 -0.027 18.9350
33.691403 -0.027 18.7314
34.057614 -0.028 18.5322
34.423825 -0.028 18.3373
34.790036 -0.028 18.1466
35.156247 -0.028 17.9600
35.522458 -0.028 17.7773
35.888669 -0.028 17.5983
36.254880 -0.028 17.4230
36.621091 -0.028 17.2513
36.987301 -0.028 17.0831
37.353512 -0.029 16.9181
37.719723 -0.029 16.7565
38.085934 -0.029 16.5979
38.452145 -0.029 16.4425
38.818356 -0.029 16.2900
39.184567 -0.029 16.1404
39.550778 -0.029 15.9936
39.916989 -0.029 15.8496
40.283200 -0.029 15.7082
40.649410 -0.029 15.5694
41.015621 -0.029 15.4331
41.381832 -0.029 15.2992
41.748043 -0.029 15.1678
42.114254 -0.029 15.0386
42.480465 -0.029 14.9117
42.846676 -0.029 14.7871
43.212887 -0.029 14.6645
43.579098 -0.029 14.5441
43.945309 -0.029 14.4257
44.311520 -0.029 14.3092
44.677730 -0.029 14.1948
45.043941 -0.029 14.0822
45.410152 -0.029 13.9714
45.776363 -0.029 13.8625
46.142574 -0.029 13.7553
46.508785 -0.029 13.6498
46.874996 -0.029 13.5460
47.241207 -0.029 13.4438
47.607418 -0.029 13.3432
47.973629 -0.029 13.2442
48.339840 -0.029 13.1467
48.706050 -0.029 13.0507
49.072261 -0.029 12.9561
49.438472 -0.029 12.8630
49.804683 -0.029 12.7712
50.170894 -0.029 12.6808
50.537105 -0.029 12.5917
50.903316 -0.029 12.5040
51.269527 -0.029 12.4175
51.635738 -0.029 12.3322
52.001949 -0.029 12.2482
52.368160 -0.029 12.1653
52.734370 -0.029 12.0837
53.100581 -0.029 12.0031
53.466792 -0.029 11.9237
53.833003 -0.029 11.8454
54.199214 -0.029 11.7681
54.565425 -0.029 11.6919
54.931636 -0.029 11.6167
55.297847 -0.029 11.5426
55.664058 -0.029 11.4694
56.030269 -0.029 11.3972
56.396480 -0.029 11.3259
56.762690 -0.028 11.2556
57.128901 -0.028 11.1862
57.495112 -0.028 11.1177
57.861323 -0.028 11.0500
58.227534 -0.028 10.9833
58.593745 -0.028 10.9173
58.959956 -0.028 10.8522
59.326167 -0.028 10.7880
59.692378 -0.028 10.7245
60.058589 -0.028 10.6618
60.424800 -0.028 10.5999
60.791010 -0.028 10.5387
61.157221 -0.028 10.4783
61.523432 -0.028 10.4187
61.889643 -0.028 10.3597
62.255854 -0.028 10.3014
62.622065 -0.028 10.2439
62.988276 -0.028 10.1870
63.354487 -0.028 10.1308
63.720698 -0.028 10.0753
64.086909 -0.028 10.0204
64.453119 -0.028 9.9661
64.819330 -0.028 9.9125
65.185541 -0.027 9.8594
65.551752 -0.027 9.8070
65.917963 -0.027 9.7552
66.284174 -0.027 9.7040
66.650385 -0.027 9.6533
67.016596 -0.027 9.6032
67.382807 -0.027 9.5536
67.749018 -0.027 9.5046
68.115229 -0.027 9.4562
68.481439 -0.027 9.4083
68.847650 -0.027 9.3608
69.213861 -0.027 9.3139
69.580072 -0.027 9.2676
69.946283 -0.027 9.2217
70.312494 -0.027 9.1762
70.678705 -0.027 9.1313
71.044916 -0.027 9.0869
71.411127 -0.027 9.0429
71.777338 -0.027 8.9994
72.143549 -0.027 8.9563
72.509759 -0.027 8.9136
72.875970 -0.026 8.8714
73.242181 -0.026 8.8297
73.608392 -0.026 8.7883
73.974603 -0.026 8.7474
74.340814 -0.026 8.7069
74.707025 -0.026 8.6668
75.073236 -0.026 8.6271
75.439447 -0.026 8.5878
75.805658 -0.026 8.5489
76.171869 -0.026 8.5104
76.538079 -0.026 8.4722
76.904290 -0.026 8.4344
77.270501 -0.026 8.3970
77.636712 -0.026 8.3600
78.002923 -0.026 8.3233
78.369134 -0.026 8.2869
78.735345 -0.026 8.2509
79.101556 -0.026 8.2153
79.467767 -0.026 8.1800
79.833978 -0.026 8.1450
80.200189 -0.026 8.1103
80.566399 -0.025 8.0760
80.932610 -0.025 8.0420
81.298821 -0.025 8.0083
81.665032 -0.025 7.9749
82.031243 -0.025 7.9418
82.397454 -0.025 7.9091
82.763665 -0.025 7.8766
83.129876 -0.025 7.8444
83.496087 -0.025 7.8125
83.862298 -0.025 7.7809
84.228509 -0.025 7.7496
84.594719 -0.025 7.7186
84.960930 -0.025 7.6879
85.327141 -0.025 7.6574
85.693352 -0.025 7.6272
86.059563 -0.025 7.5972
86.425774 -0.025 7.5676
86.791985 -0.025 7.5382
87.158196 -0.025 7.5090
87.524407 -0.025 7.4801
87.890618 -0.025 7.4515
88.256828 -0.025 7.4231
88.623039 -0.024 7.3949
88.989250 -0.024 7.3671
89.355461 -0.024 7.3394
89.721672 -0.024 7.3120
90.087883 -0.024 7.2848
90.454094 -0.024 7.2579
90.820305 -0.024 7.2312
91.186516 -0.024 7.2047
91.552727 -0.024 7.1784
91.918938 -0.024 7.1524
92.285148 -0.024 7.1266
92.651359 -0.024 7.1010
93.017570 -0.024 7.0757
93.383781 -0.024 7.0505
93.749992 -0.024 7.0256
94.116203 -0.024 7.0009
94.482414 -0.024 6.9764
94.848625 -0.024 6.9521
95.214836 -0.024 6.9280
95.581047 -0.024 6.9041
95.947258 -0.024 6.8804
96.313468 -0.024 6.8569
96.679679 -0.024 6.8337
97.045890 -0.023 6.8106
97.412101 -0.023 6.7877
97.778312 -0.023 6.7650
98.144523 -0.023 6.7425
98.510734 -0.023 6.7202
98.876945 -0.023 6.6981
99.243156 -0.023 6.6761
99.609367 -0.023 6.6544
99.975578 -0.023 6.6328
100.341788 -0.023 6.6114
100.707999 -0.023 6.5902
101.074210 -0.023 6.5691
101.440421 -0.023 6.5481
101.806632 -0.023 6.5272
102.172843 -0.023 6.5065
102.539054 -0.023 6.4859
102.905265 -0.023 6.4655
103.271476 -0.023 6.4451
103.637687 -0.023 6.4250
104.003898 -0.023 6.4049
104.370108 -0.023 6.3850
104.736319 -0.023 6.3651
105.102530 -0.023 6.3455
105.468741 -0.023 6.3259
105.834952 -0.023 6.3065
106.201163 -0.022 6.2872
106.567374 -0.022 6.2680
106.933585 -0.022 6.2490
107.299796 -0.022 6.2300
107.666007 -0.022 6.2112
108.032218 -0.022 6.1926
108.398428 -0.022 6.1740
108.764639 -0.022 6.1556
109.130850 -0.022 6.1373
109.497061 -0.022 6.1191
109.863272 -0.022 6.1010
110.229483 -0.022 6.0830
110.595694 -0.022 6.0652
110.961905 -0.022 6.0475
111.328116 -0.022 6.0299
111.694327 -0.022 6.0124
112.060537 -0.022 5.9950
112.426748 -0.022 5.9778
112.792959 -0.022 5.9606
113.159170 -0.022 5.9436
113.525381 -0.022 5.9267
113.891592 -0.022 5.9099
114.257803 -0.022 5.8932
114.624014 -0.022 5.8766
114.990225 -0.022 5.8601
115.356436 -0.021 5.8437
115.722647 -0.021 5.8274
116.088857 -0.021 5.8113
116.455068 -0.021 5.7952
116.821279 -0.021 5.7793
117.187490 -0.021 5.7634
117.553701 -0.021 5.7477
117.919912 -0.021 5.7320
118.286123 -0.021 5.7165
118.652334 -0.021 5.7010
119.018545 -0.021 5.6857
119.384756 -0.021 5.6704
119.750967 -0.021 5.6553
120.117177 -0.021 5.6402
120.483388 -0.021 5.6253
120.849599 -0.021 5.6104
121.215810 -0.021 5.5957
121.582021 -0.021 5.5810
121.948232 -0.021 5.5664
122.314443 -0.021 5.5519
122.680654 -0.021 5.5375
123.046865 -0.021 5.5232
123.413076 -0.021 5.5090
123.779287 -0.021 5.4949
124.145497 -0.021 5.4808
124.511708 -0.021 5.4669
124.877919 -0.021 5.4530
125.244130 -0.020 5.4393
125.610341 -0.020 5.4256
125.976552 -0.020 5.4120
126.342763 -0.020 5.3984
126.708974 -0.020 5.3850
127.075185 -0.020 5.3716
127.441396 -0.020 5.3584
127.807607 -0.020 5.3452
128.173817 -0.020 5.3321
128.540028 -0.020 5.3190
128.906239 -0.020 5.3061
129.272450 -0.020 5.2932
129.638661 -0.020 5.2804
130.004872 -0.020 5.2677
130.371083 -0.020 5.2551
130.737294 -0.020 5.2425
131.103505 -0.020 5.2300
131.469716 -0.020 5.2176
131.835927 -0.020 5.2053
132.202137 -0.020 5.1930
132.568348 -0.020 5.1808
132.934559 -0.020 5.1687
133.300770 -0.020 5.1567
133.666981 -0.020 5.1447
134.033192 -0.020 5.1328
134.399403 -0.020 5.1210
134.765614 -0.020 5.1092
135.131825 -0.020 5.0975
135.498036 -0.020 5.0859
135.864246 -0.019 5.0743
136.230457 -0.019 5.0628
136.596668 -0.019 5.0514
136.962879 -0.019 5.0400
137.329090 -0.019 5.0288
137.695301 -0.019 5.0175
138.061512 -0.019 5.0064
138.427723 -0.019 4.9953
138.793934 -0.019 4.9843
139.160145 -0.019 4.9733
139.526356 -0.019 4.9624
139.892566 -0.019 4.9515
140.258777 -0.019 4.9408
140.624988 -0.019 4.9300
140.991199 -0.019 4.9194
141.357410 -0.019 4.9088
141.723621 -0.019 4.8983
142.089832 -0.019 4.8878
142.456043 -0.019 4.8774
142.822254 -0.019 4.8670
143.188465 -0.019 4.8567
143.554676 -0.019 4.8465
143.920886 -0.019 4.8363
144.287097 -0.019 4.8261
144.653308 -0.019 4.8161
145.019519 -0.019 4.8061
145.385730 -0.019 4.7961
145.751941 -0.019 4.7862
146.118152 -0.019 4.7763
146.484363 -0.019 4.7666
146.850574 -0.019 4.7568
147.216785 -0.018 4.7471
147.582996 -0.018 4.7375
147.949206 -0.018 4.7279
148.315417 -0.018 4.7184
148.681628 -0.018 4.7089
149.047839 -0.018 4.6995
149.414050 -0.018 4.6901
149.780261 -0.018 4.6808
150.146472 -0.018 4.6715
150.512683 -0.018 4.6623
150.878894 -0.018 4.6531
151.245105 -0.018 4.6440
151.611316 -0.018 4.6349
151.977526 -0.018 4.6259
152.343737 -0.018 4.6169
152.709948 -0.018 4.6080
153.076159 -0.018 4.5991
153.442370 -0.018 4.5903
153.808581 -0.018 4.5815
154.174792 -0.018 4.5728
154.541003 -0.018 4.5641
154.907214 -0.018 4.5554
155.273425 -0.018 4.5468
155.639636 -0.018 4.5383
156.005846 -0.018 4.5297
156.372057 -0.018 4.5213
156.738268 -0.018 4.5129
157.104479 -0.018 4.5045
157.470690 -0.018 4.4961
157.836901 -0.018 4.4879
158.203112 -0.018 4.4796
158.569323 -0.018 4.4714
158.935534 -0.018 4.4632
159.301745 -0.018 4.4551
159.667955 -0.017 4.4470
160.034166 -0.017 4.4390
160.400377 -0.017 4.4310
160.766588 -0.017 4.4230
161.132799 -0.017 4.4151
161.499010 -0.017 4.4073
161.865221 -0.017 4.3994
162.231432 -0.017 4.3916
162.597643 -0.017 4.3839
162.963854 -0.017 4.3762
