* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Oct 20, 2023 7:32:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Vector average of VSP-2+12DB 九月 11, VSP-2+18DB 九月 11, VSP-2+24DB 九月 11, VSP-2+30DB 九月 11, VSP-2+36DB 九月 11, VSP-2+48DB 九月 11, VSP-2+42DB 九月 11
* Measurement: Vector average
* Smoothing: Psychoacoustic
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141600 -0.033 30.5332
20.507811 -0.033 29.9782
20.874021 -0.033 29.4437
21.240232 -0.033 28.9286
21.606443 -0.033 28.4318
21.972654 -0.033 27.9524
22.338865 -0.033 27.4894
22.705076 -0.033 27.0420
23.071287 -0.033 26.6093
23.437498 -0.033 26.1905
23.803709 -0.034 25.7850
24.169920 -0.034 25.3922
24.536131 -0.034 25.0113
24.902341 -0.034 24.6419
25.268552 -0.034 24.2834
25.634763 -0.034 23.9354
26.000974 -0.035 23.5974
26.367185 -0.035 23.2689
26.733396 -0.035 22.9496
27.099607 -0.035 22.6392
27.465818 -0.035 22.3372
27.832029 -0.035 22.0432
28.198240 -0.035 21.7571
28.564451 -0.035 21.4785
28.930661 -0.035 21.2072
29.296872 -0.035 20.9427
29.663083 -0.035 20.6851
30.029294 -0.035 20.4338
30.395505 -0.035 20.1887
30.761716 -0.035 19.9497
31.127927 -0.035 19.7164
31.494138 -0.035 19.4886
31.860349 -0.035 19.2662
32.226560 -0.035 19.0490
32.592771 -0.035 18.8367
32.958981 -0.035 18.6293
33.325192 -0.035 18.4264
33.691403 -0.035 18.2280
34.057614 -0.035 18.0341
34.423825 -0.035 17.8442
34.790036 -0.035 17.6583
35.156247 -0.035 17.4764
35.522458 -0.035 17.2983
35.888669 -0.035 17.1239
36.254880 -0.035 16.9530
36.621091 -0.035 16.7856
36.987301 -0.035 16.6216
37.353512 -0.035 16.4608
37.719723 -0.035 16.3031
38.085934 -0.035 16.1486
38.452145 -0.035 15.9969
38.818356 -0.035 15.8483
39.184567 -0.035 15.7024
39.550778 -0.035 15.5593
39.916989 -0.035 15.4188
40.283200 -0.035 15.2809
40.649410 -0.035 15.1456
41.015621 -0.035 15.0127
41.381832 -0.035 14.8821
41.748043 -0.035 14.7539
42.114254 -0.035 14.6281
42.480465 -0.035 14.5043
42.846676 -0.034 14.3827
43.212887 -0.034 14.2632
43.579098 -0.034 14.1458
43.945309 -0.034 14.0303
44.311520 -0.034 13.9167
44.677730 -0.034 13.8051
45.043941 -0.034 13.6952
45.410152 -0.034 13.5872
45.776363 -0.034 13.4808
46.142574 -0.034 13.3762
46.508785 -0.034 13.2733
46.874996 -0.034 13.1720
47.241207 -0.034 13.0723
47.607418 -0.034 12.9741
47.973629 -0.034 12.8774
48.339840 -0.034 12.7823
48.706050 -0.033 12.6886
49.072261 -0.033 12.5963
49.438472 -0.033 12.5054
49.804683 -0.033 12.4158
50.170894 -0.033 12.3275
50.537105 -0.033 12.2405
50.903316 -0.033 12.1548
51.269527 -0.033 12.0704
51.635738 -0.033 11.9872
52.001949 -0.033 11.9052
52.368160 -0.033 11.8242
52.734370 -0.033 11.7445
53.100581 -0.033 11.6658
53.466792 -0.033 11.5883
53.833003 -0.032 11.5118
54.199214 -0.032 11.4364
54.565425 -0.032 11.3619
54.931636 -0.032 11.2886
55.297847 -0.032 11.2162
55.664058 -0.032 11.1447
56.030269 -0.032 11.0742
56.396480 -0.032 11.0046
56.762690 -0.032 10.9359
57.128901 -0.032 10.8681
57.495112 -0.032 10.8011
57.861323 -0.032 10.7351
58.227534 -0.032 10.6699
58.593745 -0.032 10.6055
58.959956 -0.031 10.5420
59.326167 -0.031 10.4792
59.692378 -0.031 10.4172
60.058589 -0.031 10.3560
60.424800 -0.031 10.2954
60.791010 -0.031 10.2357
61.157221 -0.031 10.1767
61.523432 -0.031 10.1184
61.889643 -0.031 10.0608
62.255854 -0.031 10.0039
62.622065 -0.031 9.9477
62.988276 -0.031 9.8921
63.354487 -0.031 9.8372
63.720698 -0.031 9.7830
64.086909 -0.031 9.7292
64.453119 -0.030 9.6763
64.819330 -0.030 9.6238
65.185541 -0.030 9.5720
65.551752 -0.030 9.5208
65.917963 -0.030 9.4701
66.284174 -0.030 9.4200
66.650385 -0.030 9.3705
67.016596 -0.030 9.3215
67.382807 -0.030 9.2730
67.749018 -0.030 9.2251
68.115229 -0.030 9.1777
68.481439 -0.030 9.1309
68.847650 -0.030 9.0845
69.213861 -0.030 9.0386
69.580072 -0.030 8.9932
69.946283 -0.029 8.9483
70.312494 -0.029 8.9039
70.678705 -0.029 8.8599
71.044916 -0.029 8.8164
71.411127 -0.029 8.7734
71.777338 -0.029 8.7308
72.143549 -0.029 8.6887
72.509759 -0.029 8.6470
72.875970 -0.029 8.6057
73.242181 -0.029 8.5648
73.608392 -0.029 8.5243
73.974603 -0.029 8.4843
74.340814 -0.029 8.4446
74.707025 -0.029 8.4054
75.073236 -0.029 8.3665
75.439447 -0.029 8.3280
75.805658 -0.028 8.2899
76.171869 -0.028 8.2522
76.538079 -0.028 8.2148
76.904290 -0.028 8.1779
77.270501 -0.028 8.1412
77.636712 -0.028 8.1049
78.002923 -0.028 8.0690
78.369134 -0.028 8.0334
78.735345 -0.028 7.9982
79.101556 -0.028 7.9633
79.467767 -0.028 7.9286
79.833978 -0.028 7.8944
80.200189 -0.028 7.8605
80.566399 -0.028 7.8268
80.932610 -0.028 7.7935
81.298821 -0.028 7.7605
81.665032 -0.028 7.7278
82.031243 -0.027 7.6953
82.397454 -0.027 7.6632
82.763665 -0.027 7.6314
83.129876 -0.027 7.5999
83.496087 -0.027 7.5686
83.862298 -0.027 7.5377
84.228509 -0.027 7.5070
84.594719 -0.027 7.4766
84.960930 -0.027 7.4464
85.327141 -0.027 7.4165
85.693352 -0.027 7.3870
86.059563 -0.027 7.3575
86.425774 -0.027 7.3285
86.791985 -0.027 7.2997
87.158196 -0.027 7.2711
87.524407 -0.027 7.2428
87.890618 -0.027 7.2147
88.256828 -0.027 7.1869
88.623039 -0.026 7.1593
88.989250 -0.026 7.1320
89.355461 -0.026 7.1049
89.721672 -0.026 7.0779
90.087883 -0.026 7.0513
90.454094 -0.026 7.0249
90.820305 -0.026 6.9987
91.186516 -0.026 6.9727
91.552727 -0.026 6.9470
91.918938 -0.026 6.9214
92.285148 -0.026 6.8961
92.651359 -0.026 6.8710
93.017570 -0.026 6.8462
93.383781 -0.026 6.8215
93.749992 -0.026 6.7971
94.116203 -0.026 6.7728
94.482414 -0.026 6.7488
94.848625 -0.026 6.7250
95.214836 -0.026 6.7013
95.581047 -0.026 6.6779
95.947258 -0.025 6.6547
96.313468 -0.025 6.6316
96.679679 -0.025 6.6088
97.045890 -0.025 6.5862
97.412101 -0.025 6.5637
97.778312 -0.025 6.5414
98.144523 -0.025 6.5193
98.510734 -0.025 6.4974
98.876945 -0.025 6.4757
99.243156 -0.025 6.4542
99.609367 -0.025 6.4328
99.975578 -0.025 6.4116
100.341788 -0.025 6.3906
100.707999 -0.025 6.3698
101.074210 -0.025 6.3490
101.440421 -0.025 6.3284
101.806632 -0.025 6.3079
102.172843 -0.025 6.2876
102.539054 -0.025 6.2673
102.905265 -0.025 6.2472
103.271476 -0.025 6.2272
103.637687 -0.025 6.2074
104.003898 -0.024 6.1877
104.370108 -0.024 6.1681
104.736319 -0.024 6.1486
105.102530 -0.024 6.1293
105.468741 -0.024 6.1100
105.834952 -0.024 6.0909
106.201163 -0.024 6.0720
106.567374 -0.024 6.0531
106.933585 -0.024 6.0344
107.299796 -0.024 6.0157
107.666007 -0.024 5.9973
108.032218 -0.024 5.9789
108.398428 -0.024 5.9606
108.764639 -0.024 5.9425
109.130850 -0.024 5.9244
109.497061 -0.024 5.9066
109.863272 -0.024 5.8888
110.229483 -0.024 5.8711
110.595694 -0.024 5.8535
110.961905 -0.024 5.8361
111.328116 -0.024 5.8187
111.694327 -0.024 5.8015
112.060537 -0.024 5.7844
112.426748 -0.023 5.7673
112.792959 -0.023 5.7504
113.159170 -0.023 5.7336
113.525381 -0.023 5.7169
113.891592 -0.023 5.7004
114.257803 -0.023 5.6839
114.624014 -0.023 5.6675
114.990225 -0.023 5.6512
115.356436 -0.023 5.6351
115.722647 -0.023 5.6190
116.088857 -0.023 5.6031
116.455068 -0.023 5.5873
116.821279 -0.023 5.5715
117.187490 -0.023 5.5558
117.553701 -0.023 5.5403
117.919912 -0.023 5.5249
118.286123 -0.023 5.5095
118.652334 -0.023 5.4943
119.018545 -0.023 5.4791
119.384756 -0.023 5.4640
119.750967 -0.023 5.4491
120.117177 -0.023 5.4342
120.483388 -0.023 5.4194
120.849599 -0.023 5.4048
121.215810 -0.022 5.3901
121.582021 -0.022 5.3757
121.948232 -0.022 5.3613
122.314443 -0.022 5.3469
122.680654 -0.022 5.3328
123.046865 -0.022 5.3186
123.413076 -0.022 5.3046
123.779287 -0.022 5.2906
124.145497 -0.022 5.2767
124.511708 -0.022 5.2629
124.877919 -0.022 5.2492
125.244130 -0.022 5.2356
125.610341 -0.022 5.2220
125.976552 -0.022 5.2086
126.342763 -0.022 5.1952
126.708974 -0.022 5.1819
127.075185 -0.022 5.1687
127.441396 -0.022 5.1556
127.807607 -0.022 5.1425
128.173817 -0.022 5.1295
128.540028 -0.022 5.1166
128.906239 -0.022 5.1038
129.272450 -0.022 5.0911
129.638661 -0.022 5.0784
130.004872 -0.022 5.0659
130.371083 -0.022 5.0533
130.737294 -0.021 5.0409
131.103505 -0.021 5.0286
131.469716 -0.021 5.0162
131.835927 -0.021 5.0040
132.202137 -0.021 4.9919
132.568348 -0.021 4.9799
132.934559 -0.021 4.9679
133.300770 -0.021 4.9559
133.666981 -0.021 4.9441
134.033192 -0.021 4.9323
134.399403 -0.021 4.9205
134.765614 -0.021 4.9089
135.131825 -0.021 4.8973
135.498036 -0.021 4.8857
135.864246 -0.021 4.8743
136.230457 -0.021 4.8629
136.596668 -0.021 4.8516
136.962879 -0.021 4.8403
137.329090 -0.021 4.8292
137.695301 -0.021 4.8180
138.061512 -0.021 4.8069
138.427723 -0.021 4.7959
138.793934 -0.021 4.7850
139.160145 -0.021 4.7741
139.526356 -0.021 4.7633
139.892566 -0.021 4.7526
140.258777 -0.021 4.7418
140.624988 -0.021 4.7312
140.991199 -0.020 4.7206
141.357410 -0.020 4.7101
141.723621 -0.020 4.6997
142.089832 -0.020 4.6893
142.456043 -0.020 4.6790
142.822254 -0.020 4.6686
143.188465 -0.020 4.6584
143.554676 -0.020 4.6483
143.920886 -0.020 4.6382
144.287097 -0.020 4.6281
144.653308 -0.020 4.6180
145.019519 -0.020 4.6082
145.385730 -0.020 4.5983
145.751941 -0.020 4.5884
146.118152 -0.020 4.5786
146.484363 -0.020 4.5688
146.850574 -0.020 4.5592
147.216785 -0.020 4.5496
147.582996 -0.020 4.5400
147.949206 -0.020 4.5305
148.315417 -0.020 4.5210
148.681628 -0.020 4.5116
149.047839 -0.020 4.5022
149.414050 -0.020 4.4929
149.780261 -0.020 4.4836
150.146472 -0.020 4.4744
150.512683 -0.020 4.4652
150.878894 -0.020 4.4561
151.245105 -0.020 4.4470
151.611316 -0.020 4.4380
151.977526 -0.020 4.4290
152.343737 -0.019 4.4200
152.709948 -0.019 4.4112
153.076159 -0.019 4.4023
153.442370 -0.019 4.3936
153.808581 -0.019 4.3848
154.174792 -0.019 4.3761
154.541003 -0.019 4.3674
154.907214 -0.019 4.3588
155.273425 -0.019 4.3502
155.639636 -0.019 4.3417
156.005846 -0.019 4.3333
156.372057 -0.019 4.3248
156.738268 -0.019 4.3164
157.104479 -0.019 4.3081
157.470690 -0.019 4.2998
157.836901 -0.019 4.2915
158.203112 -0.019 4.2833
158.569323 -0.019 4.2751
158.935534 -0.019 4.2670
159.301745 -0.019 4.2589
159.667955 -0.019 4.2508
160.034166 -0.019 4.2428
160.400377 -0.019 4.2348
160.766588 -0.019 4.2269
161.132799 -0.019 4.2190
161.499010 -0.019 4.2111
161.865221 -0.019 4.2032
