* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:17:45 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: 312 （Pad -20）9格
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 112.778 9.43 0.0016 6.11 6.06 2.86 2.19 0.031 0.294 1.03 0.809
20.586 112.784 9.47 0.0026 6.14 6.09 2.87 2.19 0.017 0.307 1.04 0.809
21.189 112.789 9.50 0.0026 6.17 6.11 2.87 2.19 0.010 0.319 1.04 0.809
21.810 112.794 9.54 0.0026 6.20 6.14 2.87 2.19 0.0098 0.331 1.05 0.809
22.449 112.799 9.56 0.0026 6.22 6.16 2.87 2.18 0.016 0.341 1.06 0.808
23.107 112.803 9.59 0.0023 6.24 6.18 2.87 2.18 0.031 0.351 1.06 0.808
23.784 112.808 9.61 0.0023 6.26 6.19 2.87 2.18 0.046 0.360 1.07 0.808
24.481 112.812 9.64 0.0023 6.29 6.20 2.87 2.17 0.058 0.369 1.07 0.807
25.198 112.817 9.66 0.0023 6.31 6.22 2.86 2.17 0.070 0.377 1.07 0.807
25.937 112.821 9.68 0.0024 6.33 6.22 2.86 2.17 0.082 0.385 1.08 0.807
26.697 112.825 9.69 0.0024 6.34 6.23 2.86 2.17 0.092 0.393 1.08 0.806
27.479 112.829 9.70 0.0024 6.35 6.25 2.86 2.16 0.103 0.400 1.08 0.805
28.284 112.832 9.72 0.0025 6.36 6.26 2.86 2.16 0.113 0.408 1.09 0.804
29.113 112.835 9.74 0.0025 6.37 6.27 2.86 2.16 0.122 0.416 1.09 0.804
29.966 112.839 9.75 0.0025 6.38 6.28 2.86 2.16 0.131 0.423 1.10 0.804
30.844 112.842 9.77 0.0025 6.40 6.30 2.86 2.16 0.140 0.430 1.10 0.804
31.748 112.845 9.78 0.0036 6.41 6.31 2.85 2.15 0.148 0.436 1.10 0.804
32.678 112.847 9.80 0.0036 6.42 6.32 2.85 2.15 0.156 0.442 1.10 0.804
33.636 112.850 9.81 0.0036 6.43 6.33 2.85 2.15 0.164 0.448 1.11 0.803
34.621 112.852 9.83 0.0025 6.45 6.34 2.85 2.15 0.170 0.453 1.11 0.803
35.636 112.855 9.84 0.0025 6.46 6.35 2.85 2.15 0.177 0.458 1.11 0.803
36.680 112.857 9.85 0.0021 6.46 6.35 2.85 2.15 0.183 0.463 1.11 0.802
37.755 112.860 9.86 0.0021 6.47 6.36 2.85 2.14 0.190 0.467 1.11 0.801
38.861 112.862 9.86 0.0021 6.48 6.36 2.85 2.14 0.195 0.471 1.12 0.800
40.000 112.864 9.87 0.0025 6.48 6.37 2.85 2.14 0.200 0.474 1.12 0.800
41.172 112.866 9.87 0.0025 6.48 6.37 2.85 2.14 0.204 0.476 1.12 0.799
42.379 112.868 9.88 0.0023 6.49 6.38 2.84 2.14 0.210 0.479 1.12 0.798
43.620 112.870 9.89 0.0023 6.50 6.38 2.84 2.13 0.216 0.482 1.12 0.797
44.898 112.872 9.89 0.0093 6.50 6.39 2.84 2.13 0.222 0.485 1.12 0.796
46.214 112.874 9.90 0.0093 6.51 6.39 2.84 2.13 0.227 0.488 1.12 0.795
47.568 112.877 9.91 0.046 6.51 6.40 2.83 2.13 0.232 0.491 1.12 0.794
48.962 112.879 9.91 0.046 6.52 6.41 2.83 2.13 0.236 0.495 1.12 0.793
50.397 112.879 9.92 0.052 6.52 6.41 2.83 2.12 0.240 0.498 1.12 0.792
51.874 112.880 9.93 0.052 6.53 6.42 2.83 2.12 0.243 0.500 1.13 0.792
53.394 112.882 9.93 0.014 6.53 6.42 2.83 2.12 0.246 0.502 1.13 0.792
54.958 112.884 9.93 0.014 6.53 6.42 2.83 2.12 0.249 0.504 1.13 0.792
56.569 112.885 9.93 0.0025 6.54 6.42 2.83 2.12 0.251 0.505 1.13 0.791
58.226 112.886 9.94 0.0041 6.54 6.43 2.83 2.12 0.252 0.508 1.13 0.790
59.932 112.887 9.95 0.0041 6.55 6.44 2.83 2.12 0.255 0.511 1.13 0.789
61.688 112.888 9.95 0.0022 6.55 6.44 2.83 2.12 0.259 0.515 1.13 0.790
63.496 112.889 9.96 0.0031 6.55 6.44 2.82 2.12 0.261 0.518 1.13 0.789
65.357 112.890 9.96 0.0031 6.56 6.45 2.82 2.11 0.263 0.519 1.13 0.789
67.272 112.891 9.97 0.0019 6.56 6.45 2.82 2.11 0.267 0.522 1.13 0.788
69.243 112.891 9.98 0.0024 6.57 6.46 2.82 2.11 0.269 0.524 1.13 0.787
71.272 112.892 9.99 0.0024 6.58 6.47 2.82 2.11 0.271 0.525 1.13 0.787
73.360 112.892 10.00 0.0029 6.58 6.47 2.83 2.11 0.274 0.528 1.13 0.788
75.510 112.892 10.0 0.0026 6.59 6.48 2.83 2.11 0.276 0.531 1.14 0.789
77.723 112.893 10.0 0.0022 6.60 6.49 2.83 2.11 0.279 0.534 1.14 0.789
80.000 112.893 10.0 0.0022 6.61 6.49 2.83 2.11 0.283 0.536 1.14 0.790
82.344 112.893 10.0 0.0021 6.62 6.50 2.83 2.11 0.287 0.538 1.14 0.791
84.757 112.893 10.0 0.0021 6.63 6.50 2.83 2.11 0.290 0.541 1.15 0.791
87.241 112.893 10.1 0.0023 6.63 6.50 2.84 2.11 0.293 0.543 1.15 0.792
89.797 112.894 10.1 0.0029 6.64 6.50 2.84 2.11 0.295 0.544 1.15 0.792
92.428 112.894 10.1 0.0030 6.64 6.51 2.83 2.11 0.297 0.546 1.15 0.791
95.137 112.895 10.1 0.0024 6.65 6.51 2.83 2.11 0.298 0.547 1.15 0.791
97.924 112.895 10.1 0.0054 6.65 6.51 2.84 2.11 0.300 0.549 1.15 0.790
100.794 112.896 10.1 0.0091 6.65 6.51 2.83 2.10 0.301 0.549 1.15 0.790
103.747 112.897 10.1 0.0028 6.65 6.51 2.83 2.10 0.302 0.549 1.15 0.789
106.787 112.897 10.1 0.0033 6.66 6.51 2.83 2.10 0.304 0.550 1.15 0.789
109.916 112.898 10.1 0.0027 6.66 6.51 2.83 2.10 0.306 0.551 1.15 0.789
113.137 112.899 10.1 0.0028 6.66 6.51 2.83 2.10 0.307 0.551 1.15 0.789
116.452 112.899 10.1 0.0036 6.67 6.51 2.83 2.10 0.309 0.553 1.15 0.789
119.865 112.900 10.1 0.0020 6.67 6.51 2.83 2.10 0.311 0.555 1.15 0.788
123.377 112.901 10.1 0.0026 6.67 6.52 2.83 2.10 0.313 0.558 1.15 0.787
126.992 112.902 10.1 0.0035 6.67 6.53 2.83 2.10 0.314 0.561 1.15 0.786
130.713 112.903 10.1 0.0038 6.68 6.53 2.83 2.10 0.316 0.564 1.15 0.785
