* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:35:23 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 10
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 106.653 0.276 0.0066 0.106 0.248 0.0096 0.056 0.0048 0.016 0.0015 0.0074
20.586 106.660 0.268 0.0074 0.108 0.239 0.0084 0.053 0.0048 0.015 9.4E-4 0.0067
21.189 106.666 0.263 0.0074 0.112 0.231 0.0071 0.051 0.0043 0.014 4.8E-4 0.0063
21.810 106.673 0.257 0.0074 0.115 0.224 0.0061 0.050 0.0036 0.014 3.0E-4 0.0064
22.449 106.679 0.252 0.0074 0.117 0.217 0.0053 0.049 0.0026 0.014 2.3E-4 0.0071
23.107 106.685 0.248 0.0092 0.121 0.210 0.0053 0.048 0.0019 0.014 2.6E-4 0.0078
23.784 106.690 0.247 0.0092 0.128 0.205 0.0066 0.048 0.0015 0.014 5.1E-4 0.0082
24.481 106.696 0.246 0.0092 0.130 0.202 0.0074 0.048 0.0013 0.014 8.6E-4 0.0081
25.198 106.701 0.240 0.0092 0.126 0.198 0.0070 0.048 0.0012 0.013 0.0010 0.0077
25.937 106.706 0.233 0.0073 0.119 0.193 0.0053 0.048 0.0013 0.013 0.0012 0.0073
26.697 106.710 0.224 0.0073 0.111 0.188 0.0032 0.047 0.0014 0.013 0.0012 0.0073
27.479 106.714 0.218 0.0073 0.108 0.183 0.0027 0.046 9.9E-4 0.013 0.0012 0.0075
28.284 106.719 0.213 0.0075 0.107 0.178 0.0029 0.045 5.5E-4 0.013 0.0014 0.0075
29.113 106.724 0.208 0.0075 0.106 0.173 0.0035 0.044 4.8E-4 0.013 0.0019 0.0071
