* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:59:05 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Neve 517 0
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 66.612 0.050 0.021 0.013 0.046 0.0025 0.012 0.0014 0.0061 0.0033 0.0051
20.586 66.606 0.048 0.017 0.014 0.044 0.0026 0.012 0.0017 0.0049 0.0029 0.0043
21.189 66.599 0.048 0.017 0.015 0.044 0.0034 0.011 0.0022 0.0037 0.0028 0.0034
21.810 66.594 0.048 0.017 0.015 0.044 0.0042 0.010 0.0027 0.0033 0.0028 0.0027
22.449 66.588 0.048 0.017 0.014 0.044 0.0049 0.011 0.0034 0.0035 0.0030 0.0021
23.107 66.584 0.046 0.018 0.015 0.041 0.0054 0.011 0.0040 0.0038 0.0029 0.0018
23.784 66.579 0.044 0.019 0.018 0.038 0.0057 0.011 0.0039 0.0043 0.0026 0.0016
24.481 66.575 0.042 0.019 0.021 0.034 0.0055 0.010 0.0032 0.0048 0.0021 0.0015
25.198 66.570 0.041 0.019 0.021 0.033 0.0048 0.0081 0.0028 0.0050 0.0017 0.0015
25.937 66.566 0.039 0.017 0.016 0.034 0.0041 0.0059 0.0027 0.0049 0.0016 0.0019
26.697 66.562 0.039 0.017 0.0096 0.037 0.0034 0.0050 0.0028 0.0043 0.0019 0.0021
27.479 66.557 0.039 0.017 0.0070 0.038 0.0034 0.0051 0.0035 0.0034 0.0026 0.0020
28.284 66.554 0.038 0.016 0.0058 0.036 0.0037 0.0050 0.0051 0.0029 0.0038 0.0016
29.113 66.549 0.035 0.016 0.0054 0.034 0.0037 0.0043 0.0063 0.0027 0.0048 0.0013
29.966 66.546 0.033 0.016 0.0057 0.030 0.0031 0.0042 0.0068 0.0023 0.0054 0.0014
30.844 66.542 0.030 0.016 0.0066 0.027 0.0023 0.0051 0.0065 0.0021 0.0052 0.0024
31.748 66.539 0.028 0.013 0.0045 0.025 0.0034 0.0062 0.0057 0.0021 0.0042 0.0034
32.678 66.537 0.027 0.013 0.0044 0.024 0.0057 0.0068 0.0045 0.0026 0.0037 0.0038
33.636 66.534 0.028 0.013 0.0082 0.024 0.0081 0.0064 0.0032 0.0039 0.0039 0.0039
34.621 66.531 0.029 0.025 0.0096 0.024 0.0091 0.0050 0.0022 0.0049 0.0046 0.0047
35.636 66.528 0.027 0.025 0.0095 0.021 0.0089 0.0034 0.0015 0.0051 0.0050 0.0047
36.680 66.526 0.025 0.021 0.010 0.021 0.0073 0.0035 0.0019 0.0045 0.0047 0.0034
37.755 66.523 0.030 0.021 0.013 0.025 0.0050 0.0052 0.0034 0.0035 0.0039 0.0027
38.861 66.521 0.035 0.021 0.011 0.031 0.0040 0.0059 0.0051 0.0028 0.0029 0.0032
40.000 66.519 0.036 0.019 0.010 0.033 0.0043 0.0049 0.0064 0.0024 0.0030 0.0039
41.172 66.516 0.034 0.019 0.010 0.030 0.0058 0.0034 0.0066 0.0020 0.0038 0.0030
42.379 66.514 0.031 0.017 0.0096 0.027 0.0074 0.0039 0.0056 0.0015 0.0056 0.0023
43.620 66.512 0.025 0.017 0.0073 0.020 0.0080 0.0063 0.0043 0.0014 0.0071 0.0023
44.898 66.510 0.019 0.023 0.0055 0.013 0.0080 0.0077 0.0033 0.0017 0.0053 0.0019
46.214 66.509 0.018 0.023 0.0056 0.013 0.0078 0.0065 0.0031 0.0015 0.0029 0.0015
47.568 66.508 0.016 0.064 0.0068 0.011 0.0069 0.0035 0.0030 0.0017 0.0021 0.0015
48.962 66.508 0.014 0.064 0.0063 0.0098 0.0053 0.0026 0.0033 0.0016 0.0028 0.0016
50.397 66.508 0.017 0.058 0.0083 0.012 0.0052 0.0035 0.0041 0.0011 0.0039 0.0021
51.874 66.505 0.019 0.058 0.0090 0.014 0.0056 0.0031 0.0038 0.0019 0.0041 0.0023
53.394 66.502 0.018 0.024 0.0049 0.015 0.0045 0.0036 0.0030 0.0029 0.0043 0.0023
54.958 66.499 0.022 0.024 0.0056 0.019 0.0030 0.0059 0.0029 0.0028 0.0042 0.0024
56.569 66.497 0.022 0.018 0.0080 0.018 0.0031 0.0061 0.0026 0.0022 0.0035 0.0031
58.226 66.496 0.018 0.011 0.0064 0.014 0.0030 0.0059 0.0026 0.0027 0.0040 0.0032
59.932 66.494 0.016 0.011 0.0038 0.012 0.0048 0.0045 0.0025 0.0032 0.0036 0.0019
