* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:53:50 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: SSL 40
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 111.807 1.08 0.0015 0.433 0.490 0.443 0.396 0.351 0.313 0.289 0.269
20.586 111.800 0.945 0.0013 0.367 0.437 0.394 0.349 0.308 0.273 0.254 0.238
21.189 111.792 0.821 0.0013 0.308 0.385 0.348 0.304 0.267 0.236 0.219 0.208
21.810 111.784 0.704 0.0013 0.257 0.336 0.304 0.261 0.227 0.199 0.184 0.176
22.449 111.776 0.595 0.0013 0.214 0.291 0.261 0.221 0.189 0.164 0.151 0.145
23.107 111.769 0.496 0.0016 0.176 0.250 0.223 0.185 0.155 0.132 0.119 0.115
23.784 111.762 0.410 0.0016 0.141 0.216 0.190 0.154 0.125 0.103 0.090 0.088
24.481 111.755 0.342 0.0016 0.120 0.187 0.163 0.129 0.100 0.078 0.066 0.065
25.198 111.748 0.291 0.0016 0.112 0.163 0.141 0.108 0.079 0.059 0.048 0.046
25.937 111.742 0.251 0.0019 0.104 0.143 0.123 0.092 0.064 0.044 0.033 0.032
26.697 111.735 0.218 0.0019 0.095 0.127 0.108 0.078 0.051 0.032 0.023 0.021
27.479 111.729 0.191 0.0019 0.084 0.114 0.097 0.067 0.041 0.023 0.016 0.013
28.284 111.723 0.170 0.0026 0.072 0.105 0.088 0.058 0.033 0.016 0.012 0.010
29.113 111.717 0.154 0.0026 0.062 0.098 0.081 0.052 0.028 0.011 0.010 0.0095
29.966 111.711 0.143 0.0026 0.053 0.093 0.076 0.048 0.024 0.0084 0.0100 0.010
30.844 111.705 0.134 0.0026 0.044 0.089 0.073 0.046 0.021 0.0067 0.011 0.010
31.748 111.700 0.129 0.0022 0.038 0.087 0.070 0.044 0.019 0.0056 0.012 0.010
32.678 111.694 0.125 0.0022 0.033 0.086 0.069 0.043 0.018 0.0045 0.012 0.0099
33.636 111.689 0.122 0.0023 0.029 0.084 0.068 0.042 0.018 0.0034 0.011 0.0099
34.621 111.685 0.121 0.0018 0.028 0.083 0.068 0.043 0.017 0.0022 0.011 0.0099
35.636 111.680 0.120 0.0018 0.028 0.082 0.067 0.043 0.017 0.0016 0.011 0.0095
36.680 111.676 0.119 0.0018 0.028 0.082 0.066 0.043 0.017 0.0018 0.011 0.0088
37.755 111.672 0.118 0.0018 0.027 0.081 0.066 0.043 0.017 0.0018 0.010 0.0082
38.861 111.668 0.118 0.0018 0.027 0.081 0.066 0.043 0.017 0.0013 0.010 0.0082
40.000 111.665 0.119 0.0023 0.025 0.081 0.068 0.043 0.017 7.8E-4 0.010 0.0090
41.172 111.661 0.119 0.0023 0.024 0.081 0.068 0.042 0.017 8.8E-4 0.010 0.0095
42.379 111.658 0.119 0.0030 0.024 0.081 0.068 0.042 0.018 0.0012 0.0096 0.0095
43.620 111.655 0.119 0.0030 0.023 0.082 0.068 0.043 0.018 0.0015 0.0094 0.0095
44.898 111.652 0.120 0.0080 0.023 0.082 0.068 0.043 0.018 0.0018 0.010 0.0097
46.214 111.650 0.121 0.0080 0.023 0.083 0.068 0.043 0.018 0.0019 0.010 0.0098
47.568 111.648 0.122 0.040 0.023 0.084 0.069 0.044 0.018 0.0018 0.0098 0.0099
48.962 111.648 0.123 0.040 0.023 0.085 0.069 0.045 0.018 0.0022 0.0097 0.0098
50.397 111.646 0.121 0.047 0.023 0.083 0.069 0.045 0.018 0.0023 0.0096 0.0097
51.874 111.643 0.121 0.047 0.023 0.083 0.069 0.044 0.018 0.0016 0.0094 0.0098
53.394 111.639 0.121 0.013 0.022 0.084 0.069 0.043 0.018 7.7E-4 0.0091 0.0100
54.958 111.637 0.122 0.013 0.022 0.085 0.070 0.043 0.018 4.1E-4 0.0088 0.010
56.569 111.634 0.123 0.0026 0.021 0.086 0.069 0.042 0.019 5.7E-4 0.0090 0.010
58.226 111.632 0.122 0.0035 0.020 0.087 0.069 0.042 0.019 5.5E-4 0.0093 0.010
59.932 111.631 0.122 0.0035 0.020 0.087 0.069 0.041 0.018 7.9E-4 0.0096 0.010
61.688 111.629 0.121 0.0032 0.019 0.087 0.068 0.041 0.018 0.0011 0.0093 0.011
63.496 111.628 0.121 0.0022 0.018 0.088 0.067 0.041 0.018 0.0014 0.0088 0.010
65.357 111.626 0.122 0.0022 0.017 0.090 0.068 0.040 0.017 0.0014 0.0088 0.0094
67.272 111.625 0.123 0.0020 0.017 0.089 0.069 0.039 0.018 0.0011 0.0090 0.0093
69.243 111.623 0.122 0.0019 0.017 0.089 0.069 0.037 0.019 8.2E-4 0.0093 0.0095
71.272 111.622 0.122 0.0019 0.015 0.090 0.069 0.038 0.019 5.5E-4 0.0098 0.010
73.360 111.621 0.124 0.0023 0.013 0.090 0.069 0.040 0.020 0.0012 0.0099 0.011
75.510 111.620 0.124 0.0020 0.011 0.090 0.070 0.040 0.020 0.0017 0.0095 0.011
77.723 111.619 0.124 0.0012 0.014 0.090 0.070 0.041 0.020 0.0017 0.0090 0.011
80.000 111.618 0.124 0.0016 0.015 0.089 0.070 0.042 0.020 0.0011 0.0088 0.011
82.344 111.617 0.124 0.0020 0.014 0.090 0.069 0.043 0.020 7.8E-4 0.0087 0.011
84.757 111.617 0.124 0.0020 0.014 0.090 0.068 0.044 0.019 0.0010 0.0082 0.011
87.241 111.616 0.121 0.0025 0.013 0.087 0.067 0.045 0.019 0.0012 0.0083 0.010
89.797 111.615 0.121 0.0027 0.012 0.086 0.067 0.045 0.019 0.0012 0.0091 0.0099
92.428 111.615 0.120 0.0024 0.011 0.084 0.068 0.045 0.019 0.0013 0.0092 0.0099
95.137 111.614 0.119 0.0020 0.010 0.082 0.068 0.046 0.018 0.0014 0.0095 0.010
97.924 111.614 0.118 0.0037 0.0096 0.081 0.069 0.045 0.018 0.0010 0.0095 0.011
100.794 111.614 0.117 0.0078 0.0086 0.079 0.068 0.045 0.018 9.5E-4 0.0097 0.011
