* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:32:29 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 0
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 81.464 1.43 0.0100 0.830 1.12 0.161 0.187 0.059 0.147 0.053 0.096
20.586 81.477 1.40 0.0100 0.817 1.10 0.154 0.187 0.057 0.142 0.050 0.092
21.189 81.488 1.38 0.0099 0.806 1.08 0.147 0.185 0.056 0.136 0.047 0.088
21.810 81.501 1.36 0.0099 0.794 1.06 0.139 0.185 0.052 0.132 0.044 0.084
22.449 81.513 1.34 0.0099 0.784 1.04 0.132 0.185 0.049 0.127 0.041 0.081
23.107 81.526 1.32 0.0085 0.776 1.03 0.125 0.187 0.044 0.123 0.038 0.078
23.784 81.538 1.30 0.0084 0.773 1.01 0.119 0.191 0.041 0.119 0.036 0.075
24.481 81.549 1.28 0.0084 0.762 0.998 0.113 0.195 0.037 0.116 0.033 0.071
25.198 81.560 1.26 0.0084 0.741 0.982 0.107 0.198 0.034 0.112 0.031 0.068
25.937 81.571 1.23 0.016 0.719 0.967 0.101 0.200 0.032 0.109 0.029 0.065
26.697 81.581 1.21 0.016 0.697 0.955 0.094 0.199 0.030 0.106 0.027 0.062
27.479 81.591 1.19 0.016 0.682 0.942 0.088 0.198 0.029 0.103 0.026 0.058
28.284 81.602 1.17 0.016 0.670 0.928 0.082 0.198 0.028 0.100 0.024 0.056
29.113 81.612 1.15 0.016 0.658 0.916 0.076 0.197 0.027 0.097 0.021 0.054
29.966 81.622 1.14 0.016 0.645 0.906 0.069 0.197 0.025 0.094 0.018 0.052
30.844 81.632 1.12 0.016 0.632 0.895 0.063 0.198 0.023 0.092 0.015 0.049
31.748 81.641 1.10 0.013 0.622 0.880 0.059 0.198 0.019 0.089 0.014 0.046
32.678 81.650 1.08 0.013 0.608 0.862 0.055 0.198 0.017 0.088 0.014 0.043
33.636 81.659 1.06 0.013 0.589 0.847 0.051 0.197 0.015 0.086 0.013 0.042
34.621 81.667 1.04 0.018 0.572 0.837 0.049 0.196 0.013 0.085 0.011 0.041
35.636 81.675 1.02 0.018 0.556 0.826 0.048 0.196 0.012 0.084 0.0093 0.041
36.680 81.682 1.00 0.012 0.540 0.814 0.047 0.194 0.0089 0.083 0.0081 0.041
37.755 81.689 0.982 0.012 0.525 0.802 0.044 0.191 0.0064 0.081 0.0080 0.040
38.861 81.697 0.962 0.012 0.505 0.790 0.041 0.191 0.0056 0.079 0.0080 0.037
40.000 81.705 0.943 0.0089 0.487 0.779 0.040 0.192 0.0049 0.077 0.0080 0.035
41.172 81.713 0.925 0.0089 0.470 0.768 0.038 0.192 0.0042 0.076 0.0084 0.033
42.379 81.720 0.906 0.019 0.453 0.756 0.035 0.189 0.0046 0.074 0.0085 0.032
43.620 81.727 0.887 0.019 0.436 0.745 0.033 0.188 0.0049 0.072 0.0072 0.031
44.898 81.733 0.870 0.024 0.419 0.735 0.031 0.186 0.0045 0.070 0.0048 0.030
46.214 81.739 0.851 0.024 0.399 0.724 0.029 0.185 0.0032 0.068 0.0034 0.027
47.568 81.745 0.829 0.033 0.377 0.711 0.027 0.184 0.0027 0.067 0.0032 0.024
48.962 81.751 0.812 0.033 0.358 0.701 0.025 0.184 0.0028 0.064 0.0032 0.022
50.397 81.756 0.799 0.035 0.350 0.692 0.023 0.183 0.0028 0.061 0.0037 0.022
51.874 81.765 0.784 0.035 0.343 0.678 0.022 0.178 0.0025 0.060 0.0033 0.022
53.394 81.772 0.768 0.017 0.333 0.667 0.020 0.174 0.0026 0.060 0.0022 0.021
54.958 81.778 0.754 0.017 0.322 0.656 0.019 0.172 0.0029 0.059 0.0017 0.020
56.569 81.784 0.740 0.016 0.305 0.649 0.018 0.170 0.0025 0.057 0.0022 0.021
58.226 81.790 0.727 0.016 0.293 0.642 0.018 0.167 0.0022 0.055 0.0025 0.021
59.932 81.796 0.715 0.016 0.284 0.632 0.018 0.164 0.0021 0.054 0.0022 0.019
61.688 81.801 0.701 0.021 0.271 0.623 0.019 0.162 0.0023 0.053 0.0032 0.018
63.496 81.806 0.687 0.019 0.261 0.613 0.020 0.160 0.0027 0.051 0.0045 0.018
65.357 81.811 0.673 0.019 0.248 0.604 0.018 0.156 0.0029 0.049 0.0036 0.017
67.272 81.816 0.662 0.016 0.238 0.596 0.015 0.153 0.0021 0.048 0.0030 0.015
69.243 81.821 0.651 0.015 0.227 0.590 0.014 0.150 0.0013 0.046 0.0036 0.017
71.272 81.826 0.637 0.015 0.215 0.580 0.014 0.145 0.0016 0.043 0.0033 0.015
73.360 81.830 0.625 0.019 0.204 0.572 0.015 0.141 0.0025 0.041 0.0033 0.014
75.510 81.835 0.619 0.018 0.196 0.568 0.013 0.139 0.0034 0.041 0.0030 0.013
77.723 81.839 0.608 0.019 0.187 0.561 0.010 0.136 0.0032 0.040 0.0026 0.012
80.000 81.844 0.597 0.024 0.176 0.553 0.0080 0.134 0.0041 0.039 0.0028 0.011
82.344 81.849 0.586 0.013 0.167 0.544 0.0077 0.132 0.0042 0.036 0.0035 0.010
84.757 81.853 0.578 0.013 0.157 0.539 0.0088 0.132 0.0039 0.035 0.0040 0.0080
87.241 81.858 0.570 0.016 0.147 0.533 0.0095 0.131 0.0017 0.035 0.0031 0.0073
89.797 81.862 0.562 0.017 0.137 0.528 0.0067 0.129 0.0017 0.035 0.0034 0.0089
92.428 81.866 0.552 0.0099 0.129 0.521 0.0051 0.125 0.0019 0.033 0.0035 0.0085
95.137 81.870 0.541 0.015 0.120 0.513 0.0053 0.121 0.0029 0.029 0.0031 0.0074
97.924 81.874 0.534 0.028 0.116 0.507 0.0047 0.118 0.0032 0.027 0.0028 0.0057
100.794 81.877 0.529 0.035 0.111 0.503 0.0058 0.114 0.0036 0.027 0.0015 0.0061
103.747 81.881 0.525 0.0089 0.107 0.501 0.0069 0.111 0.0027 0.027 0.0020 0.0054
106.787 81.885 0.520 0.016 0.105 0.496 0.0053 0.111 0.0018 0.024 0.0015 0.0050
109.916 81.888 0.515 0.019 0.102 0.493 0.0060 0.108 0.0012 0.024 0.0029 0.0047
113.137 81.891 0.505 0.011 0.093 0.486 0.0078 0.102 0.0025 0.022 0.0031 0.0039
116.452 81.895 0.495 0.012 0.085 0.477 0.0070 0.097 0.0035 0.021 0.0025 0.0057
119.865 81.898 0.487 0.014 0.076 0.472 0.0066 0.094 0.0029 0.021 0.0032 0.0061
123.377 81.902 0.482 0.013 0.063 0.468 0.0051 0.091 0.0025 0.017 0.0046 0.0047
126.992 81.905 0.474 0.015 0.052 0.463 0.0050 0.087 0.0023 0.014 0.0047 0.0048
130.713 81.908 0.472 0.013 0.047 0.462 0.0062 0.085 0.0035 0.013 0.0036 0.0047
134.543 81.912 0.470 0.014 0.047 0.459 0.0069 0.085 0.0040 0.012 0.0021 0.0038
138.486 81.915 0.461 0.011 0.048 0.451 0.0070 0.082 0.0022 0.010 0.0030 0.0028
142.544 81.918 0.454 0.020 0.040 0.445 0.0079 0.079 0.0016 0.010 0.0027 0.0023
146.721 81.922 0.450 0.020 0.039 0.441 0.0084 0.076 0.0018 0.0096 0.0025 0.0018
151.020 81.925 0.446 0.023 0.039 0.438 0.0052 0.073 0.0019 0.011 0.0018 0.0033
155.445 81.928 0.440 0.011 0.039 0.432 0.0027 0.072 0.0022 0.010 0.0032 0.0034
160.000 81.931 0.433 0.013 0.039 0.426 0.0025 0.067 0.0014 0.0075 0.0026 0.0041
164.688 81.934 0.427 0.0093 0.041 0.421 0.0025 0.064 0.0014 0.0075 0.0021 0.0038
169.514 81.937 0.421 0.014 0.034 0.416 0.0046 0.058 0.0022 0.0075 0.0051 0.0033
174.481 81.940 0.412 0.010 0.031 0.407 0.0039 0.056 0.0020 0.0049 0.0052 0.0040
179.594 81.943 0.403 0.011 0.029 0.398 0.0052 0.052 0.0021 0.0040 0.0040 0.0053
184.856 81.946 0.395 0.012 0.028 0.391 0.0037 0.051 0.0030 0.0049 0.0036 0.0026
190.273 81.949 0.389 0.015 0.023 0.385 0.0026 0.050 0.0042 0.0066 0.0040 0.0030
195.849 81.952 0.387 0.0089 0.022 0.383 0.0029 0.048 0.0040 0.0059 0.0039 0.0039
201.587 81.955 0.378 0.017 0.020 0.375 0.0029 0.044 0.0040 0.0059 0.0058 0.0055
207.494 81.958 0.374 0.0072 0.016 0.370 0.0025 0.043 0.0041 0.0055 0.0064 0.0061
213.574 81.962 0.365 0.011 0.015 0.362 0.0024 0.041 0.0025 0.0047 0.0052 0.0057
219.833 81.965 0.357 0.011 0.020 0.355 0.0026 0.036 0.0026 0.0049 0.0041 0.0043
226.274 81.968 0.350 0.011 0.016 0.348 0.0038 0.034 0.0018 0.0041 0.0037 0.0042
232.905 81.971 0.339 0.012 0.012 0.338 0.0040 0.030 0.0039 0.0073 0.0042 0.0032
239.729 81.974 0.335 0.010 0.015 0.334 0.0046 0.025 0.0059 0.0073 0.0049 0.0044
246.754 81.977 0.330 0.019 0.017 0.328 0.0048 0.019 0.0067 0.0061 0.0037 0.0042
253.984 81.980 0.318 0.020 0.014 0.317 0.0049 0.018 0.0049 0.0038 0.0048 0.0050
261.426 81.983 0.312 0.0066 0.0085 0.311 0.0026 0.018 0.0043 0.0043 0.0052 0.0069
269.087 81.987 0.304 0.013 0.0100 0.303 0.0035 0.019 0.0066 0.0050 0.0049 0.0039
276.972 81.990 0.298 0.010 0.010 0.297 0.0050 0.016 0.0097 0.0043 0.0029 0.0036
285.088 81.993 0.286 0.013 0.012 0.285 0.0058 0.014 0.0063 0.0048 0.0036 0.0049
293.441 81.997 0.278 0.012 0.014 0.277 0.0059 0.015 0.0060 0.0055 0.0047 0.0042
302.040 82.000 0.269 0.0093 0.011 0.269 0.0038 0.012 0.0051 0.0033 0.0054 0.0049
310.890 82.004 0.259 0.014 0.0092 0.258 0.0042 0.011 0.0044 0.0051 0.0042 0.0053
320.000 82.007 0.251 0.012 0.011 0.250 0.0042 0.010 0.0046 0.0044 0.0065 0.0062
329.377 82.011 0.241 0.011 0.014 0.240 0.0051 0.0086 0.0040 0.0040 0.0050 0.0059
339.028 82.015 0.231 0.0078 0.018 0.230 0.0044 0.0070 0.0039 0.0045 0.0048 0.0047
348.962 82.019 0.223 0.020 0.013 0.223 0.0046 0.0086 0.0038 0.0050 0.0043 0.0052
359.188 82.023 0.214 0.0096 0.011 0.214 0.0044 0.0065 0.0038 0.0046 0.0052 0.0046
369.713 82.027 0.204 0.012 0.0097 0.204 0.0048 0.0042 0.0049 0.0039 0.0054 0.0059
380.546 82.031 0.196 0.017 0.0099 0.196 0.0046 0.0046 0.0051 0.0038 0.0059 0.0057
391.697 82.035 0.186 0.014 0.011 0.185 0.0054 0.0077 0.0061 0.0041 0.0043 0.0060
403.175 82.039 0.176 0.0074 0.0094 0.175 0.0042 0.0083 0.0052 0.0047 0.0057 0.0045
414.989 82.043 0.170 0.0074 0.0071 0.169 0.0059 0.0077 0.0037 0.0060 0.0044 0.0052
427.149 82.047 0.164 0.012 0.0050 0.163 0.0057 0.0049 0.0053 0.0067 0.0052 0.0055
439.665 82.051 0.154 0.0078 0.0052 0.153 0.0039 0.0059 0.0055 0.0054 0.0050 0.0047
452.548 82.055 0.140 0.0081 0.0057 0.139 0.0048 0.0063 0.0055 0.0054 0.0047 0.0055
465.809 82.059 0.131 0.021 0.0071 0.130 0.0042 0.0067 0.0071 0.0058 0.0048 0.0050
479.458 82.064 0.123 0.011 0.0092 0.122 0.0052 0.0073 0.0047 0.0057 0.0043 0.0074
493.507 82.068 0.113 0.0090 0.0086 0.112 0.0067 0.0061 0.0037 0.0047 0.0053 0.0066
507.968 82.072 0.106 0.014 0.0084 0.105 0.0043 0.0055 0.0033 0.0036 0.0059 0.0074
522.853 82.076 0.100 0.015 0.0070 0.098 0.0061 0.0065 0.0048 0.0058 0.0069 0.0075
538.174 82.080 0.091 0.012 0.0068 0.089 0.0065 0.0066 0.0053 0.0057 0.0052 0.0076
553.943 82.084 0.082 0.017 0.0079 0.080 0.0058 0.0061 0.0048 0.0056 0.0058 0.0063
570.175 82.088 0.077 0.016 0.0064 0.075 0.0067 0.0070 0.0071 0.0054 0.0065 0.0066
586.883 82.092 0.073 0.011 0.0061 0.071 0.0047 0.0053 0.0056 0.0061 0.0056 0.0069
604.080 82.096 0.067 0.0098 0.0072 0.064 0.0049 0.0064 0.0053 0.0074 0.0070 0.0067
621.780 82.099 0.061 0.018 0.0059 0.058 0.0059 0.0077 0.0075 0.0079 0.0087 0.0069
640.000 82.103 0.056 0.011 0.0062 0.052 0.0088 0.0082 0.0090 0.0074 0.0072 0.0085
658.753 82.106 0.053 0.022 0.0075 0.049 0.011 0.0070 0.0083 0.0064 0.0058 0.0057
678.056 82.110 0.052 0.015 0.0061 0.049 0.0069 0.0069 0.0079 0.0056 0.0057 0.0071
697.925 82.113 0.045 0.014 0.0065 0.041 0.0081 0.0058 0.0068 0.0064 0.0075 0.0047
718.376 82.115 0.040 0.014 0.0075 0.036 0.0080 0.0062 0.0040 0.0043 0.0069 0.0065
739.426 82.118 0.035 0.014 0.0076 0.029 0.0082 0.0057 0.0069 0.0057 0.0098 0.0084
761.093 82.121 0.032 0.015 0.0078 0.025 0.0087 0.0065 0.0069 0.0074 0.0083 0.0090
783.394 82.123 0.030 0.014 0.0085 0.023 0.0066 0.0071 0.0074 0.0069 0.0072 0.0073
806.349 82.125 0.033 0.019 0.011 0.025 0.0059 0.0090 0.0069 0.0092 0.0069 0.0095
829.977 82.127 0.030 0.020 0.0090 0.021 0.0075 0.0096 0.0076 0.0072 0.0063 0.0081
854.297 82.130 0.027 0.018 0.0086 0.018 0.0084 0.0076 0.0069 0.0064 0.0084 0.0075
879.330 82.132 0.027 0.022 0.0080 0.016 0.0079 0.0083 0.0077 0.0066 0.0092 0.0076
905.097 82.134 0.025 0.012 0.0077 0.016 0.0063 0.0079 0.0065 0.0055 0.0088 0.0083
