* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:55:49 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Voxbox 40
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 88.054 0.022 0.0060 0.0031 0.021 0.0019 0.0030 4.0E-4 0.0022 0.0011 0.0019
20.586 88.051 0.022 0.0041 0.0028 0.022 0.0019 0.0035 5.3E-4 0.0027 9.1E-4 0.0021
21.189 88.048 0.023 0.0041 0.0034 0.022 0.0021 0.0037 8.2E-4 0.0029 7.0E-4 0.0023
21.810 88.046 0.024 0.0041 0.0047 0.023 0.0022 0.0036 0.0011 0.0027 5.7E-4 0.0023
22.449 88.043 0.024 0.0042 0.0074 0.023 0.0023 0.0032 0.0015 0.0020 4.7E-4 0.0023
23.107 88.040 0.026 0.0040 0.012 0.022 0.0022 0.0026 0.0018 0.0016 4.0E-4 0.0022
23.784 88.038 0.032 0.0040 0.022 0.022 0.0017 0.0021 0.0023 0.0015 3.4E-4 0.0021
24.481 88.036 0.039 0.0040 0.032 0.022 0.0015 0.0016 0.0027 0.0016 3.9E-4 0.0019
25.198 88.033 0.040 0.0040 0.034 0.021 0.0015 0.0012 0.0029 0.0017 6.6E-4 0.0017
25.937 88.031 0.033 0.0045 0.027 0.020 0.0016 8.2E-4 0.0025 0.0017 0.0011 0.0015
26.697 88.029 0.025 0.0045 0.015 0.019 0.0017 5.7E-4 0.0019 0.0015 0.0016 0.0016
27.479 88.027 0.022 0.0045 0.010 0.019 0.0014 6.2E-4 0.0015 0.0012 0.0020 0.0020
28.284 88.025 0.020 0.0071 0.0072 0.018 9.8E-4 9.3E-4 0.0012 8.8E-4 0.0023 0.0019
29.113 88.023 0.018 0.0071 0.0052 0.017 4.8E-4 0.0015 1.0E-3 6.6E-4 0.0027 0.0015
29.966 88.022 0.017 0.0071 0.0035 0.017 3.8E-4 0.0021 9.5E-4 6.5E-4 0.0029 0.0010
30.844 88.020 0.017 0.0071 0.0023 0.017 5.8E-4 0.0023 8.8E-4 7.6E-4 0.0029 0.0015
31.748 88.019 0.017 0.0076 0.0029 0.016 9.1E-4 0.0019 7.9E-4 0.0010 0.0026 0.0019
32.678 88.017 0.016 0.0076 0.0037 0.016 0.0011 0.0015 7.7E-4 0.0013 0.0022 0.0021
33.636 88.016 0.016 0.0076 0.0039 0.015 0.0010 0.0013 8.5E-4 0.0013 0.0018 0.0021
34.621 88.014 0.015 0.0053 0.0040 0.014 0.0017 0.0015 1.0E-3 0.0014 0.0013 0.0022
35.636 88.013 0.013 0.0053 0.0041 0.012 0.0027 0.0013 0.0012 0.0015 0.0012 0.0024
36.680 88.011 0.012 0.0084 0.0040 0.010 0.0034 9.4E-4 0.0013 0.0015 0.0012 0.0026
37.755 88.010 0.012 0.0084 0.0037 0.0100 0.0027 0.0016 0.0012 0.0015 0.0011 0.0025
38.861 88.009 0.011 0.0084 0.0033 0.010 0.0014 0.0023 8.7E-4 0.0015 5.4E-4 0.0020
40.000 88.008 0.011 0.0060 0.0023 0.0095 0.0017 0.0026 0.0010 0.0015 9.3E-4 0.0011
41.172 88.007 0.011 0.0060 0.0019 0.0093 0.0020 0.0023 0.0022 0.0025 0.0016 6.6E-4
42.379 88.006 0.011 0.0084 0.0023 0.0093 0.0020 0.0016 0.0025 0.0036 0.0023 8.0E-4
