* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:52:14 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: SSL 20 Oct 16
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 91.458 0.396 0.011 0.396 0.020 0.013 0.0032 0.0047 0.0019 0.0024 0.0030
20.586 91.391 0.388 0.013 0.386 0.034 0.018 0.0042 0.0055 0.0020 0.0030 0.0037
21.189 91.323 0.360 0.013 0.357 0.038 0.020 0.0050 0.0065 0.0023 0.0038 0.0036
21.810 91.259 0.344 0.013 0.341 0.037 0.020 0.0073 0.0086 0.0033 0.0054 0.0037
22.449 91.199 0.344 0.013 0.341 0.035 0.019 0.014 0.013 0.0062 0.0091 0.0040
23.107 91.141 0.320 0.0087 0.313 0.054 0.022 0.022 0.020 0.012 0.014 0.0049
23.784 91.084 0.275 0.0087 0.258 0.075 0.033 0.030 0.025 0.019 0.017 0.0064
24.481 91.025 0.223 0.0088 0.190 0.091 0.043 0.035 0.029 0.026 0.019 0.0068
25.198 90.964 0.173 0.0088 0.122 0.098 0.046 0.034 0.029 0.030 0.019 0.0064
25.937 90.907 0.152 0.0090 0.099 0.094 0.042 0.031 0.024 0.028 0.017 0.0054
26.697 90.857 0.141 0.0091 0.101 0.082 0.033 0.026 0.018 0.023 0.014 0.0046
27.479 90.821 0.093 0.0091 0.043 0.072 0.024 0.021 0.013 0.017 0.011 0.0040
28.284 90.800 0.071 0.011 0.017 0.061 0.018 0.016 0.0086 0.014 0.0081 0.0042
29.113 90.797 0.068 0.011 0.044 0.045 0.015 0.012 0.0062 0.011 0.0068 0.0046
29.966 90.811 0.114 0.011 0.105 0.038 0.015 0.012 0.0048 0.0097 0.0056 0.0049
30.844 90.841 0.142 0.011 0.131 0.050 0.017 0.015 0.0049 0.0088 0.0046 0.0038
31.748 90.883 0.165 0.0073 0.145 0.071 0.020 0.020 0.0072 0.0089 0.0045 0.0027
32.678 90.928 0.159 0.0073 0.135 0.075 0.022 0.023 0.0089 0.0090 0.0048 0.0021
33.636 90.970 0.128 0.0072 0.106 0.063 0.022 0.020 0.0087 0.0087 0.0053 0.0020
34.621 91.007 0.097 0.0068 0.077 0.052 0.019 0.014 0.0092 0.0070 0.0056 0.0022
35.636 91.044 0.090 0.0067 0.070 0.051 0.015 0.0089 0.010 0.0054 0.0060 0.0031
36.680 91.087 0.088 0.0063 0.069 0.051 0.012 0.0092 0.011 0.0045 0.0062 0.0042
37.755 91.137 0.075 0.0062 0.058 0.042 0.011 0.0077 0.0096 0.0045 0.0056 0.0046
38.861 91.193 0.067 0.0062 0.059 0.029 0.0092 0.0055 0.0072 0.0048 0.0043 0.0035
40.000 91.251 0.065 0.0063 0.061 0.021 0.0075 0.0045 0.0062 0.0051 0.0032 0.0018
41.172 91.308 0.060 0.0063 0.055 0.021 0.0064 0.0075 0.0066 0.0055 0.0037 0.0012
42.379 91.359 0.056 0.0069 0.048 0.022 0.0058 0.011 0.0078 0.0054 0.0051 0.0019
43.620 91.404 0.057 0.0068 0.050 0.019 0.0060 0.012 0.0083 0.0044 0.0058 0.0024
44.898 91.446 0.059 0.0096 0.055 0.015 0.0068 0.0086 0.0073 0.0029 0.0050 0.0020
46.214 91.487 0.055 0.0096 0.053 0.011 0.0066 0.0047 0.0057 0.0020 0.0036 0.0019
47.568 91.524 0.051 0.035 0.050 0.0089 0.0047 0.0022 0.0035 0.0025 0.0023 0.0019
48.962 91.555 0.050 0.035 0.049 0.0075 0.0029 0.0018 0.0017 0.0032 0.0015 0.0014
50.397 91.576 0.051 0.038 0.050 0.0084 0.0024 0.0020 8.2E-4 0.0029 0.0015 0.0012
51.874 91.591 0.049 0.038 0.048 0.010 0.0028 0.0014 8.3E-4 0.0014 0.0016 0.0011
53.394 91.601 0.048 0.011 0.046 0.011 0.0029 0.0012 0.0013 0.0017 0.0015 0.0014
54.958 91.605 0.051 0.011 0.049 0.013 0.0023 0.0015 0.0020 0.0024 0.0014 0.0017
56.569 91.606 0.053 0.0074 0.051 0.014 0.0030 0.0018 0.0022 0.0032 0.0020 0.0019
58.226 91.609 0.051 0.0052 0.049 0.014 0.0031 0.0023 0.0020 0.0034 0.0028 0.0020
59.932 91.608 0.050 0.0052 0.048 0.013 0.0033 0.0029 0.0016 0.0026 0.0030 0.0018
61.688 91.604 0.051 0.0032 0.049 0.010 0.0050 0.0030 0.0012 0.0020 0.0023 0.0012
63.496 91.600 0.049 0.0062 0.048 0.011 0.0043 0.0024 0.0012 0.0017 0.0014 7.5E-4
65.357 91.600 0.049 0.0062 0.048 0.012 0.0033 0.0014 0.0012 0.0011 0.0013 6.2E-4
67.272 91.601 0.051 0.0053 0.049 0.014 0.0025 0.0017 9.6E-4 0.0011 0.0016 9.6E-4
69.243 91.601 0.052 0.0030 0.050 0.013 0.0016 0.0029 9.0E-4 0.0012 0.0013 0.0016
71.272 91.602 0.052 0.0030 0.050 0.014 0.0019 0.0016 0.0012 0.0014 0.0012 0.0022
73.360 91.604 0.053 0.0033 0.051 0.015 0.0022 0.0010 0.0012 0.0013 0.0012 0.0018
75.510 91.609 0.054 0.0026 0.052 0.014 0.0028 0.0020 0.0011 7.7E-4 0.0010 0.0012
77.723 91.618 0.049 0.0053 0.048 0.012 0.0023 0.0026 8.3E-4 9.3E-4 0.0013 0.0015
80.000 91.630 0.050 0.0034 0.048 0.014 0.0019 0.0016 0.0013 0.0012 0.0012 0.0020
82.344 91.642 0.048 0.0040 0.046 0.015 0.0021 0.0016 0.0010 6.2E-4 0.0011 0.0023
84.757 91.648 0.049 0.0040 0.046 0.016 0.0032 0.0014 8.9E-4 5.3E-4 7.9E-4 0.0017
87.241 91.642 0.053 0.0042 0.050 0.014 0.0056 0.0016 0.0011 5.8E-4 0.0011 0.0013
89.797 91.627 0.052 0.0021 0.050 0.012 0.0043 0.0019 0.0018 6.6E-4 0.0015 0.0011
92.428 91.607 0.052 0.0025 0.051 0.012 0.0028 0.0015 0.0018 0.0012 0.0017 0.0012
95.137 91.588 0.053 0.0018 0.051 0.013 0.0025 0.0011 8.2E-4 0.0019 0.0013 0.0011
97.924 91.573 0.052 0.0041 0.050 0.011 0.0021 9.8E-4 0.0013 0.0023 0.0012 8.5E-4
100.794 91.559 0.051 0.0075 0.050 0.011 0.0024 0.0018 0.0014 0.0023 0.0019 7.7E-4
103.747 91.543 0.051 0.0017 0.049 0.012 0.0022 0.0023 0.0011 0.0026 0.0014 0.0017
106.787 91.534 0.048 0.0027 0.046 0.011 0.0027 0.0018 0.0011 0.0022 0.0012 0.0013
109.916 91.535 0.046 0.0017 0.045 0.010 0.0030 0.0019 0.0013 0.0016 9.7E-4 0.0015
113.137 91.542 0.048 0.0020 0.048 0.0075 0.0028 0.0024 0.0017 0.0011 0.0014 0.0019
116.452 91.549 0.049 0.0022 0.049 0.0050 0.0017 0.0020 0.0018 0.0017 0.0018 0.0019
119.865 91.560 0.048 0.0015 0.047 0.0070 0.0022 0.0021 0.0019 0.0017 0.0012 0.0019
123.377 91.578 0.049 0.0016 0.048 0.0082 0.0033 0.0018 0.0023 0.0018 0.0012 0.0020
126.992 91.599 0.048 0.0023 0.047 0.0095 0.0029 0.0014 0.0016 0.0011 0.0011 0.0016
130.713 91.616 0.052 0.0025 0.050 0.0100 0.0024 0.0017 0.0017 8.8E-4 0.0012 0.0014
