* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:56:13 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Voxbox 45
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 92.722 0.022 0.0027 0.0053 0.021 0.0012 0.0011 0.0010 6.8E-4 0.0022 0.0013
20.586 92.721 0.022 0.0053 0.0036 0.021 0.0012 0.0012 9.1E-4 8.8E-4 0.0021 0.0015
21.189 92.719 0.022 0.0053 0.0022 0.022 0.0011 0.0012 8.2E-4 0.0013 0.0018 0.0016
21.810 92.718 0.023 0.0053 0.0024 0.022 0.0010 0.0012 8.7E-4 0.0016 0.0013 0.0016
22.449 92.716 0.023 0.0053 0.0047 0.023 0.0011 0.0010 0.0011 0.0016 8.3E-4 0.0016
23.107 92.715 0.025 0.0046 0.0093 0.023 7.5E-4 7.7E-4 0.0015 0.0015 6.8E-4 0.0017
23.784 92.714 0.029 0.0046 0.018 0.022 2.7E-4 4.6E-4 0.0016 0.0014 8.5E-4 0.0018
24.481 92.712 0.035 0.0046 0.028 0.021 2.1E-4 1.8E-4 0.0015 0.0012 0.0011 0.0019
25.198 92.711 0.036 0.0046 0.030 0.020 4.7E-4 1.8E-4 0.0012 9.9E-4 0.0014 0.0019
25.937 92.709 0.031 0.0031 0.023 0.020 7.2E-4 3.6E-4 8.6E-4 8.0E-4 0.0017 0.0019
26.697 92.708 0.023 0.0031 0.013 0.019 7.0E-4 4.3E-4 5.9E-4 9.5E-4 0.0017 0.0021
27.479 92.707 0.019 0.0031 0.0061 0.017 0.0010 4.1E-4 5.3E-4 0.0014 0.0018 0.0024
28.284 92.706 0.017 0.0038 0.0029 0.016 0.0018 3.8E-4 5.9E-4 0.0017 0.0019 0.0022
29.113 92.705 0.016 0.0038 0.0027 0.015 0.0021 3.9E-4 5.6E-4 0.0018 0.0025 0.0015
29.966 92.704 0.016 0.0038 0.0027 0.015 0.0021 3.3E-4 4.6E-4 0.0018 0.0032 8.3E-4
30.844 92.703 0.015 0.0038 0.0029 0.014 0.0017 4.0E-4 5.0E-4 0.0017 0.0036 4.6E-4
31.748 92.702 0.015 0.0046 0.0040 0.014 0.0013 4.8E-4 8.1E-4 0.0016 0.0030 4.4E-4
32.678 92.701 0.015 0.0046 0.0054 0.014 8.9E-4 3.9E-4 0.0012 0.0013 0.0021 4.7E-4
33.636 92.700 0.015 0.0046 0.0064 0.014 6.6E-4 3.1E-4 0.0015 8.9E-4 0.0014 3.9E-4
34.621 92.699 0.015 0.0041 0.0060 0.013 0.0012 4.8E-4 0.0017 9.9E-4 0.0010 3.7E-4
35.636 92.698 0.014 0.0041 0.0058 0.012 0.0022 5.5E-4 0.0017 0.0012 0.0010 7.4E-4
36.680 92.697 0.013 0.0044 0.0060 0.011 0.0033 7.9E-4 0.0017 0.0012 0.0012 0.0015
37.755 92.696 0.013 0.0044 0.0063 0.010 0.0036 0.0014 0.0017 0.0013 0.0013 0.0023
38.861 92.695 0.013 0.0044 0.0064 0.0098 0.0028 0.0017 0.0018 0.0014 0.0015 0.0026
40.000 92.695 0.012 0.0049 0.0064 0.0094 0.0017 0.0017 0.0020 0.0017 0.0019 0.0023
41.172 92.694 0.012 0.0049 0.0061 0.0092 9.9E-4 0.0015 0.0025 0.0020 0.0020 0.0018
42.379 92.693 0.011 0.0040 0.0051 0.0085 0.0010 0.0015 0.0027 0.0022 0.0019 0.0015
43.620 92.693 0.010 0.0040 0.0043 0.0082 0.0015 0.0018 0.0027 0.0020 0.0020 0.0012
44.898 92.692 0.011 0.0095 0.0045 0.0082 0.0019 0.0019 0.0026 0.0017 0.0021 0.0013
46.214 92.691 0.010 0.0095 0.0050 0.0079 0.0021 0.0017 0.0017 0.0016 0.0019 0.0014
47.568 92.691 0.0099 0.052 0.0045 0.0079 0.0022 0.0014 0.0012 0.0018 0.0016 0.0011
48.962 92.689 0.0090 0.052 0.0045 0.0067 0.0017 0.0024 9.4E-4 0.0021 0.0014 7.6E-4
50.397 92.687 0.0083 0.060 0.0059 0.0039 0.0015 0.0029 8.5E-4 0.0020 0.0012 0.0011
51.874 92.687 0.0077 0.060 0.0058 0.0032 0.0019 0.0020 9.4E-4 0.0014 0.0014 0.0013
53.394 92.688 0.0069 0.017 0.0053 0.0029 0.0021 8.9E-4 9.2E-4 0.0018 0.0011 9.1E-4
54.958 92.689 0.0061 0.017 0.0041 0.0024 0.0027 5.8E-4 0.0013 0.0020 6.9E-4 5.7E-4
56.569 92.688 0.0062 0.0059 0.0038 0.0025 0.0027 0.0011 0.0020 0.0020 8.3E-4 7.3E-4
58.226 92.688 0.0064 0.0030 0.0039 0.0023 0.0018 0.0018 0.0023 0.0026 0.0012 0.0010
59.932 92.688 0.0074 0.0030 0.0048 0.0027 0.0017 0.0020 0.0023 0.0031 0.0012 0.0010
61.688 92.687 0.0079 0.0032 0.0057 0.0033 0.0022 0.0015 0.0019 0.0026 8.7E-4 0.0011
63.496 92.687 0.0073 0.0020 0.0047 0.0038 0.0018 0.0017 0.0017 0.0022 7.1E-4 0.0015
65.357 92.687 0.0078 0.0020 0.0053 0.0040 0.0011 0.0014 0.0018 0.0022 0.0014 0.0016
67.272 92.686 0.0080 0.0027 0.0056 0.0043 0.0017 0.0012 0.0019 0.0017 0.0017 9.9E-4
69.243 92.686 0.0080 0.0029 0.0057 0.0031 0.0024 0.0024 0.0019 0.0014 0.0019 0.0011
71.272 92.686 0.0082 0.0029 0.0063 0.0020 0.0018 0.0022 0.0024 0.0013 0.0019 0.0021
73.360 92.685 0.010 0.0037 0.0089 0.0025 0.0012 0.0016 0.0027 0.0018 0.0017 0.0022
75.510 92.685 0.011 0.0039 0.0092 0.0033 0.0010 0.0020 0.0018 0.0026 0.0015 0.0021
77.723 92.685 0.0097 0.0038 0.0074 0.0042 0.0012 0.0014 0.0017 0.0028 0.0011 0.0024
80.000 92.685 0.0083 0.0048 0.0062 0.0039 0.0012 0.0014 0.0020 0.0018 0.0016 0.0018
82.344 92.684 0.0082 0.0034 0.0054 0.0046 0.0012 0.0014 0.0020 0.0015 0.0024 0.0013
84.757 92.684 0.0083 0.0034 0.0051 0.0052 0.0017 8.4E-4 0.0015 0.0017 0.0021 0.0015
87.241 92.684 0.0089 0.0041 0.0067 0.0040 0.0027 9.8E-4 0.0014 0.0021 0.0018 0.0010
89.797 92.684 0.0088 0.0049 0.0070 0.0033 0.0015 6.1E-4 0.0021 0.0028 0.0015 6.5E-4
92.428 92.684 0.0082 0.0048 0.0065 0.0025 0.0012 0.0012 0.0022 0.0030 0.0012 5.0E-4
95.137 92.684 0.0085 0.0042 0.0069 0.0022 0.0019 0.0013 0.0013 0.0030 0.0016 0.0011
97.924 92.684 0.0091 0.0049 0.0070 0.0034 0.0019 9.9E-4 0.0011 0.0034 0.0014 0.0015
100.794 92.684 0.0079 0.0074 0.0056 0.0031 0.0024 0.0012 6.3E-4 0.0034 0.0011 0.0013
103.747 92.684 0.0073 0.0045 0.0050 0.0021 0.0019 0.0023 0.0010 0.0030 0.0018 8.1E-4
106.787 92.683 0.0069 0.0038 0.0053 0.0013 0.0014 0.0016 0.0019 0.0024 0.0019 0.0012
109.916 92.683 0.0073 0.0036 0.0054 0.0014 0.0020 0.0015 0.0029 0.0016 0.0016 0.0016
113.137 92.683 0.0079 0.0043 0.0062 0.0028 0.0017 0.0013 0.0024 0.0010 0.0016 0.0014
116.452 92.684 0.0076 0.0076 0.0052 0.0041 0.0016 0.0016 0.0017 0.0013 0.0014 0.0016
119.865 92.684 0.0072 0.0059 0.0050 0.0027 0.0012 0.0018 0.0017 0.0016 0.0013 0.0028
123.377 92.684 0.0081 0.0045 0.0058 0.0026 7.9E-4 0.0020 0.0012 0.0023 0.0032 0.0021
126.992 92.684 0.0087 0.0036 0.0067 0.0019 7.4E-4 0.0015 0.0014 0.0022 0.0037 0.0020
130.713 92.684 0.0083 0.0036 0.0060 0.0018 0.0011 0.0025 0.0012 0.0010 0.0024 0.0036
134.543 92.684 0.0091 0.0054 0.0068 0.0023 0.0016 0.0035 0.0012 8.3E-4 0.0017 0.0034
138.486 92.684 0.0073 0.0063 0.0057 0.0023 0.0018 0.0021 0.0013 0.0013 0.0015 0.0016
142.544 92.684 0.0053 0.0036 0.0033 0.0014 0.0021 0.0016 0.0013 0.0016 0.0011 0.0017
146.721 92.684 0.0059 0.0073 0.0045 9.8E-4 0.0015 0.0015 0.0015 0.0018 7.9E-4 0.0019
151.020 92.684 0.0062 0.011 0.0046 0.0017 0.0012 0.0016 0.0019 0.0019 9.4E-4 0.0015
155.445 92.684 0.0059 0.0046 0.0039 0.0021 0.0015 0.0019 0.0014 0.0019 0.0014 0.0014
160.000 92.685 0.0068 0.0054 0.0045 0.0022 0.0024 0.0015 0.0012 0.0019 0.0014 0.0026
164.688 92.685 0.0073 0.0043 0.0037 0.0027 0.0029 0.0013 0.0014 0.0028 0.0023 0.0026
169.514 92.685 0.0088 0.0051 0.0052 0.0036 0.0034 0.0017 0.0017 0.0027 0.0029 0.0021
174.481 92.685 0.0096 0.0043 0.0078 0.0024 0.0030 0.0020 0.0015 0.0022 0.0019 0.0013
179.594 92.685 0.0085 0.0049 0.0066 0.0016 0.0023 0.0013 0.0022 0.0023 0.0023 0.0015
184.856 92.685 0.0078 0.0072 0.0054 0.0023 0.0018 0.0015 0.0020 0.0021 0.0028 0.0020
190.273 92.685 0.0077 0.0053 0.0048 0.0021 0.0022 0.0022 0.0015 0.0030 0.0021 0.0024
195.849 92.685 0.0072 0.0088 0.0045 0.0016 0.0027 0.0026 0.0020 0.0019 0.0018 0.0021
201.587 92.686 0.0069 0.0084 0.0033 0.0026 0.0021 0.0028 0.0014 0.0021 9.5E-4 0.0030
207.494 92.686 0.0079 0.0059 0.0043 0.0028 0.0018 0.0025 0.0019 0.0031 0.0011 0.0034
213.574 92.686 0.0079 0.0081 0.0050 0.0029 0.0013 0.0017 0.0025 0.0023 0.0017 0.0032
219.833 92.686 0.0082 0.0054 0.0064 0.0024 0.0015 0.0021 0.0024 9.7E-4 0.0017 0.0019
226.274 92.686 0.0083 0.0048 0.0070 0.0018 0.0013 0.0026 0.0021 7.3E-4 0.0010 0.0014
232.905 92.686 0.0068 0.0041 0.0037 0.0019 0.0025 0.0031 0.0023 0.0017 0.0015 0.0015
239.729 92.686 0.0064 0.0063 0.0026 0.0023 0.0025 0.0017 0.0022 0.0025 0.0014 0.0028
246.754 92.686 0.0079 0.011 0.0047 0.0035 0.0028 0.0021 0.0017 0.0024 0.0022 0.0017
253.984 92.686 0.0086 0.0089 0.0063 0.0030 0.0029 0.0019 0.0018 0.0016 0.0019 0.0018
261.426 92.686 0.0091 0.0047 0.0065 0.0026 0.0032 0.0024 0.0016 0.0019 0.0018 0.0028
269.087 92.686 0.0090 0.0038 0.0065 0.0026 0.0031 0.0021 0.0015 0.0022 0.0019 0.0028
